Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_voume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity
AN10_S2_25052010710	SAMN02628409	0.01671	SRS577849	ACM24	112.48	0.42	90.13	25-05-2010	7:10	25-05-2010T07:10:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	2	0.2	98.7	4.5	31.8	4.85	"R/V Knorr, May-June 2010"	19.78	Station 2	603802	796.66	28.63	1.17
AN10_S2_25052010755	SAMN02628404	0.01671	SRS565748	ACM2	112.48	0.42	90.13	25-05-2010	7:55	25-05-2010T07:55:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	2	0.2	98.7	4.5	31.8	10.8	"R/V Knorr, May-June 2010"	19.78	Station 2	824111	796.66	28.63	1.17
AN10_S2_25052010755	SAMN02628401	0.01671	SRS565747	ACM1	112.48	0.42	90.13	25-05-2010	7:55	25-05-2010T07:55:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	10.8	"R/V Knorr, May-June 2010"	19.78	Station 2	326737	796.66	28.63	1.17
AN10_S2_25052010839	SAMN02628410	0.01671	SRS580495	ACM25	112.48	0.42	90.13	25-05-2010	8:39	25-05-2010T08:39:00	2.09	1019.8	4.47	1802	196.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	11.1	"R/V Knorr, May-June 2010"	19.78	Station 2	70616943	796.66	28.63	1.17
AN10_S10_05062010749	SAMN02628412	0.02208	SRS577850	ACM36	327.96	3.13	45.8	05-06-2010	7:49	05-06-2010T07:49:00	1.3	1012.65	4.26	1373	251.56	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	2	0.2	120.81	4.28	22.55	5.2	"R/V Knorr, May-June 2010"	12.63	Station 10		1913.71	29.36	3.02
AN10_S10_05062010749	SAMN02628411	0.02208	SRS582461	ACM3	327.96	3.13	45.8	05-06-2010	7:49	05-06-2010T07:49:00	1.3	1012.65	4.26	1373	251.56	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	156	2	120.81	4.28	22.55	5.2	"R/V Knorr, May-June 2010"	12.63	Station 10	2347636	1913.71	29.36	3.02
AN10_S10_05062010850	SAMN02628416	0.02208	SRS584254	ACM4	327.96	3.13	45.8	05-06-2010	8:50	05-06-2010T08:50:00	1.3	1012.65	4.26	1373	251.56	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	2	0.2	120.81	4.28	22.55	4.8	"R/V Knorr, May-June 2010"	12.63	Station 10	2718586	1913.71	29.36	3.02
AN10_S10_05062010850	SAMN02628413	0.02208	SRS584255	ACM37	327.96	3.13	45.8	05-06-2010	8:50	05-06-2010T08:50:00	1.3	1012.65	4.26	1373	251.56	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	156	2	120.81	4.28	22.55	4.8	"R/V Knorr, May-June 2010"	12.63	Station 10	13533646	1913.71	29.36	3.02
AN10_S23_160620101015	SAMN02628414	0.02794	SRS582463	ACM38	79.8	0.25	93.85	16-06-2010	10:15	16-06-2010T10:15:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	2	0.2	95.39	3.66	26.49	10.8	"R/V Knorr, May-June 2010"	15.62	Station 23	206871443	1449.22	29.22	1.1
AN10_S23_160620101015	SAMN02628406	0.02794	SRS581964	ACM21	79.8	0.25	93.85	16-06-2010	10:15	16-06-2010T10:15:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10.8	"R/V Knorr, May-June 2010"	15.62	Station 23	146836	1449.22	29.22	1.1
AN10_S23_16062010806	SAMN02628415	0.02794	SRS580498	ACM39	79.8	0.25	93.85	16-06-2010	8:06	16-06-2010T08:06:00	2.01	1015.64	3.64	1576	194.25	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10	"R/V Knorr, May-June 2010"	15.62	Station 23	2387283	1449.22	29.22	1.1
