Sample_event_ID	ISO_DateTime	lon	lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name	
ANM11_07-05-2011_0.083883S51.051417W_0.53	07-05-2011	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)	
ANM11_07-05-2011_0.083883S51.051417W_0.65	07-05-2011	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)	
ANM11_05-07-2011_0.083883S51.051417W_0.5	05-07-2011	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)	
ANM11_05-07-2011_0.083883S51.051417W_0.66	05-07-2011	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)	
ANM11_05-07-2011_0.083883S51.051417W_0.46	05-07-2011	-0.083883	-51.051417		ANACONDAS	pump	Macapa North (MCPN)	
ANM11_08-05-2011_0.156917S50.622550W_0.7	08-05-2011	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)	
ANM11_05-08-2011_0.156917S50.622550W_0.81	05-08-2011	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)	
ANM11_05-08-2011_0.156917S50.622550W_0.6	05-08-2011	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)	
ANM11_05-08-2011_0.156917S50.622550W_0.67	05-08-2011	-0.156917	-50.62255		ANACONDAS	pump	Macapa South (MCPS)	
ANM11_13-05-2011_1.519367S48.917950W_1.34	13-05-2011	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)	
ANM11_13-05-2011_1.519367S48.917950W_1.8	13-05-2011	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)	
ANM11_13-05-2011_1.519367S48.917950W_1.3	13-05-2011	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)	
ANM11_13-05-2011_1.519367S48.917950W_1.31	13-05-2011	-1.519367	-48.91795		ANACONDAS	pump	Belem (BLM)	
ANM11_19-05-2011_1.919017S55.525717W_0.73	19-05-2011	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)	
ANM11_19-05-2011_1.919017S55.525717W_1.06	19-05-2011	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)	
ANM11_19-05-2011_1.919017S55.525717W_0.61	19-05-2011	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)	
ANM11_19-05-2011_1.919017S55.525717W_1.03	19-05-2011	-1.919017	-55.525717		ANACONDAS	pump	Obidos (OB)	
ANM11_20-05-2011_2.484383S55.007500W_1.6	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)	
ANM11_20-05-2011_2.484383S55.007500W_1.72	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)	
ANM11_20-05-2011_2.484383S55.007500W_1.49	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)	
ANM11_20-05-2011_2.484383S55.007500W_1.59	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)	
ANM11_20-05-2011_2.484383S55.007500W_0.675	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)	
ANM11_20-05-2011_2.484383S55.007500W_1.42	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)	
ANM11_20-05-2011_2.484383S55.007500W_1.52	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Surface (TAPS)	
ANM11_20-05-2011_2.484383S55.007500W_1.57	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)	
ANM11_20-05-2011_2.484383S55.007500W_0.73	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)	
ANM11_20-05-2011_2.484383S55.007500W_1.4	20-05-2011	-2.484383	-55.0075		ANACONDAS	pump	Tapajos Depth (TAPD)					
