parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
Sampling_event_ID										
BioSample									https://www.ncbi.nlm.nih.gov/bioproject/237344	
PAR				_Em-2sec-1					https://www.ncbi.nlm.nih.gov/bioproject/237344	
SRA									https://www.ncbi.nlm.nih.gov/bioproject/237344	
Sample name									https://www.ncbi.nlm.nih.gov/bioproject/237344	
bacteria_carb_prod				pmol leu/L/hr					https://www.ncbi.nlm.nih.gov/bioproject/237344	
beam_atten				m-1					https://www.ncbi.nlm.nih.gov/bioproject/237344	
beam_trans				pct					https://www.ncbi.nlm.nih.gov/bioproject/237344	
collection_date				dd-mm-yyyy					https://www.ncbi.nlm.nih.gov/bioproject/237344	
collection_time									https://www.ncbi.nlm.nih.gov/bioproject/237344	
ISO_DateTime										
corr_irradiance									https://www.ncbi.nlm.nih.gov/bioproject/237344	
density				 kgm-3					https://www.ncbi.nlm.nih.gov/bioproject/237344	
depth				m					https://www.ncbi.nlm.nih.gov/bioproject/237344	
diss_inorg_carb				_mol/kg					https://www.ncbi.nlm.nih.gov/bioproject/237344	
diss_oxy				_mol/kg					https://www.ncbi.nlm.nih.gov/bioproject/237344	
env_biome									https://www.ncbi.nlm.nih.gov/bioproject/237344	
biome_purl										
env_feature									https://www.ncbi.nlm.nih.gov/bioproject/237344	
feature_purl										
env_material									https://www.ncbi.nlm.nih.gov/bioproject/237344	
feature_material										
env_package									https://www.ncbi.nlm.nih.gov/bioproject/237344	
fluorescence				mgm-3					https://www.ncbi.nlm.nih.gov/bioproject/237344	
geo_loc_name									https://www.ncbi.nlm.nih.gov/bioproject/237344	
lat				DD					https://www.ncbi.nlm.nih.gov/bioproject/237344	
lon				DD						
max_filter_size				_m					https://www.ncbi.nlm.nih.gov/bioproject/237344	
min_filter_size				_m					https://www.ncbi.nlm.nih.gov/bioproject/237344	
oxy_sat				pct					https://www.ncbi.nlm.nih.gov/bioproject/237344	
pressure				Db					https://www.ncbi.nlm.nih.gov/bioproject/237344	
salinity				PSU					https://www.ncbi.nlm.nih.gov/bioproject/237344	
samp_volume				 L					https://www.ncbi.nlm.nih.gov/bioproject/237344	
sampling_cruise									https://www.ncbi.nlm.nih.gov/bioproject/237344	
sigma-theta									https://www.ncbi.nlm.nih.gov/bioproject/237344	
site_name									https://www.ncbi.nlm.nih.gov/bioproject/237344	
std_norm_factor									https://www.ncbi.nlm.nih.gov/bioproject/237344	
surf_irradiance				_Em-2sec-1					https://www.ncbi.nlm.nih.gov/bioproject/237344	
temp				C					https://www.ncbi.nlm.nih.gov/bioproject/237344	
turbidity				NTU					https://www.ncbi.nlm.nih.gov/bioproject/237344	
