sampling_event_ID	BioSample	SRA	Sample name	bacterial_count	chlorophyll	collection_date	conduc	depth	diss_inorg_carb	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	lat	lon	max_filter_size	min_filter_size	samp_volume	site_name	std_norm_factor
ANM11_07-05-2011_0.083883S51.051417W_0.53	SAMN03252800	SRS835073	RCM24	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.53	Macapa North (MCPN)	114936
ANM11_07-05-2011_0.083883S51.051417W_0.53	SAMN03252799	SRS835071	RCM23	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.53	Macapa North (MCPN)	3667
ANM11_07-05-2011_0.083883S51.051417W_0.65	SAMN03252798	SRS835072	RCM22	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.65	Macapa North (MCPN)	15029
ANM11_07-05-2011_0.083883S51.051417W_0.65	SAMN03252797	SRS834999	RCM21	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.65	Macapa North (MCPN)	10521
ANM11_07-05-2011_0.083883S51.051417W_0.5	SAMN03252804	SRS836566	RCM28	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.5	Macapa North (MCPN)	2382985
ANM11_07-05-2011_0.083883S51.051417W_0.5	SAMN03252803	SRS836563	RCM27	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.5	Macapa North (MCPN)	934437
ANM11_07-05-2011_0.083883S51.051417W_0.66	SAMN03252802	SRS836421	RCM26	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	297	2	0.66	Macapa North (MCPN)	758599
ANM11_07-05-2011_0.083883S51.051417W_0.46	SAMN03252801	SRS836418	RCM25	3960000	1.67	07-05-2011	61.5	14	507	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.083883	-51.051417	2	0.2	0.46	Macapa North (MCPN)	158034
ANM11_08-05-2011_0.156917S50.622550W_0.7	SAMN03252796	SRS835001	RCM20	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	297	2	0.7	Macapa South (MCPS)	23472
ANM11_08-05-2011_0.156917S50.622550W_0.7	SAMN03252795	SRS834182	RCM19	3940000	1.99	08-05-2011	55.3	10	459	large river delta biome	http://purl.obolibrary.org/obo/ENVO_00000889	river	http://purl.obolibrary.org/obo/ENVO_00000022	water	http://purl.obolibrary.org/obo/ENVO_00002006	Brazil: Amazon River	-0.156917	-50.62255	2	0.2	0.7	Macapa South (MCPS)	14073
