Sampling_event_ID	BioSample	PAR	SRA	Sample name	bacteria_carb_prod	beam_atten	beam_trans	collection_date	collection_time	ISO_DateTime	corr_irradiance	density	depth	diss_inorg_carb	diss_oxy	env_biome	biome_purl	env_feature	feature_purl	env_material	material_purl	env_package	fluorescence	geo_loc_name	lat	lon	max_filter_size	min_filter_size	oxy_sat	pressure	salinity	samp_volume	sampling_cruise	sigma-theta	site_name	std_norm_factor	surf_irradiance	temp	turbidity
AN10_S27_21062010843	SAMN02628425	0.08036	SRS567298	ACM10	16.11	0.19	95.44	21-06-2010	8:43:00	21-06-2010T08:43:00	4.21	1023.05	3.89	2005	188.39	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	12.41	-52.22	156	2	96.95	3.92	36.03	10.5	"R/V Knorr, May-June 2010"	23.04	Station 27		1621.32	28.4	1.07
AN10_S2_25052010755	SAMN02628434	0.01671	SRS567289	ACM7	112.48	0.42	90.13	25-05-2010	7:55:00	25-05-2010T07:55:00	2.09	1019.8	4.47	1802	196.25	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	10.4	"R/V Knorr, May-June 2010"	19.78	Station 2		796.66	28.63	1.17
AN10_S10_05062010850	SAMN02628435	0.02208	SRS567290	ACM8	327.96	3.13	45.8	06-05-2010	8:50:00	05-06-2010T08:50:00	1.3	1012.65	4.26	1373	251.56	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	156	2	120.81	4.28	22.55	5.5	"R/V Knorr, May-June 2010"	12.63	Station 10		1913.71	29.36	3.02
AN10_S23_16062010904	SAMN02628436	0.02794	SRS567291	ACM9	79.8	0.25	93.85	16-06-2010	9:04:00	16-06-2010T09:04:00	2.01	1015.64	3.64	1576	194.25	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10.5	"R/V Knorr, May-June 2010"	15.62	Station 23		1449.22	29.22	1.1
AN10_S3_260520101000	SAMN02628426	0.06538	SRS573868	ACM26	139.68	0.3	92.69	26-05-2010	10:00:00	26-05-2010T10:00:00	2.42	1018.98	3.76	1846	188.26	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	156	2	94.43	3.78	30.8	10.8	"R/V Knorr, May-June 2010"	18.97	Station 3		2690.35	28.85	1.12
AN10_S10_05062010700	SAMN02628427	0.02208	SRS577855	ACM27	327.96	3.13	45.8	06-05-2010	7:00:00	05-06-2010T07:00:00	1.3	1012.65	4.26	1373	251.56	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	7.25	Atlantic Ocean:Western Tropical North Atlantic Ocean	4.88	-51.36	156	2	120.81	4.28	22.55	7.4	"R/V Knorr, May-June 2010"	12.63	Station 10		1913.71	29.36	3.02
AN10_S25_18062010757	SAMN02628428	0.07371	SRS577856	ACM28	78.48	0.65	84.92	18-06-2010	7:57:00	18-06-2010T07:57:00	3.42	1019.66	3.93	1775	213.84	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	10.4	"R/V Knorr, May-June 2010"	19.65	Station 25		2057.58	29.21	1.23
AN10_S2_25052010710	SAMN02628429	0.01671	SRS577859	ACM42	112.48	0.42	90.13	25-05-2010	7:10:00	25-05-2010T07:10:00	2.09	1019.8	4.47	1802	196.25	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.61	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.29	-54.51	156	2	98.7	4.5	31.8	10.7	"R/V Knorr, May-June 2010"	19.78	Station 2		796.66	28.63	1.17
AN10_S23_16062010806	SAMN02628430	0.02794	SRS577857	ACM43	79.8	0.25	93.85	16-06-2010	8:06:00	16-06-2010T08:06:00	2.01	1015.64	3.64	1576	194.25	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.16	Atlantic Ocean:Western Tropical North Atlantic Ocean	10.68	-54.42	156	2	95.39	3.66	26.49	10.5	"R/V Knorr, May-June 2010"	15.62	Station 23		1449.22	29.22	1.1
AN10_S3_26052010823	SAMN02628431	0.06538	SRS577858	ACM44	139.68	0.3	92.69	26-05-2010	8:23:00	26-05-2010T08:23:00	2.42	1018.98	3.76	1846	188.26	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.28	Atlantic Ocean:Western Tropical North Atlantic Ocean	7.29	-53	156	2	94.43	3.78	30.8	10.8	"R/V Knorr, May-June 2010"	18.97	Station 3		2690.35	28.85	1.12
AN10_S25_18062010845	SAMN02628432	0.07371	SRS581882	ACM45	78.48	0.65	84.92	18-06-2010	8:45:00	18-06-2010T08:45:00	3.42	1019.66	3.93	1775	213.84	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.99	Atlantic Ocean:Western Tropical North Atlantic Ocean	11.31	-56.43	156	2	108.6	3.95	31.87	10.5	"R/V Knorr, May-June 2010"	19.65	Station 25		2057.58	29.21	1.23
AN10_S27_21062010928	SAMN02628433	0.08036	SRS581884	ACM57	16.11	0.19	95.44	21-06-2010	9:28:00	21-06-2010T09:28:00	4.21	1023.05	3.89	2005	188.39	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.01	Atlantic Ocean:Western Tropical North Atlantic Ocean	12.41	-52.22	156	2	96.95	3.92	36.03	17.6	"R/V Knorr, May-June 2010"	23.04	Station 27		1621.32	28.4	1.07
AN12J_S4_180720121043	SAMN05951780	0.1773	SRS1873073	ACJ52	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92		"R/V Atlantis, July 2012"	13.03	Station 4		1226	28.99	-999
AN12J_S4_180720121043	SAMN05951779	0.1773	SRS1873079	ACJ51	4886	0.51	88	18-07-2012	10:43:00	18-07-2012T10:43:00	7	1013	2			marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	MIGS/MIMS/MIMARKS.water	0.62	Atlantic Ocean:Western Tropical North Atlantic Ocean	6.374	-51.398	156	2		1.2	22.92		"R/V Atlantis, July 2012"	13.03	Station 4		1226	28.99	-999
