parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Sampling_event_ID	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056							string	
BioSample	specimen identifier assigned by sequencing facility	http://purl.obolibrary.org/obo/OBI_0001901						https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
PAR	photosynthetically active electromagnetic radiation of liquid water	http://purl.obolibrary.org/obo/PMO_00000015	micromole per square meter per second	http://purl.obolibrary.org/obo/PMO_00000126				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
SRA	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123						https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
Sample name	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578						https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	string	
bacteria_carb_prod	prokaryotic leucine production 	http://purl.obolibrary.org/obo/PMO_00000189	picomolar per hour	http://purl.obolibrary.org/obo/PMO_00000190				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
beam_atten			m-1					https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
beam_trans			percent	http://purl.obolibrary.org/obo/UO_0000187				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
collection_date			time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	date	%d-%m-%Y
collection_time			time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	time	%H:%M:%S
ISO_DateTime	specimen collection time measurement datum	http://purl.obolibrary.org/obo/OBI_0001619	time unit	http://purl.obolibrary.org/obo/UO_0000003					datetime	%d-%m-%YT%H:%M:%S
corr_irradiance								https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
density	mass density of liquid water	http://purl.obolibrary.org/obo/PMO_00000191	kilogram per cubic meter	http://purl.obolibrary.org/obo/UO_0000083				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
depth	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	meter	http://purl.obolibrary.org/obo/UO_0000008				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
diss_inorg_carb	dissolved inorganic carbon	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000142	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://www.ncbi.nlm.nih.gov/bioproject/PRJNA237346	number	
