sampling_event_ID	ISO_DateTime	lat	lon	cruise_ID	cruise_expedition	sampling_event_type	Station_name
ANM11_20-05-2011_2.484383S55.007500W_1.6	20-05-2011T00:00:00	-2.484383	-55.0075	NA	ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_1.72	20-05-2011T00:00:00	-2.484383	-55.0075	NA	ANACONDAS	pump	Tapajos Depth (TAPD)
ANM11_20-05-2011_2.484383S55.007500W_1.49	20-05-2011T00:00:00	-2.484383	-55.0075	NA	ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_20-05-2011_2.484383S55.007500W_1.59	20-05-2011T00:00:00	-2.484383	-55.0075	NA	ANACONDAS	pump	Tapajos Surface (TAPS)
ANM11_13-05-2011_1.519367S48.917950W_1.34	13-05-2011T00:00:00	-1.519367	-48.91795	NA	ANACONDAS	pump	Belem (BLM)
ANM11_13-05-2011_1.519367S48.917950W_1.8	13-05-2011T00:00:00	-1.519367	-48.91795	NA	ANACONDAS	pump	Belem (BLM)
ANM11_19-05-2011_1.919017S55.525717W_0.73	19-05-2011T00:00:00	-1.919017	-55.525717	NA	ANACONDAS	pump	Obidos (OB)
ANM11_19-05-2011_1.919017S55.525717W_1.06	19-05-2011T00:00:00	-1.919017	-55.525717	NA	ANACONDAS	pump	Obidos (OB)
ANM11_08-05-2011_0.156917S50.622550W_0.7	08-05-2011T00:00:00	-0.156917	-50.62255	NA	ANACONDAS	pump	Macapa South (MCPS)
ANM11_07-05-2011_0.083883S51.051417W_0.53	07-05-2011T00:00:00	-0.083883	-51.051417	NA	ANACONDAS	pump	Macapa North (MCPN)
ANM11_07-05-2011_0.083883S51.051417W_0.65	07-05-2011T00:00:00	-0.083883	-51.051417	NA	ANACONDAS	pump	Macapa North (MCPN)
ANR12_06-08-2012_2.29063S55.00450W_3.41	06-08-2012T00:00:00	-2.29063	-55.0045	NA	ANACONDAS	unknown	Tapajos Depth (TAPD)
ANR12_06-08-2012_2.29063S55.00450W_3.20	06-08-2012T00:00:00	-2.29063	-55.0045	NA	ANACONDAS	unknown	Tapajos Depth (TAPD)
ANR12_05-08-2012_1.55141S55.31543W_0.97	05-08-2012T00:00:00	-1.55141	-55.31543	NA	ANACONDAS	unknown	Obidos (OB)
ANR12_01-08-2012_1.31162S48.55077W_1.23	01-08-2012T00:00:00	-1.31162	-48.55077	NA	ANACONDAS	unknown	Belem (BLM)
ANR12_01-08-2012_1.31162S48.55077W_1.39	01-08-2012T00:00:00	-1.31162	-48.55077	NA	ANACONDAS	unknown	Belem (BLM)
ANR12_25-07-2012_0.09415S50.37353W_1.05	25-07-2012T00:00:00	-0.09415	-50.37353	NA	ANACONDAS	unknown	Macapa South (MCPS)
ANR12_25-07-2012_0.09415S50.37353W_1.07	25-07-2012T00:00:00	-0.09415	-50.37353	NA	ANACONDAS	unknown	Macapa South (MCPS)
ANR12_25-07-2012_0.09415S50.37353W_0.98	25-07-2012T00:00:00	-0.09415	-50.37353	NA	ANACONDAS	unknown	Macapa South (MCPS)
ANR12_23-07-2012_0.05033S51.03085W_0.84	23-07-2012T00:00:00	-0.05033	-51.03085	NA	ANACONDAS	unknown	Macapa North (MCPN)
ANR12_23-07-2012_0.05033S51.03085W_0.76	23-07-2012T00:00:00	-0.05033	-51.03085	NA	ANACONDAS	unknown	Macapa North (MCPN)
