sampling_event_ID	BioSample	Beam_Attenuation_Coefficient	Conductivity	Depth	Dissolved_Oxygen	Fluorescence	Latitude	Longitude	PAR	Pressure	Salinity	Temperature	cast_ID	decimal_year	filename	Decimal_date_deployed	Decimal_date_recovered	Decimal_day_deployed	Latitude_CTD_deployed	Latitude_CTD_recovered	Longitude_CTD_deployed	Longitude_CTD_recovered	info_filename	ISO_datetime_deployed	ISO_datetime_recovered	cruise_type	cruise_number	cast_number	cruise_type_text
BATS_175_4_2003-04-22_19:06:00	SAMN07137064	NA	5.1759	6	221.06	NA	31.7	-64.139	NA	6	36.573	21.815	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	NA	-64.139	NA	b10175_info.txt	2003-04-22 19:06:00	2003-04-22 20:43:00	1	175	4	BATS_core
BATS_175_4_2003-04-22_19:06:00	SAMN07137065	NA	4.9299	81.4	222.17	NA	31.7	-64.139	NA	82	36.624	19.402	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	NA	-64.139	NA	b10175_info.txt	2003-04-22 19:06:00	2003-04-22 20:43:00	1	175	4	BATS_core
BATS_175_4_2003-04-22_19:06:00	SAMN07137066	NA	4.8785	180.7	216.8	NA	31.7	-64.139	NA	182	36.599	18.899	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	NA	-64.139	NA	b10175_info.txt	2003-04-22 19:06:00	2003-04-22 20:43:00	1	175	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137067	NA	5.6413	5	203.64	NA	31.626	-64.177	NA	5	36.39	26.358	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	NA	-64.177	NA	b10181_info.txt	2003-10-07 17:33:00	2003-10-07 19:15:00	1	181	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137068	NA	5.1692	80.4	202.92	NA	31.626	-64.177	NA	81	36.703	21.568	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	NA	-64.177	NA	b10181_info.txt	2003-10-07 17:33:00	2003-10-07 19:15:00	1	181	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137069	NA	4.8799	177.7	204.29	NA	31.626	-64.177	NA	179	36.608	18.904	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	NA	-64.177	NA	b10181_info.txt	2003-10-07 17:33:00	2003-10-07 19:15:00	1	181	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137070	NA	5.0319	5	219.71	NA	31.69	-64.13	NA	5	36.694	20.321	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	NA	-64.13	NA	b10184_info.txt	2004-01-27 16:56:00	2004-01-27 18:35:00	1	184	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137071	NA	5.0329	38.7	219.82	NA	31.69	-64.13	NA	39	36.694	20.316	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	NA	-64.13	NA	b10184_info.txt	2004-01-27 16:56:00	2004-01-27 18:35:00	1	184	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137072	NA	4.8882	177.7	195.85	NA	31.69	-64.13	NA	179	36.617	18.972	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	NA	-64.13	NA	b10184_info.txt	2004-01-27 16:56:00	2004-01-27 18:35:00	1	184	4	BATS_core
BATS_186_4_2004-03-23_19:48:00	SAMN07137073	NA	5.0039	6	226.04	NA	31.77	-64.052	NA	6	36.689	20.062	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	NA	-64.052	NA	b10186_info.txt	2004-03-23 19:48:00	2004-03-23 21:20:00	1	186	4	BATS_core
BATS_186_4_2004-03-23_19:48:00	SAMN07137074	NA	4.9839	59.6	224.33	NA	31.77	-64.052	NA	60	36.672	19.87	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	NA	-64.052	NA	b10186_info.txt	2004-03-23 19:48:00	2004-03-23 21:20:00	1	186	4	BATS_core
BATS_186_4_2004-03-23_19:48:00	SAMN07137075	NA	4.9692	178.7	221.26	NA	31.77	-64.052	NA	180	36.669	19.682	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	NA	-64.052	NA	b10186_info.txt	2004-03-23 19:48:00	2004-03-23 21:20:00	1	186	4	BATS_core
BATS_195_4_2004-12-08_17:57:00	SAMN07137076	NA	5.3292	5	211.31	NA	31.687	-64.138	NA	5	36.761	23.023	10195004	2004.93647	b10195_ctd.txt	2004.93647	2004.936637	342.7479	31.687	NA	-64.138	NA	b10195_info.txt	2004-12-08 17:57:00	2004-12-08 19:25:00	1	195	4	BATS_core
BATS_195_4_2004-12-08_17:57:00	SAMN07137077	NA	5.1743	100.3	211.77	NA	31.687	-64.138	NA	101	36.727	21.622	10195004	2004.93647	b10195_ctd.txt	2004.93647	2004.936637	342.7479	31.687	NA	-64.138	NA	b10195_info.txt	2004-12-08 17:57:00	2004-12-08 19:25:00	1	195	4	BATS_core
