sampling_event_ID	BioSample	SRA	Sample name	bottle_id	collection_date	cruise_id	depth	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	isolation-source	lat	lon
	SAMN07137081	SRS2299111	S0584	1017300317	21-02-2003	BATS173	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0584, cruise BATS173, 180 m depth"	31.66	-64.16
	SAMN07137080	SRS2299110	S0583	1017300310	21-02-2003	BATS173	40	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0583, cruise BATS173, 40 m depth"	31.66	-64.16
	SAMN07137079	SRS2299109	S0582	1017300307	21-02-2003	BATS173	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0582, cruise BATS173, 1 m depth"	31.66	-64.16
	SAMN07137084	SRS2299106	S0587	1017400421	22-03-2003	BATS174	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0587, cruise BATS174, 180 m depth"	31.66	-64.16
	SAMN07137083	SRS2299105	S0586	1017400416	22-03-2003	BATS174	80	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0586, cruise BATS174, 80 m depth"	31.66	-64.16
	SAMN07137082	SRS2299104	S0585	1017400411	22-03-2003	BATS174	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0585, cruise BATS174, 1 m depth"	31.66	-64.16
	SAMN07137066	SRS2299010	S0569	1017500411	22-04-2003	BATS175	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0569, cruise BATS175, 180 m depth"	31.66	-64.16
	SAMN07137065	SRS2299016	S0568	1017500406	22-04-2003	BATS175	80	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0568, cruise BATS175, 80 m depth"	31.66	-64.16
	SAMN07137064	SRS2299015	S0567	1017500401	22-04-2003	BATS175	10	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0567, cruise BATS175, 10 m depth"	31.66	-64.16
	SAMN07137105	SRS2299061	S0608	1017600517	20-05-2003	BATS176	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0608, cruise BATS176, 180 m depth"	31.66	-64.16
	SAMN07137104	SRS2299060	S0607	1017600513	20-05-2003	BATS176	100	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0607, cruise BATS176, 100 m depth"	31.66	-64.16
	SAMN07137103	SRS2299059	S0606	1017600501	20-05-2003	BATS176	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0606, cruise BATS176, 1 m depth"	31.66	-64.16
	SAMN07137087	SRS2299113	S0590	1017800417	15-07-2003	BATS178	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0590, cruise BATS178, 180 m depth"	31.66	-64.16
	SAMN07137086	SRS2299112	S0589	1017800414	15-07-2003	BATS178	120	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0589, cruise BATS178, 120 m depth"	31.66	-64.16
	SAMN07137085	SRS2299107	S0588	1017800407	15-07-2003	BATS178	10	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0588, cruise BATS178, 10 m depth"	31.66	-64.16
	SAMN07137090	SRS2299087	S0593	1017900413	12-08-2003	BATS179	160	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0593, cruise BATS179, 160 m depth"	31.66	-64.16
	SAMN07137089	SRS2299057	S0592	1017900410	12-08-2003	BATS179	100	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0592, cruise BATS179, 100 m depth"	31.66	-64.16
	SAMN07137088	SRS2299056	S0591	1017900401	12-08-2003	BATS179	10	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0591, cruise BATS179, 10 m depth"	31.66	-64.16
	SAMN07137069	SRS2299000	S0572	1018100411	07-10-2003	BATS181	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0572, cruise BATS181, 180 m depth"	31.66	-64.16
	SAMN07137068	SRS2299002	S0571	1018100406	07-10-2003	BATS181	80	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0571, cruise BATS181, 80 m depth"	31.66	-64.16
	SAMN07137067	SRS2299009	S0570	1018100401	07-10-2003	BATS181	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0570, cruise BATS181, 1 m depth"	31.66	-64.16
	SAMN07137108	SRS2299081	S0611	1018200411	04-11-2003	BATS182	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0611, cruise BATS182, 180 m depth"	31.66	-64.16
	SAMN07137107	SRS2299067	S0610	1018200406	04-11-2003	BATS182	80	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0610, cruise BATS182, 80 m depth"	31.66	-64.16
	SAMN07137106	SRS2299066	S0609	1018200401	04-11-2003	BATS182	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0609, cruise BATS182, 1 m depth"	31.66	-64.16
	SAMN07137111	SRS2299078	S0614	1018300414	02-12-2003	BATS183	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0614, cruise BATS183, 180 m depth"	31.66	-64.16
	SAMN07137110	SRS2299079	S0613	1018300410	02-12-2003	BATS183	100	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0613, cruise BATS183, 100 m depth"	31.66	-64.16
	SAMN07137109	SRS2299080	S0612	1018300401	02-12-2003	BATS183	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0612, cruise BATS183, 1 m depth"	31.66	-64.16
	SAMN07137072	SRS2299006	S0575	1018400418	27-01-2004	BATS184	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0575, cruise BATS184, 180 m depth"	31.66	-64.16
	SAMN07137071	SRS2299003	S0574	1018400408	27-01-2004	BATS184	40	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0574, cruise BATS184, 40 m depth"	31.66	-64.16
	SAMN07137070	SRS2299004	S0573	1018400401	27-01-2004	BATS184	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0573, cruise BATS184, 1 m depth"	31.66	-64.16
	SAMN07137123	SRS2299024	S0626	1018500511	24-02-2004	BATS185	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0626, cruise BATS185, 180 m depth"	31.66	-64.16
	SAMN07137122	SRS2299023	S0625	1018500504	24-02-2004	BATS185	40	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0625, cruise BATS185, 40 m depth"	31.66	-64.16
	SAMN07137121	SRS2299020	S0624	1018500501	24-02-2004	BATS185	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0624, cruise BATS185, 1 m depth"	31.66	-64.16
	SAMN07137075	SRS2299007	S0578	1018600419	23-03-2004	BATS186	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0578, cruise BATS186, 180 m depth"	31.66	-64.16
	SAMN07137074	SRS2299008	S0577	1018600411	23-03-2004	BATS186	60	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0577, cruise BATS186, 60 m depth"	31.66	-64.16
	SAMN07137073	SRS2299005	S0576	1018600401	23-03-2004	BATS186	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0576, cruise BATS186, 1 m depth"	31.66	-64.16
	SAMN07137093	SRS2299092	S0596	1018700511	21-04-2004	BATS187	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0596, cruise BATS187, 180 m depth"	31.66	-64.16
	SAMN07137092	SRS2299093	S0595	1018700504	21-04-2004	BATS187	40	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0595, cruise BATS187, 40 m depth"	31.66	-64.16
	SAMN07137091	SRS2299086	S0594	1018700501	21-04-2004	BATS187	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0594, cruise BATS187, 1 m depth"	31.66	-64.16
	SAMN07137114	SRS2299083	S0617	1018800514	18-05-2004	BATS188	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0617, cruise BATS188, 180 m depth"	31.66	-64.16
	SAMN07137113	SRS2299084	S0616	1018800509	18-05-2004	BATS188	80	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0616, cruise BATS188, 80 m depth"	31.66	-64.16
	SAMN07137112	SRS2299085	S0615	1018800504	18-05-2004	BATS188	10	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0615, cruise BATS188, 10 m depth"	31.66	-64.16
	SAMN07137117	SRS2299088	S0620	1018900313	15-06-2004	BATS189	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0620, cruise BATS189, 180 m depth"	31.66	-64.16
	SAMN07137116	SRS2299089	S0619	1018900309	15-06-2004	BATS189	100	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0619, cruise BATS189, 100 m depth"	31.66	-64.16
	SAMN07137115	SRS2299082	S0618	1018900301	15-06-2004	BATS189	10	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0618, cruise BATS189, 10 m depth"	31.66	-64.16
	SAMN07137120	SRS2299019	S0623	1019100614	17-08-2004	BATS191	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0623, cruise BATS191, 180 m depth"	31.66	-64.16
	SAMN07137119	SRS2299022	S0622	1019100611	17-08-2004	BATS191	120	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0622, cruise BATS191, 120 m depth"	31.66	-64.16
	SAMN07137118	SRS2299021	S0621	1019100604	17-08-2004	BATS191	1	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0621, cruise BATS191, 1 m depth"	31.66	-64.16
	SAMN07137096	SRS2298998	S0599	1019200511	14-09-2004	BATS192	180	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0599, cruise BATS192, 180 m depth"	31.66	-64.16
	SAMN07137095	SRS2299090	S0598	1019200507	14-09-2004	BATS192	100	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	"Atlantic Ocean: Sargasso Sea, BATS"	"sample S0598, cruise BATS192, 100 m depth"	31.66	-64.16
