sampling_event_ID	cruise_number	cast_number	Id	cruise_type	niskin_number	decy	lat	lon	Depth	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	Chl	Phae	p18	p19	p20	p21	filename	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	NO21	PO41
BATS_175_4_2003-04-22_19:06:00	175	4	1017500401	1	1	2003.30629	31.7	-64.139	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	21.854	36.57	NA	25.454	NA	20.2	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500402	1	2	2003.30629	31.7	-64.139	10.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	21.644	36.568	NA	25.512	NA	20	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500403	1	3	2003.30629	31.7	-64.139	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	21.532	36.569	NA	25.544	NA	19.9	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500404	1	4	2003.30629	31.7	-64.139	40.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.14	36.634	NA	25.974	NA	18.6	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500405	1	5	2003.30629	31.7	-64.139	59.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.852	36.672	NA	26.081	NA	18.4	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500406	1	6	2003.30629	31.7	-64.139	80.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.453	36.638	NA	26.161	NA	18	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500407	1	7	2003.30629	31.7	-64.139	100.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.211	36.598	NA	26.194	NA	17.8	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500408	1	8	2003.30629	31.7	-64.139	120.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.278	36.634	NA	26.206	NA	17.8	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500409	1	9	2003.30629	31.7	-64.139	141.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.131	36.614	NA	26.23	NA	17.7	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500410	1	10	2003.30629	31.7	-64.139	159.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.995	36.605	NA	26.259	NA	17.6	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500411	1	11	2003.30629	31.7	-64.139	181.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.89	36.592	NA	26.276	NA	17.5	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500412	1	12	2003.30629	31.7	-64.139	200.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.868	36.596	NA	26.286	NA	17.4	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500413	1	13	2003.30629	31.7	-64.139	251.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.654	36.588	NA	26.337	NA	17.2	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500414	1	14	2003.30629	31.7	-64.139	302.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.267	36.547	NA	26.405	NA	16.9	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500415	1	15	2003.30629	31.7	-64.139	400.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	17.523	36.446	NA	26.516	NA	16.2	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500416	1	16	2003.30629	31.7	-64.139	499.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	16.498	36.271	NA	26.63	NA	15.3	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500417	1	17	2003.30629	31.7	-64.139	600.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	14.594	35.941	NA	26.808	NA	13.6	NA	NA	NA	NA	NA	NA
BATS_175_4_2003-04-22_19:06:00	175	4	1017500418	1	18	2003.30629	31.7	-64.139	999.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	6.579	35.103	NA	27.572	NA	8.4	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100401	1	1	2003.76639	31.626	-64.177	3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.36	36.387	NA	23.969	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100402	1	2	2003.76639	31.626	-64.177	10.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.352	36.387	NA	23.972	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100403	1	3	2003.76639	31.626	-64.177	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.355	36.387	NA	23.972	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100404	1	4	2003.76639	31.626	-64.177	40.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	26.327	36.385	NA	23.981	NA	26	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100405	1	5	2003.76639	31.626	-64.177	60.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	23.037	36.62	NA	25.157	NA	23.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100406	1	6	2003.76639	31.626	-64.177	81.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	21.324	36.633	NA	25.654	NA	21.7	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100407	1	7	2003.76639	31.626	-64.177	101.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	20.426	36.633	NA	25.9	NA	20.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100408	1	8	2003.76639	31.626	-64.177	120.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.822	36.628	NA	26.059	NA	20.4	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100409	1	9	2003.76639	31.626	-64.177	140.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.351	36.619	NA	26.176	NA	19.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100410	1	10	2003.76639	31.626	-64.177	162.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	19.058	36.609	NA	26.246	NA	19.7	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100411	1	11	2003.76639	31.626	-64.177	178.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.867	36.604	NA	26.291	NA	19.5	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100412	1	12	2003.76639	31.626	-64.177	202.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.71	36.594	NA	26.325	NA	19.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100413	1	13	2003.76639	31.626	-64.177	249.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.488	36.572	NA	26.367	NA	19.1	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100414	1	14	2003.76639	31.626	-64.177	300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	18.239	36.544	NA	26.41	NA	18.9	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100415	1	15	2003.76639	31.626	-64.177	400.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	17.541	36.446	NA	26.511	NA	18.3	NA	NA	NA	NA	NA	NA
BATS_181_4_2003-10-07_17:33:00	181	4	1018100416	1	16	2003.76639	31.626	-64.177	504.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bats_bottle.txt	16.356	36.244	NA	26.642	NA	17.2	NA	NA	NA	NA	NA	NA
