sampling_event_ID	BioSample	Conductivity	Depth	Dissolved_Oxygen	Latitude	Longitude	Pressure	Salinity	Temperature	cast_ID	decimal_year	filename	Decimal_date_deployed	Decimal_date_recovered	Decimal_day_deployed	Latitude_CTD_deployed	Longitude_CTD_deployed	info_filename	ISO_datetime_deployed	ISO_datetime_recovered	cruise_type	cruise_number	cast_number	cruise_type_text
BATS_175_4_2003-04-22_19:06:00	SAMN07137064	5.1759	6	221.06	31.7	-64.139	6	36.573	21.815	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	-64.139	b10175_info.txt	2003-04-22T19:06:00	2003-04-22T20:43:00	1	175	4	BATS_core
BATS_175_4_2003-04-22_19:06:00	SAMN07137065	4.9299	81.4	222.17	31.7	-64.139	82	36.624	19.402	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	-64.139	b10175_info.txt	2003-04-22T19:06:00	2003-04-22T20:43:00	1	175	4	BATS_core
BATS_175_4_2003-04-22_19:06:00	SAMN07137066	4.8785	180.7	216.8	31.7	-64.139	182	36.599	18.899	10175004	2003.30629	b10175_ctd.txt	2003.30629	2003.306475	112.796	31.7	-64.139	b10175_info.txt	2003-04-22T19:06:00	2003-04-22T20:43:00	1	175	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137067	5.6413	5	203.64	31.626	-64.177	5	36.39	26.358	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	-64.177	b10181_info.txt	2003-10-07T17:33:00	2003-10-07T19:15:00	1	181	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137068	5.1692	80.4	202.92	31.626	-64.177	81	36.703	21.568	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	-64.177	b10181_info.txt	2003-10-07T17:33:00	2003-10-07T19:15:00	1	181	4	BATS_core
BATS_181_4_2003-10-07_17:33:00	SAMN07137069	4.8799	177.7	204.29	31.626	-64.177	179	36.608	18.904	10181004	2003.766387	b10181_ctd.txt	2003.766387	2003.766581	280.731	31.626	-64.177	b10181_info.txt	2003-10-07T17:33:00	2003-10-07T19:15:00	1	181	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137070	5.0319	5	219.71	31.69	-64.13	5	36.694	20.321	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	-64.13	b10184_info.txt	2004-01-27T16:56:00	2004-01-27T18:35:00	1	184	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137071	5.0329	38.7	219.82	31.69	-64.13	39	36.694	20.316	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	-64.13	b10184_info.txt	2004-01-27T16:56:00	2004-01-27T18:35:00	1	184	4	BATS_core
BATS_184_4_2004-01-27_16:56:00	SAMN07137072	4.8882	177.7	195.85	31.69	-64.13	179	36.617	18.972	10184004	2004.073166	b10184_ctd.txt	2004.073166	2004.073354	27.706	31.69	-64.13	b10184_info.txt	2004-01-27T16:56:00	2004-01-27T18:35:00	1	184	4	BATS_core
BATS_186_4_2004-03-23_19:48:00	SAMN07137073	5.0039	6	226.04	31.77	-64.052	6	36.689	20.062	10186004	2004.224178	b10186_ctd.txt	2004.224178	2004.224353	83.825	31.77	-64.052	b10186_info.txt	2004-03-23T19:48:00	2004-03-23T21:20:00	1	186	4	BATS_core
