sampling_event_ID	bottle_id	BioSample	decy	lat	lon	Depth	Temp	CTD_S	Sal1	SigTh	O2	OxFix	Anom1	CO2	Alk	NO31	PO41	Si1	POC	PON	TOC	TN	Bact	POP	TDP	SRP	BSi	LSi	Pro	Syn	Piceu	Naneu	ISO_datetime	cruise_type	cruise_number	cast_number	niskin_number	cruise_type_text
BATS_175_4_2003-04-22_19:06:00	1017500401	SAMN07137064	2003.30629	31.7	-64.139	4	21.854	36.57	NA	25.454	NA	20.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-04-22T19:06:00Z	1	175	4	1	BATS_core
BATS_175_4_2003-04-22_19:06:00	1017500406	SAMN07137065	2003.30629	31.7	-64.139	80.9	19.453	36.638	NA	26.161	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-04-22T19:06:00Z	1	175	4	6	BATS_core
BATS_175_4_2003-04-22_19:06:00	1017500411	SAMN07137066	2003.30629	31.7	-64.139	181.3	18.89	36.592	NA	26.276	NA	17.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-04-22T19:06:00Z	1	175	4	11	BATS_core
BATS_181_4_2003-10-07_17:33:00	1018100401	SAMN07137067	2003.76639	31.626	-64.177	3.2	26.36	36.387	NA	23.969	NA	26	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-10-07T17:33:00Z	1	181	4	1	BATS_core
BATS_181_4_2003-10-07_17:33:00	1018100406	SAMN07137068	2003.76639	31.626	-64.177	81.1	21.324	36.633	NA	25.654	NA	21.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-10-07T17:33:00Z	1	181	4	6	BATS_core
BATS_181_4_2003-10-07_17:33:00	1018100411	SAMN07137069	2003.76639	31.626	-64.177	178.5	18.867	36.604	NA	26.291	NA	19.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-10-07T17:33:00Z	1	181	4	11	BATS_core
BATS_184_4_2004-01-27_16:56:00	1018400401	SAMN07137070	2004.07317	31.69	-64.13	3.4	20.336	36.694	36.693	25.965	220	20.4	-1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-01-27T16:56:00Z	1	184	4	1	BATS_core
BATS_184_4_2004-01-27_16:56:00	1018400408	SAMN07137071	2004.07317	31.69	-64.13	39.2	20.315	36.693	36.693	25.972	219.8	20.4	-1.5	NA	NA	0.1	0	0.96	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-01-27T16:56:00Z	1	184	4	8	BATS_core
BATS_184_4_2004-01-27_16:56:00	1018400418	SAMN07137072	2004.07317	31.69	-64.13	177.5	18.883	36.61	NA	26.292	NA	17.2	NA	NA	NA	1.62	0.05	1.21	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-01-27T16:56:00Z	1	184	4	18	BATS_core
BATS_186_4_2004-03-23_19:48:00	1018600401	SAMN07137073	2004.22418	31.77	-64.052	2.1	20.023	36.68	36.686	26.044	227.6	19.6	5	NA	NA	0	0	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-03-23T19:48:00Z	1	186	4	1	BATS_core
BATS_186_4_2004-03-23_19:48:00	1018600411	SAMN07137074	2004.22418	31.77	-64.052	60	19.889	36.677	36.677	26.076	226.2	19.1	3.1	NA	NA	0	0	0.89	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-03-23T19:48:00Z	1	186	4	11	BATS_core
BATS_186_4_2004-03-23_19:48:00	1018600419	SAMN07137075	2004.22418	31.77	-64.052	179.2	19.701	36.669	NA	26.125	NA	18	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2004-03-23T19:48:00Z	1	186	4	19	BATS_core
BATS_195_4_2004-12-08_17:57:00	1019500401	SAMN07137076	2004.93647	31.687	-64.138	3.5	23.036	36.761	NA	25.262	NA	21.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	49	0	NA	NA	NA	NA	NA	NA	2004-12-08T17:57:00Z	1	195	4	1	BATS_core
BATS_195_4_2004-12-08_17:57:00	1019500407	SAMN07137077	2004.93647	31.687	-64.138	99.9	21.983	36.712	NA	25.531	NA	20.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	79	1	NA	NA	NA	NA	NA	NA	2004-12-08T17:57:00Z	1	195	4	7	BATS_core
BATS_195_4_2004-12-08_17:57:00	1019500411	SAMN07137078	2004.93647	31.687	-64.138	179.9	19.288	36.651	NA	26.219	NA	18.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	2004-12-08T17:57:00Z	1	195	4	11	BATS_core
BATS_173_3_2003-02-21_19:05:00	1017300307	SAMN07137079	2003.1419	31.683	-64.173	99.4	20.003	36.681	NA	26.05	NA	18.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-02-21T19:05:00Z	1	173	3	7	BATS_core
BATS_173_3_2003-02-21_19:05:00	1017300310	SAMN07137080	2003.1419	31.683	-64.173	160.4	19.843	36.664	NA	26.082	NA	17.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-02-21T19:05:00Z	1	173	3	10	BATS_core
BATS_173_3_2003-02-21_19:05:00	1017300317	SAMN07137081	2003.1419	31.683	-64.173	601.6	14.935	36	NA	26.779	NA	13.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-02-21T19:05:00Z	1	173	3	17	BATS_core
BATS_174_4_2003-03-22_08:51:00	1017400411	SAMN07137082	2003.22019	31.676	-64.172	3.7	19.815	36.658	NA	26.078	NA	18.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-03-22T08:51:00Z	1	174	4	11	BATS_core
BATS_174_4_2003-03-22_08:51:00	1017400416	SAMN07137083	2003.22019	31.676	-64.172	78.5	19.562	36.639	NA	26.133	NA	18.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-03-22T08:51:00Z	1	174	4	16	BATS_core
BATS_174_4_2003-03-22_08:51:00	1017400421	SAMN07137084	2003.22019	31.676	-64.172	179.6	19.072	36.616	NA	26.248	NA	17.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-03-22T08:51:00Z	1	174	4	21	BATS_core
BATS_178_4_2003-07-15_19:03:00	1017800407	SAMN07137085	2003.53642	31.648	-64.317	4	28.331	36.444	NA	23.374	NA	27.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-07-15T19:03:00Z	1	178	4	7	BATS_core
BATS_178_4_2003-07-15_19:03:00	1017800414	SAMN07137086	2003.53642	31.648	-64.317	119.3	18.834	36.552	NA	26.257	NA	19.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-07-15T19:03:00Z	1	178	4	14	BATS_core
BATS_178_4_2003-07-15_19:03:00	1017800417	SAMN07137087	2003.53642	31.648	-64.317	180.1	18.685	36.576	NA	26.316	NA	19.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-07-15T19:03:00Z	1	178	4	17	BATS_core
BATS_179_4_2003-08-12_17:22:00	1017900401	SAMN07137088	2003.61294	31.65	-64.187	3.4	28.984	36.637	NA	23.302	NA	28.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-08-12T17:22:00Z	1	179	4	1	BATS_core
BATS_179_4_2003-08-12_17:22:00	1017900410	SAMN07137089	2003.61294	31.65	-64.187	99.3	20.41	36.63	NA	25.902	NA	21.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2003-08-12T17:22:00Z	1	179	4	10	BATS_core
