samplingEvent_ID	BioSample_ID	BioProjectID	lat	lon	ph	calcium	magnesium	potassium	sodium	chloride	bromide	silicate	ammonium	phosphate	nitrite	nitrate	nitrite_and_nitrate	sulfate	dissolved_iron	total_iron	Mn2plus	dissolved_hydrogen_sulfide	dissolved_organic_carbon	TDN	alkalinity	microbial_cell_abundance	sample_name	description	collection_date	depth
CDEBIMR_08082008_2644_U1301A	SAMN03166097	PRJNA266365	47.76	-127.76	7.7	10.4	53.4	10	445.3	517	0.76	162	0	2.93	0	40.7	40.7	27.5	0	nd	nd	nd	nd	40	2.56	87800	Seawater-1	Northeast_Pacific_Ocean_deep_seawater	08-08-2008	2644
CDEBIMR_08082008_2515_U1301A	SAMN03166098	PRJNA266365	47.76	-127.76	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	nd	72200	Seawater-2	Northeast_Pacific_Ocean_deep_seawater	08-08-2008	2515
CDEBIMR_04092009_2650_U1301A	SAMN03166099	PRJNA266365	47.76	-127.76	7.8	10.4	53.6	9.9	468.2	543	0.78	183	0	2.95	0	41.3	41.3	28	0	nd	nd	nd	40	43	2.42	95000	Seawater-3	Northeast_Pacific_Ocean_deep_seawater	04-09-2009	2650
CDEBIMR_04092009_2650_U1301A	SAMN03166100	PRJNA266365	47.76	-127.76	7.8	10.4	53.6	9.9	468.2	543	0.78	183	0	2.95	0	41.3	41.3	28	0	nd	nd	nd	40	43	2.42	95000	Seawater-4	Northeast_Pacific_Ocean_deep_seawater	04-09-2009	2650
CDEBIMR_04092009_2650_U1301A	SAMN03166101	PRJNA266365	47.76	-127.76	7.8	10.4	53.6	9.9	468.2	543	0.78	183	0	2.95	0	41.3	41.3	28	0	nd	nd	nd	40	43	2.42	95000	Seawater-5	Northeast_Pacific_Ocean_deep_seawater	04-09-2009	2650
CDEBIMR_24062010_2571_1025C	SAMN03166102	PRJNA266365	47.89	-128.65	7.9	10.2	51.1	10.2	459.9	531	0.84	104	0	2.14	0	27.3	27.3	27.5	0	nd	nd	nd	48	32	2.39	22000	Seawater-6	Northeast_Pacific_Ocean_deep_seawater	24-06-2010	2571
CDEBIMR_24062010_2571_1025C	SAMN03166103	PRJNA266365	47.89	-128.65	7.9	10.2	51.1	10.2	459.9	531	0.84	104	0	2.14	0	27.3	27.3	27.5	0	nd	nd	nd	48	32	2.39	22000	Seawater-7	Northeast_Pacific_Ocean_deep_seawater	24-06-2010	2571
CDEBIMR_24062010_2571_1025C	SAMN03166104	PRJNA266365	47.89	-128.65	7.9	10.2	51.1	10.2	459.9	531	0.84	104	0	2.14	0	27.3	27.3	27.5	0	nd	nd	nd	48	32	2.39	22000	Seawater-8	Northeast_Pacific_Ocean_deep_seawater	24-06-2010	2571
CDEBIMR_28062010_2648_U1301A	SAMN03166105	PRJNA266365	47.76	-127.76	7.8	10.5	53.3	10.5	473.6	545	0.84	174	0	2.8	0	40.3	40.3	28.2	0	nd	0	0	40	44	2.46	76000	Seawater-9	Northeast_Pacific_Ocean_deep_seawater	28-06-2010	2648
CDEBIMR_28062010_2648_U1301A	SAMN03166106	PRJNA266365	47.76	-127.76	7.8	10.5	53.3	10.5	473.6	545	0.84	174	0	2.8	0	40.3	40.3	28.2	0	nd	0	0	40	44	2.46	76000	Seawater-10	Northeast_Pacific_Ocean_deep_seawater	28-06-2010	2648
