samplingEvent_ID	BioSample	SRA	Sample name	collection_date	depth	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	lat	Lon
CDEBIMR_08082008_2644_U1301A	SAMN03166097	SRS738711	Seawater-1	08-08-2008	2644	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_08082008_2515_U1301A	SAMN03166098	SRS738712	Seawater-2	08-08-2008	2515	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_04092009_2650_U1301A	SAMN03166099	SRS738713	Seawater-3	04-09-2009	2650	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_04092009_2650_U1301A	SAMN03166100	SRS738714	Seawater-4	04-09-2009	2650	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_04092009_2650_U1301A	SAMN03166101	SRS738715	Seawater-5	04-09-2009	2650	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_24062010_2571_1025C	SAMN03166102	SRS738716	Seawater-6	24-06-2010	2571	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.89	-128.65
CDEBIMR_24062010_2571_1025C	SAMN03166103	SRS738717	Seawater-7	24-06-2010	2571	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.89	-128.65
CDEBIMR_24062010_2571_1025C	SAMN03166104	SRS738718	Seawater-8	24-06-2010	2571	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.89	-128.65
CDEBIMR_28062010_2648_U1301A	SAMN03166105	SRS738719	Seawater-9	28-06-2010	2648	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
CDEBIMR_28062010_2648_U1301A	SAMN03166106	SRS738720	Seawater-10	28-06-2010	2648	marine abyssal zone biome	http://purl.obolibrary.org/obo/ENVO_01000027	oceanic zone	http://purl.obolibrary.org/obo/ENVO_00000208	sea water	http://purl.obolibrary.org/obo/ENVO_00002149	Pacific Ocean	47.76	-127.76
