SamplingEvent_ID	BioSample	Cruise	Station	Type	dateTime	Longitude [degrees_east]	Latitude [degrees_north]	PRESSURE [dbar]	DEPTH [m]	Cast Identifier	Sampling Device	Bottle Number	Firing Sequence	CTDTMP [deg C]	CTDSAL	SALINITY_D_CONC_BOTTLE	CFC-11_D_CONC_BOTTLE [pmol/kg]	CFC-12_D_CONC_BOTTLE [pmol/kg]	OXYGEN_D_CONC_BOTTLE [umol/kg]	CTDOXY [umol/kg]	PHOSPHATE_D_CONC_BOTTLE [umol/kg]	SILICATE_D_CONC_BOTTLE [umol/kg]	NITRATE_D_CONC_BOTTLE [umol/kg]	NITRITE_D_CONC_BOTTLE [umol/kg]	TALK_D_CONC_BOTTLE [umol/kg]	DIC_D_CONC_BOTTLE [umol/kg]	DOC_D_CONC_BOTTLE [umol/kg]	DIC_13_12_D_DELTA_BOTTLE [per mil]	H2O_2_1_D_DELTA_BOTTLE [per mil]	H2O_18_16_D_DELTA_BOTTLE [per mil]	Al_D_CONC_FISH [nmol/kg]	Cd_D_CONC_FISH [nmol/kg]	Fe_D_CONC_FISH [nmol/kg]	Mn_D_CONC_FISH [nmol/kg]
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136483	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	10.1	10	10_02_ROS	CTD	24	24	10.512	34.709	NA	3.305	1.983	NA	284.6	0.14	1	0.4	0.08	2310.800049	2068.5	61.951221	NA	NA	NA	NA	NA	NA	NA
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136484	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	50.4	50	10_02_ROS	CTD	22	22	11.374	35.196999	NA	3.059	1.845	NA	252.7	0.32	1.2	3.3	0.19	2328.899902	2099.399902	55.804878	NA	NA	NA	NA	NA	NA	NA
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136485	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	75.7	75	10_02_ROS	CTD	21	21	11.424	35.296001	NA	NA	NA	NA	249.4	0.41	1.6	4.7	0.28	2333.300049	2110	NA	NA	NA	NA	NA	NA	NA	NA
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136486	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	101.9	101	10_02_ROS	CTD	20	20	10.667	35.249001	NA	3.096	1.85	NA	239.1	0.61	4	9	0.2	2328.399902	2127.300049	52.975609	NA	NA	NA	NA	NA	NA	NA
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136487	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	153.4	152	10_02_ROS	CTD	19	19	9.877	35.140999	NA	NA	NA	NA	228	0.77	5.4	11.8	0.06	2321.699951	2139.600098	NA	NA	NA	NA	NA	NA	NA	NA
CTD_10_02_ROS_2010-05-10T10:40:28	SAMN07136488	GA02	10	B	2010-05-10T10:40:28	317.5531	49.722	200.8	199	10_02_ROS	CTD	18	18	9.11	35.051998	NA	2.448	1.395	NA	181.8	1.13	9	17.5	0.05	2315.800049	2165.699951	NA	NA	NA	NA	NA	NA	NA	NA
CTD_12_02_ROS_2010-05-12T18:57:00	SAMN07136489	GA02	12	B	2010-05-12T18:57:00	320.34161	46.3119	10.1	10	12_02_ROS	CTD	24	24	15.31	35.938	NA	2.586	1.577	NA	259.9	0.03	0	0.9	0.08	2354.100098	2078.300049	58.243904	NA	NA	NA	NA	NA	NA	NA
CTD_12_02_ROS_2010-05-12T18:57:00	SAMN07136490	GA02	12	B	2010-05-12T18:57:00	320.34161	46.3119	49.4	49	12_02_ROS	CTD	22	22	15.043	36.056	NA	NA	NA	NA	225.5	0.26	1.5	4.6	0.18	2355.600098	2110.600098	58.536587	NA	NA	NA	NA	NA	NA	NA
CTD_12_02_ROS_2010-05-12T18:57:00	SAMN07136491	GA02	12	B	2010-05-12T18:57:00	320.34161	46.3119	73.6	73	12_02_ROS	CTD	21	21	14.888	36.030998	NA	NA	NA	NA	222.5	0.31	1.9	5.1	0.22	2354.399902	2114	NA	NA	NA	NA	NA	NA	NA	NA
CTD_12_02_ROS_2010-05-12T18:57:00	SAMN07136492	GA02	12	B	2010-05-12T18:57:00	320.34161	46.3119	100.9	100	12_02_ROS	CTD	20	20	14.859	36.030998	NA	2.513	1.523	NA	222.7	0.32	2.2	5.3	0.31	2351.199951	2114.5	57.170731	NA	NA	NA	NA	NA	NA	NA
