SamplingEvent_ID	BioSample	SRA	Sample name	bottle_id	collection_date	cruise_id	cruise_station	depth	env_biome	purl_biome	env_feature	purl_feature	env_material	purl_material	geo_loc_name	geotraces_section	lat	lon
	SAMN07136962	SRS2329670	S0500	237930	11/15/10	D357	11	121.1	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136961	SRS2329668	S0499	237932	11/15/10	D357	11	91.5	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136960	SRS2329662	S0498	237933	11/15/10	D357	11	71.3	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136959	SRS2329664	S0497	237934	11/15/10	D357	11	51.2	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136958	SRS2329659	S0496	237936	11/15/10	D357	11	21.4	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136957	SRS2329660	S0495	237937	11/15/10	D357	11	6.1	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-39.25553	7.72506
	SAMN07136956	SRS2329666	S0494	237880	11/12/10	D357	3 reoccupied	100.9	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136955	SRS2329667	S0493	237881	11/12/10	D357	3 reoccupied	80.9	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136954	SRS2329663	S0492	237882	11/12/10	D357	3 reoccupied	61.5	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136953	SRS2329665	S0491	237886	11/12/10	D357	3 reoccupied	40.7	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136952	SRS2329539	S0490	237887	11/12/10	D357	3 reoccupied	21.1	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136951	SRS2329538	S0489	237889	11/12/10	D357	3 reoccupied	6.3	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-36.4495	13.21958
	SAMN07136950	SRS2329531	S0488	237826	11/10/10	D357	9	101.1	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136949	SRS2329528	S0487	237829	11/10/10	D357	9	71.6	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136948	SRS2329532	S0486	237830	11/10/10	D357	9	60.9	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136947	SRS2329530	S0485	237837	11/10/10	D357	9	41.3	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136946	SRS2329533	S0484	237839	11/10/10	D357	9	21.2	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136945	SRS2329534	S0483	237841	11/10/10	D357	9	6	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-34.89531	16.07692
	SAMN07136944	SRS2329536	S0482	237733	10/29/10	D357	6	101.9	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-40.01935	0.88755
	SAMN07136943	SRS2329535	S0481	237737	10/29/10	D357	6	76.2	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-40.01935	0.88755
	SAMN07136942	SRS2329428	S0480	237739	10/29/10	D357	6	61.4	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-40.01935	0.88755
	SAMN07136941	SRS2329432	S0479	237741	10/29/10	D357	6	50.9	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-40.01935	0.88755
	SAMN07136940	SRS2329431	S0478	237743	10/29/10	D357	6	21.4	ocean_biome	http://purl.obolibrary.org/obo/ENVO_01000048	ocean	http://purl.obolibrary.org/obo/ENVO_00000015	water	http://purl.obolibrary.org/obo/ENVO_00002006	Atlantic Ocean	GA10	-40.01935	0.88755
