SamplingEvent_ID	Cruise	Section	Station	dateTime	Longitude [degrees_east]	Latitude [degrees_north]	Sampling Device
CTD_10_02_ROS_2010-05-10T10:40:28	PE319	GA02	10	2010-05-10T10:40:28	-42.4469	49.722	CTD
CTD_11_02_ROS_2010-05-11T15:01:29	PE319	GA02	11	2010-05-11T15:01:29	-39.39951	47.8	CTD
CTD_12_02_ROS_2010-05-12T18:57:00	PE319	GA02	12	2010-05-12T18:57:00	-39.65839	46.3119	CTD
CTD_15_01_ROS_2010-05-19T00:32:00	PE319	GA02	15	2010-05-19T00:32:00	-50.78189	37.5345	CTD
CTD_16_02_ROS_2010-05-20T11:48:29	PE319	GA02	16	2010-05-20T11:48:29	-53.29102	36.2051	CTD
CTD_17_02_ROS_2010-05-21T11:48:00	PE319	GA02	17	2010-05-21T11:48:00	-55.4245	34.3307	CTD
CTD_18_02_ROS_2010-05-22T11:39:28	PE319	GA02	18	2010-05-22T11:39:28	-58.0502	33.4334	CTD
CTD_21_01_ROS_2010-06-13T06:52:37	PE321	GA02	21	2010-06-13T06:52:37	-64.16669	31.6668	CTD
CTD_23_04_ROS_2010-06-15T17:48:38	PE321	GA02	23	2010-06-15T17:48:38	-67.5015	28.0907	CTD
CTD_25_02_ROS_2010-06-17T18:08:29	PE321	GA02	25	2010-06-17T18:08:29	-67.07269	24.7144	CTD
CTD_27_02_ROS_2010-06-19T19:48:29	PE321	GA02	27	2010-06-19T19:48:29	-63.58331	22.3409	CTD
CTD_31_02_ROS_2010-06-24T13:11:00	PE321	GA02	31	2010-06-24T13:11:00	-56.26862	16.831	CTD
CTD_33_02_ROS_2010-06-26T10:46:29	PE321	GA02	33	2010-06-26T10:46:29	-53.42111	13.162	CTD
CTD_35_02_ROS_2010-06-28T12:42:28	PE321	GA02	35	2010-06-28T12:42:28	-50.4686	9.5459	CTD
CTD_CTD005_S_2010-10-19T01:56:39	D357	GA10	1	2010-10-19T01:56:39	17.0538	-34.6197	CTD
CTD_CTD008_S_2010-10-20T04:59:20	D357	GA10	2	2010-10-20T04:59:20	14.9537	-35.4147	CTD
CTD_CTD011_S_2010-10-23T09:01:22	D357	GA10	3	2010-10-23T09:01:22	13.2704	-36.4658	CTD
CPUMP_2119_2010-10-24T16:53:53	KN199-04	GA03	7	2010-10-24T16:53:53	-21.99789	24.0022	CPUMP
CTD_2121_2010-10-24T16:53:53	KN199-04	GA03	7	2010-10-24T16:53:53	-21.99789	24.0022	CTD
CTD_CTD018_S_2010-10-25T23:45:39	D357	GA10	4	2010-10-25T23:45:39	10.0524	-38.416	CTD
CTD_CTD021_S_2010-10-27T14:14:39	D357	GA10	5	2010-10-27T14:14:39	5.52473	-40.0445	CTD
CTD_CTD024_S_2010-10-29T18:36:13	D357	GA10	6	2010-10-29T18:36:13	0.86865	-40.0054	CTD
CPUMP_2187_2010-10-30T08:16:27	KN199-04	GA03	10	2010-10-30T08:16:27	-20.82111	17.3538	CPUMP
CTD_2188_2010-10-30T08:16:27	KN199-04	GA03	10	2010-10-30T08:16:27	-20.82111	17.3538	CTD
CPUMP_2215_2010-11-02T13:47:25	KN199-04	GA03	12	2010-11-02T13:47:25	-24.49811	17.4018	CPUMP
CTD_2218_2010-11-02T13:47:25	KN199-04	GA03	12	2010-11-02T13:47:25	-24.49811	17.4018	CTD
CTD_CTD032_S_2010-11-10T07:16:39	D357	GA10	9	2010-11-10T07:16:39	16.0595	-34.9184	CTD
CTD_CTD035_S_2010-11-12T08:52:30	D357	GA10	3 reoccupied	2010-11-12T08:52:30	13.231	-36.4502	CTD
CTD_CTD039_S_2010-11-14T23:18:21	D357	GA10	11	2010-11-14T23:18:21	7.72904	-39.2549	CTD
CTD_01_02_ROS_2011-03-05T19:28:00	JC057	GA02	1	2011-03-05T19:28:00	-52.68811	-49.5472	CTD
CTD_02_02_ROS_2011-03-06T23:17:05	JC057	GA02	2	2011-03-06T23:17:05	-48.73471	-48.8942	CTD
CTD_03_02_ROS_2011-03-08T01:17:58	JC057	GA02	3	2011-03-08T01:17:58	-47.19958	-46.92	CTD
CTD_04_02_ROS_2011-03-09T01:31:58	JC057	GA02	4	2011-03-09T01:31:58	-45.5361	-44.7068	CTD
CTD_05_02_ROS_2011-03-10T00:58:29	JC057	GA02	5	2011-03-10T00:58:29	-44.02579	-42.3713	CTD
CTD_06_02_ROS_2011-03-11T03:14:21	JC057	GA02	6	2011-03-11T03:14:21	-42.4166	-39.9632	CTD
CTD_07_01_ROS_2011-03-12T05:31:51	JC057	GA02	7	2011-03-12T05:31:51	-41.13089	-37.8398	CTD
CTD_08_02_ROS_2011-03-13T11:25:00	JC057	GA02	8	2011-03-13T11:25:00	-39.4368	-35.0088	CTD
CTD_09_02_ROS_2011-03-14T17:22:26	JC057	GA02	9	2011-03-14T17:22:26	-37.45929	-32.0894	CTD
CTD_10_02_ROS_2011-03-15T22:09:00	JC057	GA02	10	2011-03-15T22:09:00	-35.79599	-29.0579	CTD
CTD_11_01_ROS_2011-03-17T04:12:46	JC057	GA02	11	2011-03-17T04:12:46	-34.27911	-26.0891	CTD
CTD_12_02_ROS_2011-03-18T14:57:16	JC057	GA02	12	2011-03-18T14:57:16	-32.74438	-22.4715	CTD
CTD_13_02_ROS_2011-03-20T13:07:00	JC057	GA02	13	2011-03-20T13:07:00	-30.59921	-17.0168	CTD
CTD_14_02_ROS_2011-03-21T23:46:41	JC057	GA02	14	2011-03-21T23:46:41	-29.22729	-12.894	CTD
CTD_15_02_ROS_2011-03-23T09:15:29	JC057	GA02	15	2011-03-23T09:15:29	-28	-9.15415	CTD
CTD_16_01_ROS_2011-03-24T16:23:25	JC057	GA02	16	2011-03-24T16:23:25	-28.46011	-5.677	CTD
CTD_17_02_ROS_2011-03-25T21:54:54	JC057	GA02	17	2011-03-25T21:54:54	-28.9169	-2.65115	CTD
CTD_18_02_ROS_2011-03-27T11:28:00	JC057	GA02	18	2011-03-27T11:28:00	-32.87811	-0.18715	CTD
CTD_2_2011-05-14T10:37:58	SS2011	GP13	1	2011-05-14T10:37:58	153.50101	-29.9982	CTD
CTD_3_2011-05-15T01:28:38	SS2011	GP13	2	2011-05-15T01:28:38	154.004	-30.0019	CTD
CTD_6_2011-05-16T17:59:17	SS2011	GP13	4	2011-05-16T17:59:17	155.98599	-30.0006	CTD
CTD_9_2011-05-17T19:55:38	SS2011	GP13	7	2011-05-17T19:55:38	159	-29.9999	CTD
CTD_12_2011-05-19T15:42:38	SS2011	GP13	11	2011-05-19T15:42:38	162.998	-30.0006	CTD
CTD_17_2011-05-21T16:06:42	SS2011	GP13	15	2011-05-21T16:06:42	166.987	-30	CTD
CTD_21_2011-05-23T11:54:38	SS2011	GP13	19	2011-05-23T11:54:38	171	-29.9997	CTD
CTD_24_2011-05-24T15:11:38	SS2011	GP13	22	2011-05-24T15:11:38	174.00101	-30.0013	CTD
CTD_26_2011-05-25T19:16:06	SS2011	GP13	24	2011-05-25T19:16:06	175.98	-30.0002	CTD
CTD_29_2011-05-26T22:17:00	SS2011	GP13	26	2011-05-26T22:17:00	178	-31.5988	CTD
CTD_32_2011-05-28T11:09:40	SS2011	GP13	29	2011-05-28T11:09:40	-179.125	-32.4995	CTD
CTD_35_2011-05-29T16:18:17	SS2011	GP13	32	2011-05-29T16:18:17	-176.03	-32.4995	CTD
CTD_37_2011-05-31T18:10:31	SS2011	GP13	38	2011-05-31T18:10:31	-170	-32.5001	CTD
CTD_39_2011-06-01T12:02:53	SS2011	GP13	36	2011-06-01T12:02:53	-171.99899	-32.4998	CTD
CTD_7004_1_CTD_2011-06-10T23:45:49	TAN1109	GP13	7004	2011-06-10T23:45:49	-170.99001	-32.4927	CTD
CTD_7005_1_CTD_2011-06-11T11:26:28	TAN1109	GP13	7005	2011-06-11T11:26:28	-169.994	-32.4923	CTD
CTD_7006_1_CTD_2011-06-12T07:56:00	TAN1109	GP13	7006	2011-06-12T07:56:00	-168.99899	-32.4977	CTD
CTD_7007_1_CTD_2011-06-12T17:23:53	TAN1109	GP13	7007	2011-06-12T17:23:53	-168.002	-32.4955	CTD
CTD_7008_1_CTD_2011-06-13T03:07:58	TAN1109	GP13	7008	2011-06-13T03:07:58	-167.005	-32.4951	CTD
CTD_7009_1_CTD_2011-06-13T13:14:12	TAN1109	GP13	7009	2011-06-13T13:14:12	-165.993	-32.4946	CTD
CTD_7010_1_CTD_2011-06-14T00:36:42	TAN1109	GP13	7010	2011-06-14T00:36:42	-164.991	-32.5037	CTD
CTD_7011_1_CTD_2011-06-14T18:16:46	TAN1109	GP13	7011	2011-06-14T18:16:46	-163.99001	-32.5055	CTD
CTD_7012_1_CTD_2011-06-15T09:41:47	TAN1109	GP13	7012	2011-06-15T09:41:47	-162.99699	-32.5039	CTD
CTD_7013_1_CTD_2011-06-15T22:11:58	TAN1109	GP13	7013	2011-06-15T22:11:58	-162.015	-32.508	CTD
CTD_7014_1_CTD_2011-06-16T08:47:10	TAN1109	GP13	7014	2011-06-16T08:47:10	-160.99899	-32.5008	CTD
CTD_7015_1_CTD_2011-06-16T18:01:28	TAN1109	GP13	7015	2011-06-16T18:01:28	-160.011	-32.5075	CTD
CTD_7016_1_CTD_2011-06-17T03:05:31	TAN1109	GP13	7016	2011-06-17T03:05:31	-159.008	-32.4798	CTD
CTD_7017_1_CTD_2011-06-17T17:05:30	TAN1109	GP13	7017	2011-06-17T17:05:30	-158.013	-32.4969	CTD
CTD_7018_1_CTD_2011-06-18T10:43:42	TAN1109	GP13	7018	2011-06-18T10:43:42	-157.00999	-32.4944	CTD
CTD_7019_1_CTD_2011-06-18T20:39:13	TAN1109	GP13	7019	2011-06-18T20:39:13	-156.009	-32.5035	CTD
CTD_7020_1_CTD_2011-06-19T06:57:23	TAN1109	GP13	7020	2011-06-19T06:57:23	-154.99899	-32.4944	CTD
CTD_7021_1_CTD_2011-06-19T20:25:45	TAN1109	GP13	7021	2011-06-19T20:25:45	-154.004	-32.496	CTD
CTD_7022_1_CTD_2011-06-20T13:15:47	TAN1109	GP13	7022	2011-06-20T13:15:47	-153.005	-32.4937	CTD
CTD_7023_1_CTD_2011-06-21T01:59:18	TAN1109	GP13	7023	2011-06-21T01:59:18	-151.99699	-32.5029	CTD
CTD_7024_1_CTD_2011-06-21T13:48:07	TAN1109	GP13	7024	2011-06-21T13:48:07	-151.00301	-32.4945	CTD
CTD_3015_2011-11-07T19:16:40	KN204-01	GA03	1	2011-11-07T19:16:40	-69.81342	39.6924	CTD
CTD_3031_2011-11-11T00:07:01	KN204-01	GA03	3	2011-11-11T00:07:01	-69.11578	38.6683	CTD
