Sampling_EventID	sample_name	BioSample	Depth	Description	ENA checklist	Event Date/Time	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Protocol Label	SRA accession	Salinity	Sample Name	Sampling Campaign	Sampling Platform	Sampling Site	Temperature	environment (biome)	purl_biome	environment (feature)	purl_feature	environment (material)	purl_material	event label	nitrate sensor	oxygen sensor	sample collection device	sample site	size fraction lower threshold
GEOARTIC_SE_01	KD083_170407	SAMEA104347431	0	"Station 46 melt pond, depth 0m"	ERC000027	19-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972409	NA	ERS1972409	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	melt pond	http://purl.obolibrary.org/obo/ENVO_03000040	seawater	http://purl.obolibrary.org/obo/ENVO_00002149						
GEOARTIC_SE_02	KD083_170322	SAMEA104347430	0	"Station 46 melt pond, depth 0m"	ERC000027	19-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972408	NA	ERS1972408	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	melt pond	http://purl.obolibrary.org/obo/ENVO_03000040	seawater	http://purl.obolibrary.org/obo/ENVO_00002149						
GEOARTIC_SE_03	KD091_170407	SAMEA104347443	0.1	"Station 46 sea ice, depth 0.1m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972421	NA	ERS1972421	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_04	KD091_170322	SAMEA104347442	0.1	"Station 46 sea ice, depth 0.1m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972420	NA	ERS1972420	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_05	KD090_170407	SAMEA104347441	0.3	"Station 46 sea ice, depth 0.3m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972419	NA	ERS1972419	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_06	KD090_170322	SAMEA104347440	0.3	"Station 46 sea ice, depth 0.3m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972418	NA	ERS1972418	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_07	KD089_170407	SAMEA104347439	0.5	"Station 46 sea ice, depth 0.5m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972417	NA	ERS1972417	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_08	KD089_170322	SAMEA104347438	0.5	"Station 46 sea ice, depth 0.5m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972416	NA	ERS1972416	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_09	KD088_170407	SAMEA104347437	0.7	"Station 46 sea ice, depth 0.7m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972415	NA	ERS1972415	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
GEOARTIC_SE_10	KD088_170322	SAMEA104347436	0.7	"Station 46 sea ice, depth 0.7m"	ERC000027	20-09-2015	82.50385	82.50385	-149.7905	-149.7905	Arctic Ocean	NPL022	ERS1972414	NA	ERS1972414	GEOTRACES ARCTIC 2015	CGC Healy	46	NA	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	marine water body	http://purl.obolibrary.org/obo/ENVO_00001999	sea ice	http://purl.obolibrary.org/obo/ENVO_00002200						
