parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
sample_event ID	centrally registered sampling event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/293636	string	
sample_Alias									https://www.ncbi.nlm.nih.gov/bioproject/293636		
ArchiveID_biosample	specimen identifier assigned by sequencing facility	http://purl.obolibrary.org/obo/OBI_0001901	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/293636	string	
Description	comment on investigation	http://purl.obolibrary.org/obo/PMO_00000075	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/293636	string	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/293636		
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/293636		
ArchiveID_SRAaccession									https://www.ncbi.nlm.nih.gov/bioproject/293636		
sample_name									https://www.ncbi.nlm.nih.gov/bioproject/293636		
upper_filtration_size	upper size threshold filter paper	http://purl.obolibrary.org/obo/PMO_00000023	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/293636	number	
lower_filtration_size	lower size threshold filter paper	http://purl.obolibrary.org/obo/PMO_00000022	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/293636	number	
ammonia				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
chlorophyll				mg/m3					https://www.ncbi.nlm.nih.gov/bioproject/293636		
collection_dateTime				ISO					https://www.ncbi.nlm.nih.gov/bioproject/293636		
depth				m					https://www.ncbi.nlm.nih.gov/bioproject/293636		
diss_oxygen				mg/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
env_biome									https://www.ncbi.nlm.nih.gov/bioproject/293636		
env_feature									https://www.ncbi.nlm.nih.gov/bioproject/293636		
env_package									https://www.ncbi.nlm.nih.gov/bioproject/293636		
geo_loc_name									https://www.ncbi.nlm.nih.gov/bioproject/293636		
lat	latitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001620	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/293636	number	
lon	longitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001621	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/293636	number	
nitrate				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
nitrite				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
pH									https://www.ncbi.nlm.nih.gov/bioproject/293636		
phosphate				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
salinity				ppt					https://www.ncbi.nlm.nih.gov/bioproject/293636		
silicate				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
temp				¡C					https://www.ncbi.nlm.nih.gov/bioproject/293636		
total_depth_water_col				m					https://www.ncbi.nlm.nih.gov/bioproject/293636		
urea				umol/L					https://www.ncbi.nlm.nih.gov/bioproject/293636		
