sample_event_ID	sample_Alias	ArchiveID_biosample	Description	ENA checklist	INSDC center name	ArchiveID_SRAaccession	sample_name	upper_filtration_size	lower_filtration_size	ammonia	chlorophyll	collection_dateTime	depth	diss_oxygen	env_biome	env_feature	env_package	geo_loc_name	lat	lon	nitrate	nitrite	pH	phosphate	salinity	silicate	temp	total_depth_water_col	urea
SE_67	jcvi_beyster_201508_GS605_3p0	SAMEA3512125	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS605 (lat:20.094784, long:-105.63443), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819274	GS605	20	3	0.254	0.55	2009-03-26T17:18:00	35		ocean biome	coastal	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	25.949	0.063	8.01	2.268	34.6	27.099	17.1	561	0.262
SE_67	jcvi_beyster_201508_GS605_0p8	SAMEA3512124	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS605 (lat:20.094784, long:-105.63443), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819273	GS605	3	0.8	0.254	0.55	2009-03-26T17:18:00	35		ocean biome	coastal	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	25.949	0.063	8.01	2.268	34.6	27.099	17.1	561	0.262
SE_67	jcvi_beyster_201508_GS605_0p1	SAMEA3512123	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS605 (lat:20.094784, long:-105.63443), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819272	GS605	0.8	0.1	0.254	0.55	2009-03-26T17:18:00	35		ocean biome	coastal	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	25.949	0.063	8.01	2.268	34.6	27.099	17.1	561	0.262
SE_67	jcvi_beyster_201508_GS606_3p0	SAMEA3512128	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS606 (lat:20.094784, long:-105.63443), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819277	GS606	20	3	0.291	3	2009-03-26T17:18:00	8		ocean biome	coastal bloom	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	1.436	<0.03 (below detection)	8.47	0.586	34.6	3.078	24.3	561	0.571
SE_67	jcvi_beyster_201508_GS606_0p8	SAMEA3512127	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS606 (lat:20.094784, long:-105.63443), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819276	GS606	3	0.8	0.291	3	2009-03-26T17:18:00	8		ocean biome	coastal bloom	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	1.436	<0.03 (below detection)	8.47	0.586	34.6	3.078	24.3	561	0.571
SE_67	jcvi_beyster_201508_GS606_0p1	SAMEA3512126	"Water sample taken on 2009-03-26 05:18 PM +0000 from site GS606 (lat:20.094784, long:-105.63443), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Mexico, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Mexico as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819275	GS606	0.8	0.1	0.291	3	2009-03-26T17:18:00	8		ocean biome	coastal bloom	water	North Pacific Ocean:Mexican Pacific Transition:Mexican Pacific Transition Shelf Marine Ecoregion:Mexico	20.094784	-105.63443	1.436	<0.03 (below detection)	8.47	0.586	34.6	3.078	24.3	561	0.571
SE_68	jcvi_beyster_201508_GS618_3p0	SAMEA3512131	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS618 (lat:7.1635003, long:-81.71476), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819280	GS618	20	3	0.241	0.76	2009-04-03T17:46:00	50.5		ocean biome	coastal	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71476	29.151	1.211	8.12	2.039	34.8	27.144	14.7	466.5	0.428
SE_68	jcvi_beyster_201508_GS618_0p8	SAMEA3512130	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS618 (lat:7.1635003, long:-81.71476), 0.8-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819279	GS618	3	0.8	0.241	0.76	2009-04-03T17:46:00	50.5		ocean biome	coastal	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71476	29.151	1.211	8.12	2.039	34.8	27.144	14.7	466.5	0.428
SE_68	jcvi_beyster_201508_GS618_0p1	SAMEA3512129	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS618 (lat:7.1635003, long:-81.71476), 0.1-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819278	GS618	0.8	0.1	0.241	0.76	2009-04-03T17:46:00	50.5		ocean biome	coastal	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71476	29.151	1.211	8.12	2.039	34.8	27.144	14.7	466.5	0.428
SE_69	jcvi_beyster_201508_GS619_3p0	SAMEA3512134	"Water sample taken on 2009-04-03 05:46 PM +0000 from site GS619 (lat:7.1635003, long:-81.71143), 3.0-�m filter fraction. Samples were collected by filtering 200L of water pumped through a 20-�m prefilter, then size-fractionating by serial filtration through 3-�m, 0.8-�m, and 0.1-�m membrane filters, then finally, in some samples, through tangential flow filtration fitted with a 50kDa pore size filter to concentrate a viral fraction. This genetic information may be considered to be part of the genetic patrimony of Panama, the country from which the sample was obtained. Users of this information agree to: 1) acknowledge Panama as the country of origin in any country where the genetic information is presented and 2) contact the CBD focal point identified on the CBD website: http://www.cbd.int/countries/ if they intend to use the genetic information for commercial purposes."	ERC000011	J CRAIG VENTER INSTITUTE	ERS819283	GS619	20	3	0.482	17.6	2009-04-03T17:46:00	20		ocean biome	coastal bloom	water	North Pacific Ocean:Tropical East Pacific:Nicoya Marine Ecoregion:Panama	7.1635003	-81.71143	5.182	0.245	8.62	0.509	33.3	6.13	25.8	466.5	0.406
