cruise_expedition,expedition_URL,cruise_name,Vessel_description,WOCE_ID,R2R_cruise_name,R2R_cruise_DOI,start_date,end_date,start_port,end_port,CCHDO url, BCO-DMO summary,BCO-DMO deployment
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT144,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0301,10.7284/904254,1/15/03,1/19/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI144_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot144.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT145,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0304,10.7284/904255,2/24/03,2/28/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI145_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot145.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT146,https://www.rvdata.us/search/vessel/Kilo%20Moana, PRS2,KM0306,10.7284/901680,3/27/03,3/31/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB146_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot146.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT147,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0307,10.7284/904256,4/22/03,4/26/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI147_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot147.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT148,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0308,10.7284/904257,5/19/03,5/23/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI148_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot148.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT149,https://www.rvdata.us/search/vessel/Revelle, PRS2,CNTL11RR,10.7284/904595,6/18/03,6/22/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33RR149_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot149.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT150,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0310,10.7284/904259,7/18/03,7/22/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI150_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot150.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT151,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0313,10.7284/904260,8/19/03,8/23/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI151_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot151.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT152,https://www.rvdata.us/search/vessel/Kilo%20Moana, PRS2,KM0315,10.7284/903098,10/13/03,10/17/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB152_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot152.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT153,https://www.rvdata.us/search/vessel/Kilo%20Moana, PRS2,KM0321,10.7284/903036,11/8/03,11/12/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB153_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot153.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT154,https://www.rvdata.us/search/vessel/Kilo%20Moana, PRS2,KM0325,10.7284/903037,12/18/03,12/22/03,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB154_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot154.sum,https://www.bco-dmo.org/dataset-deployment/516944
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT155,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0401,10.7284/907078,1/20/04,1/24/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI155_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot155.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT156,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0403,10.7284/904261,2/23/04,2/27/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI156_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT157,https://www.rvdata.us/search/vessel/Kilo%20Moana, PRS2,KM0408,10.7284/903038,3/18/04,3/22/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB157_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot157.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT158,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0404,10.7284/904262,4/19/04,4/23/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI158_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT159,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0407,10.7284/904263,5/17/04,5/21/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI159_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT160,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0408,10.7284/904264,6/14/04,6/18/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI160_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot160.sum,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT162,https://www.rvdata.us/search/vessel/KOK, PRS2,KOK0415,10.7284/904266,8/14/04,8/18/04,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI162_1,http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot162.sum,
