Exp_Omic ID	Sample_ID	Archive_ID	Sample name: 	Instrument: 	Strategy: 	Source: 	Selection: 	Layout: 	sample_prep_method	library_kit	Laboratory protocol - extraction, sequencing, etc
EO_1	S_1	SRS2299043	S0501	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_2	S_2	SRS2299042	S0502	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_3	S_3	SRS2299041	S0503	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_4	S_4	SRS2299040	S0504	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_5	S_5	SRS2299039	S0505	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_6	S_6	SRS2299038	S0506	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_7	S_7	SRS2299037	S0507	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_8	S_8	SRS2299036	S0508	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_9	S_9	SRS2299045	S0509	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
EO_10	S_10	SRS2299044	S0510	NextSeq 550	WGS	METAGENOMIC	RANDOM	PAIRED	phenol/chloroform extraction	NextEra XT	Total community DNA was extracted using a phenol/chloroform-based extraction method. Lysing Matrix E beads (MP Biomedicals), 400 ul Phenol:Chloroform:IAA (25:24:1) and 400 ul 2x TENS buffer (100 mM Tris-HCL pH 8.0, 40 mM EDTA, 200 mM NaCl, 2% SDS for 2x buffer) were added to a microcentrifuge tube containing the filter and bead beat for 40 seconds. After spinning at 19,000 x g for 5 minutes, the aqueous phase was transferred into a Phase Lock Gel tube (5 Prime), mixed with an equal volume of chloroform, and then spun at 16,000 RPM for 5 minutes. The supernatant was removed and mixed with an equal volume of AMPure XP beads (Beckman Coulter), and incubated at room temperature for 10 minutes. The beads were washed twice with 75% ethanol, dried, and resuspended in 20 uL ultrapure water. Libraries were constructed by the MIT BioMicro center using the NextEra XT kit and sequenced on an Illumina NextSeq
