Exp_Omic ID	Run_ID	Archive_ID	nb of Spots	nb of Bases	Size	Published date
EO_1	R_1	SRR5720299	13333617	4	1.5	5/1/18
EO_2	R_2	SRR5720300	10540927	3.2	1.2	5/1/18
EO_3	R_3	SRR5720301	12242781	3.7	1.3	5/1/18
EO_4	R_4	SRR5720302	41507610	12.5	4.9	5/1/18
EO_5	R_5	SRR5720303	26554323	8	3.1	5/1/18
EO_6	R_6	SRR5720304	20096976	6	2.4	5/1/18
EO_7	R_7	SRR5720305	28122089	8.4	3.3	5/1/18
EO_8	R_8	SRR5720306	21950314	6.6	2.6	5/1/18
EO_9	R_9	SRR5720297	31649155	9.5	3.6	5/1/18
EO_10	R_10	SRR5720298	23448593	7	2.7	5/1/18
EO_11	R_11	SRR5720225	25291252	7.6	2.9	5/1/18
EO_12	R_12	SRR5720226	31199129	9.4	3.9	5/1/18
EO_13	R_13	SRR5720227	22370133	6.7	2.6	5/1/18
EO_14	R_14	SRR5720228	31512521	9.5	3.6	5/1/18
EO_15	R_15	SRR5720221	25125604	7.5	3.1	5/1/18
EO_16	R_16	SRR5720222	26379124	7.9	3.1	5/1/18
EO_17	R_17	SRR5720223	29188845	8.8	3.4	5/1/18
EO_18	R_18	SRR5720224	19503759	5.9	2.3	5/1/18
EO_19	R_19	SRR5720219	22377770	6.7	2.6	5/1/18
EO_20	R_20	SRR5720220	18532257	5.6	2.2	5/1/18
EO_21	R_21	SRR5720242	25512857	7.7	3.1	5/1/18
EO_22	R_22	SRR5720241	32721051	9.8	3.9	5/1/18
EO_23	R_23	SRR5720244	39013537	11.7	4.7	5/1/18
EO_24	R_24	SRR5720243	40531155	12.2	4.8	5/1/18
EO_25	R_25	SRR5720246	33468362	10	4	5/1/18
EO_26	R_26	SRR5720245	31170529	9.4	3.8	5/1/18
EO_27	R_27	SRR5720248	23767421	7.1	2.9	5/1/18
EO_28	R_28	SRR5720247	26441873	7.9	3.2	5/1/18
EO_29	R_29	SRR5720240	26191174	7.9	3.2	5/1/18
EO_30	R_30	SRR5720239	34151795	10.2	4.1	5/1/18
EO_31	R_31	SRR5720269	17902513	5.4	2.1	5/1/18
EO_32	R_32	SRR5720270	45464228	13.6	5.4	5/1/18
EO_33	R_33	SRR5720267	45638515	13.7	5.5	5/1/18
EO_34	R_34	SRR5720268	17826774	5.3	2.1	5/1/18
EO_35	R_35	SRR5720273	31242438	9.4	3.8	5/1/18
EO_36	R_36	SRR5720274	35956418	10.8	4.3	5/1/18
EO_37	R_37	SRR5720271	25313647	7.6	3.1	5/1/18
EO_38	R_38	SRR5720272	31854278	9.6	3.8	5/1/18
EO_39	R_39	SRR5720265	38669468	11.6	4.6	5/1/18
EO_40	R_40	SRR5720266	23802307	7.1	2.9	5/1/18
EO_41	R_41	SRR5720296	25392429	7.6	3	5/1/18
EO_42	R_42	SRR5720295	15276603	4.6	1.9	5/1/18
EO_43	R_43	SRR5720294	25687196	7.7	3.1	5/1/18
EO_44	R_44	SRR5720293	40651674	12.2	5	5/1/18
EO_45	R_45	SRR5720292	33191291	10	4	5/1/18
EO_46	R_46	SRR5720291	35506650	10.7	4.2	5/1/18
EO_47	R_47	SRR5720290	37928374	11.4	4.6	5/1/18
EO_48	R_48	SRR5720289	15341429	4.6	1.8	5/1/18
EO_49	R_49	SRR5720288	12150878	3.6	1.5	5/1/18
EO_50	R_50	SRR5720287	13236718	4	1.6	5/1/18
EO_51	R_51	SRR5720310	24098907	7.2	2.8	5/1/18
EO_52	R_52	SRR5720311	35891185	10.8	4.3	5/1/18
EO_53	R_53	SRR5720312	29558270	8.9	3.6	5/1/18
EO_54	R_54	SRR5720313	18120933	5.4	2.2	5/1/18
EO_55	R_55	SRR5720314	15653365	4.7	1.8	5/1/18
EO_56	R_56	SRR5720315	33827557	10.1	4	5/1/18
EO_57	R_57	SRR5720316	34235985	10.3	4.1	5/1/18
EO_58	R_58	SRR5720317	30146983	9	3.6	5/1/18
EO_59	R_59	SRR5720308	17632241	5.3	2.1	5/1/18
EO_60	R_60	SRR5720309	20542115	6.2	2.5	5/1/18
EO_61	R_61	SRR5720329	27896151	8.4	3.3	5/1/18
EO_62	R_62	SRR5720328	48913098	14.7	5.8	5/1/18
EO_63	R_63	SRR5720331	15289992	4.6	1.8	5/1/18
EO_64	R_64	SRR5720330	29804104	8.9	3.5	5/1/18
EO_65	R_65	SRR5720325	27717415	8.3	3.3	5/1/18
EO_66	R_66	SRR5720324	22836170	6.9	2.7	5/1/18
EO_67	R_67	SRR6507277	53778607	16.1	6.2	5/1/18
EO_68	R_68	SRR6507278	52916530	15.9	6.1	5/1/18
