Sample_event_ID,Archive_ID,organism,broad-scale environmental context,local-scale environmental context,environmental medium,Station_Name,geographic location,bottle_id,sample_name,cruise_expedition,cruise_name,start_collection_date,depth_sample,latitude,longitude,filter_min 
S_E_1,SAMN07136998,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1560200314,S0501,HOT,HOT156,2004-02-24,5,22.75,-158,0.2
S_E_1,SAMN07136999,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1560200308,S0502,HOT,HOT156,2004-02-24,100,22.75,-158,0.2
S_E_1,SAMN07137000,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1560200304,S0503,HOT,HOT156,2004-02-24,175,22.75,-158,0.2
S_E_2,SAMN07137001,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1580200313,S0504,HOT,HOT158,2004-04-20,25,22.75,-158,0.2
S_E_2,SAMN07137002,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1580200306,S0505,HOT,HOT158,2004-04-20,125,22.75,-158,0.2
S_E_2,SAMN07137003,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1580200304,S0506,HOT,HOT158,2004-04-20,175,22.75,-158,0.2
S_E_3,SAMN07137004,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1590200314,S0507,HOT,HOT159,2004-05-18,5,22.75,-158,0.2
S_E_3,SAMN07137005,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1590200307,S0508,HOT,HOT159,2004-05-18,115,22.75,-158,0.2
S_E_3,SAMN07137006,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1590200304,S0509,HOT,HOT159,2004-05-18,175,22.75,-158,0.2
S_E_4,SAMN07137007,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1600200414,S0510,HOT,HOT160,2004-06-15,5,22.75,-158,0.2
S_E_4,SAMN07137008,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1600200406,S0511,HOT,HOT160,2004-06-15,125,22.75,-158,0.2
S_E_4,SAMN07137009,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1600200404,S0512,HOT,HOT160,2004-06-15,175,22.75,-158,0.2
S_E_5,SAMN07137010,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1620200414,S0513,HOT,HOT162,2004-08-15,5,22.75,-158,0.2
S_E_5,SAMN07137011,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1620200408,S0514,HOT,HOT162,2004-08-15,100,22.75,-158,0.2
S_E_5,SAMN07137012,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1620200404,S0515,HOT,HOT162,2004-08-15,175,22.75,-158,0.2
S_E_6,SAMN07137013,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1630200414,S0516,HOT,HOT163,2004-09-28,5,22.75,-158,0.2
S_E_6,SAMN07137014,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1630200407,S0517,HOT,HOT163,2004-09-28,115,22.75,-158,0.2
S_E_6,SAMN07137015,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1630200404,S0518,HOT,HOT163,2004-09-28,175,22.75,-158,0.2
S_E_7,SAMN07137016,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1640201117,S0519,HOT,HOT164,2004-10-10,5,22.75,-158,0.2
S_E_7,SAMN07137017,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1640201108,S0520,HOT,HOT164,2004-10-10,115,22.75,-158,0.2
S_E_7,SAMN07137018,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1640201104,S0521,HOT,HOT164,2004-10-10,175,22.75,-158,0.2
S_E_8,SAMN07137019,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1650200419,S0522,HOT,HOT165,2004-11-10,5,22.75,-158,0.2
S_E_8,SAMN07137020,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1650200409,S0523,HOT,HOT165,2004-11-10,100,22.75,-158,0.2
S_E_8,SAMN07137021,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1650200404,S0524,HOT,HOT165,2004-11-10,175,22.75,-158,0.2
S_E_9,SAMN07137022,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1660200514,S0525,HOT,HOT166,2004-12-14,5,22.75,-158,0.2
S_E_9,SAMN07137023,marine metagenome,ocean biome,ocean,water,ALOHA,"Pacific Ocean: North Pacific Subtropical Gyre, Station ALOHA",1660200508,S0526,HOT,HOT166,2004-12-14,100,22.75,-158,0.2
