Parameter	PURL LABEL	PURL/TEMP PURL	pm:searchable	units label	units PURL	source category	source url	type	Frictionless Format
Sample_ID			FALSE					string	default
Sample_event_ID			FALSE					string	default
Archive_ID	specimen identifier assigned by sequencing facility	http://purl.obolibrary.org/obo/OBI_0001901	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
organism	metagenomes	http://purl.obolibrary.org/obo/PMO_00000004	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
broad-scale environmental context	biome	http://purl.obolibrary.org/obo/ENVO_00000428	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
local-scale environmental context	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
environmental medium	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
geographic location	site	http://purl.obolibrary.org/obo/BFO_0000029	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
bottle_id	bottle label	http://purl.obolibrary.org/obo/PMO_00000006	FALSE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	number	default
sample_name	specimen identifier assigned by specimen repository	http://purl.obolibrary.org/obo/OBI_0001900	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
cruise_expedition	project investigation identifier	http://purl.obolibrary.org/obo/PMO_00000007	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
cruise_name	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	string	default
start_collection_date 	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	TRUE			NCBI	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA385855	date	default
