Sample_event_ID	Archive_ID	cruise_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	NO2_NO3	OXYGEN	PHSPHT	REPLICT	SALNITY	SIGMA	SILCAT	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_1	SAMN07136998	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	14	4	210.5	34.833	24.5454				1	34.8943	23.353		24.5445	14	4129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	SAMN07136999	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	8	98.7	213.3	35.3383	22.6252				1	35.3344	24.304		22.6053	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_1	SAMN07137000	HOT156	33KI156_1	33KI156/1	2	3	PRS2	2004-02-24T20:57:00Z	22404	2004	2	24	2057	-157.9957	22.7475	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot156.sum	4	173.3	198.9	35.0129	18.9169				1	35.0165	25.06		18.8861	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_2	SAMN07137001	HOT158	33KI158_1	33KI158/1	2	3	PRS2	2004-04-20T21:10:00Z	42004	2004	4	20	2110	-157.9945	22.7578	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum	13	23.8	212.5	35.0237	23.7724				1	35.0282	23.728		23.7674	20	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_2	SAMN07137002	HOT158	33KI158_1	33KI158/1	2	3	PRS2	2004-04-20T21:10:00Z	42004	2004	4	20	2110	-157.9945	22.7578	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum	6	124.4	209.9	35.3212	22.6176				1	35.3203	24.294		22.5925	20	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_2	SAMN07137003	HOT158	33KI158_1	33KI158/1	2	3	PRS2	2004-04-20T21:10:00Z	42004	2004	4	20	2110	-157.9945	22.7578	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot158.sum	4	174.2	196.9	35.176	20.4854				1	35.1794	24.776		20.4527	20	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_3	SAMN07137004	HOT159	33KI159_1	33KI159/1	2	3	PRS2	2004-05-18T20:55:00Z	51804	2004	5	18	2055	-157.9707	22.7425	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum	14	4.3	211.2	34.6998	25.3458				1	34.6981	23.009		25.3448	16	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_3	SAMN07137005	HOT159	33KI159_1	33KI159/1	2	3	PRS2	2004-05-18T20:55:00Z	51804	2004	5	18	2055	-157.9707	22.7425	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum	7	114	198.4	35.1263	22.1357				1	35.1573	24.282		22.113	16	2149999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_3	SAMN07137006	HOT159	33KI159_1	33KI159/1	2	3	PRS2	2004-05-18T20:55:00Z	51804	2004	5	18	2055	-157.9707	22.7425	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot159.sum	4	173.3	201.4	35.0425	19.3239				1	35.0388	24.979		19.2926	16	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_4	SAMN07137007	HOT160	33KI160_1	33KI160/1	2	4	PRS2	2004-06-15T20:57:00Z	61504	2004	6	15	2057	-158.0015	22.7487	GPS	1	Dual T; C sensors	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot160.sum	14	4.3	208.1	34.734	25.8764				1	34.7368	22.871		25.8754	14	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
