Sample_event_ID	cruise_ID	cruise_expedition	cruise_name	start_date_Time	 lon	 lat	 depth_max	 pres_max	 num_bottles	station	cast_num	leg
S_E_1	C_1	HOT	HOT156	 2004-02-24T20:57:00	-157.996	22.7475	4750	1022	14	2	3	1
S_E_2	C_2	HOT	HOT158	 2004-04-20T21:10:00	-157.994	22.7578	4720	1020	20	2	3	1
S_E_3	C_3	HOT	HOT159	 2004-05-18T20:55:00	-157.971	22.7425	4718	1020	16	2	3	1
S_E_4	C_4	HOT	HOT160	 2004-06-15T20:57:00	-158.001	22.7487	4729	1022	14	2	4	1
S_E_5	C_5	HOT	HOT162	 2004-08-15T21:24:00	-158.004	22.7517	4725	1022	18	2	4	1
S_E_6	C_6	HOT	HOT163	 2004-09-28T21:26:00	-158	22.7493	4730	1022	18	2	4	1
S_E_7	C_7	HOT	HOT164	 2004-10-31T20:57:00	-157.959	22.7203	4718	1022	22	2	11	1
S_E_8	C_8	HOT	HOT165	 2004-11-27T20:58:00	-157.977	22.7527	4711	1022	20	2	4	1
S_E_9	C_9	HOT	HOT166	 2004-12-20T20:55:00	-157.983	22.7533	4730	1026	14	2	5	1
S_E_10	C_10	HOT	HOT144	 2003-01-17T17:59:00	-157.988	22.7363	4725	1020	14	2	9	1
S_E_11	C_11	HOT	HOT145	 2003-02-25T20:57:00	-158.016	22.7607	4724	1024	19	2	3	1
S_E_12	C_12	HOT	HOT146	 2003-03-28T21:56:00	-157.998	22.748	4744	1018	14	2	3	1
S_E_13	C_13	HOT	HOT147	 2003-04-23T20:55:00	-157.99	22.7565	4725	1022	14	2	3	1
S_E_14	C_14	HOT	HOT148	 2003-05-20T21:25:00	-158.003	22.7495	4725	1020	16	2	3	1
S_E_15	C_15	HOT	HOT149	 2003-06-19T21:00:00	-157.998	22.7748	4715	1062	14	2	3	1
S_E_16	C_16	HOT	HOT150	 2003-07-19T21:01:00	-157.998	22.7512	4723	1026	14	2	3	1
S_E_17	C_17	HOT	HOT151	 2003-08-20T21:00:00	-158	22.7633	4723	1024	16	2	3	1
S_E_18	C_18	HOT	HOT153	 2003-11-09T20:55:00	-157.998	22.7493	4748	1024	14	2	3	1
S_E_19	C_19	HOT	HOT154	 2003-12-20T21:02:00	-157.917	22.7348	4728	1026	19	2	10	1
S_E_20	C_20	HOT	HOT152	 2003-10-14T20:59:00	-157.979	22.7767	4745	1026	20	2	3	1
S_E_21	C_21	HOT	HOT155	 2004-01-21T20:59:00	-157.998	22.7508	4723	1020	14	2	3	1
S_E_22	C_22	HOT	HOT157	 2004-03-19T20:43:00	-157.996	22.752	4744	1022	24	2	3	1
S_E_23	C_23	HOT	HOT214	 2009-08-18T15:47:00	-157.988	22.75	4743	4806	24	2	3	1
S_E_24	C_24	HOT	HOT216	 2009-11-03T16:16:00	-158.001	22.7505	4722	4806	24	2	3	1
