campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment	SAMOS URL	WHOI URL
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT194	 PRS2	https://doi.org/10.7284/903062	2007-08-02	2007-08-06	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB194_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot194.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT195	 PRS2	https://doi.org/10.7284/903063	2007-09-01	2007-09-05	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB195_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot195.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT196	 PRS2	https://doi.org/10.7284/904314	2007-10-01	2007-10-05	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI196_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot196.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT197	 PRS2	https://doi.org/10.7284/903064	2007-11-30	2007-12-04	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB197_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot197.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT198	 PRS2	https://doi.org/10.7284/903065	2007-12-19	2007-12-23	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB198_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot198.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT199	 PRS2	https://doi.org/10.7284/903066	2008-01-28	2008-02-01	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB199_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot199.sum	https://www.bco-dmo.org/deployment/59000		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT200	 PRS2	https://doi.org/10.7284/903067	2008-02-22	2008-02-26	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB200_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot200.sum	https://www.bco-dmo.org/deployment/59001		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT201	 PRS2	https://doi.org/10.7284/903068	2008-05-26	2008-05-30	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB201_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot201.sum	https://www.bco-dmo.org/deployment/59002		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT202	 PRS2	https://doi.org/10.7284/903069	2008-06-24	2008-06-28	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB202_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot202.sum	https://www.bco-dmo.org/deployment/59003		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT203	 PRS2	https://doi.org/10.7284/903070	2008-07-25	2008-07-29	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB203_1	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot203.sum	https://www.bco-dmo.org/deployment/59004		
