sample_event_ID	Archive_ID	Organism	collection date	depth	broad-scale environmental context	purl_biome	local-scale environmental context	purl_feature	environmental medium	purl_material	geographic location	latitude	longitude	additional metadata at	Description	Sample_name	filter_min 	filter_max 
SE_26	SAMN02798443	marine metagenome	2007-08-05T03:36:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT194_500m	0.22	1.6
SE_28	SAMN02798444	marine metagenome	2007-09-03T21:45:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT195_500m	0.22	1.6
SE_30	SAMN02798445	marine metagenome	2007-10-03T21:33:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT196_500m	0.22	1.6
SE_32	SAMN02798446	marine metagenome	2007-12-02T21:40:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT197_500m	0.22	1.6
SE_34	SAMN02798447	marine metagenome	2007-12-21T21:48:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT198_500m	0.22	1.6
SE_36	SAMN02798448	marine metagenome	2008-01-30T21:40:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT199_500m	0.22	1.6
SE_38	SAMN02798449	marine metagenome	2008-02-24T09:43:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT200_500m	0.22	1.6
SE_40	SAMN02798450	marine metagenome	2008-05-28T09:46:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT201_500m	0.22	1.6
SE_42	SAMN02798451	marine metagenome	2008-06-26T09:41:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT202_500m	0.22	1.6
SE_44	SAMN02798452	marine metagenome	2008-07-27T09:50:00Z	500	Oceanic Mesopelagic Zone Biome	http://purl.obolibrary.org/obo/ENVO_01000035	marine mesopelagic zone	http://purl.obolibrary.org/obo/ENVO_00000213	seawater	http://purl.obolibrary.org/obo/ENVO_00002149	North Pacific Ocean Gyre	22.75	-158	http://hahana.soest.hawaii.edu/hot/hot-dogs/	Hawaii Ocean Time Series sea water filtride (.22-1.6um) collected by CTD rosette sampler	HOT203_500m	0.22	1.6
