sample_event_ID	Archive_ID	cruise_expedition	cruise_name	Sample_name	EXPOCODE	Ship	STNNBR	CASTNO	section	start_ISO_DateTime	Date	Year	Month	Day	timeutc	lon	lat	nav_code	depth_max	pres_max	depth_hgt	parameters	comments	HOT_summary_file_name	ROSETTE	CTDPRS	CTDOXY	CTDSAL	CTDTMP	REPLICT	SALNITY	SIGMA	THETA	num_bottles	QUALT1	QUALT2	QUALT3	QUALT4	QUALT5	QUALT6	QUALT7	QUALT8	QUALT9	QUAL10
SE_25	SAMN02798422	HOT	HOT194	HOT194_25m	33KB194_1	33KB194/1	2	16	PRS2	2007-08-06T01:38:00	80607	2007	8	6	138	-158.0825	22.7798	GPS	4759	1022	3746	1	Dual T; C sensors	cruise.summaries/hot194.sum	13	25.1	205.3	35.0302	26.4015	1	35.0307	22.932	26.3958	17	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_26	SAMN02798443	HOT	HOT194	HOT194_500m	33KB194_1	33KB194/1	2	13	PRS2	2007-08-05T02:59:00	80507	2007	8	5	259	-158.0742	22.8027	GPS	4750	1022	3737	1	Dual T; C sensors	cruise.summaries/hot194.sum	2	500.6	92.8	34.0695	6.687	1	34.0644	26.734	6.6409	19	2129999	9999999	9999599	9999999	9999999	999999	999999	999999	999999	999999
SE_27	SAMN02798423	HOT	HOT195	HOT195_25m	33KB195_1	33KB195/1	2	17	PRS2	2007-09-04T22:53:00	90407	2007	9	4	2253	-157.9358	22.6805	GPS	4752	1020	3741	1	Dual T; C sensors	cruise.summaries/hot195.sum	17	25.8	204.5	35.3691	26.601	1		23.125	26.5951	24	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_28	SAMN02798444	HOT	HOT195	HOT195_500m	33KB195_1	33KB195/1	2	12	PRS2	2007-09-03T21:03:00	90307	2007	9	3	2103	-158.0198	22.668	GPS	4764	1022	3751	1	Dual T; C sensors	cruise.summaries/hot195.sum	3	500.4	138.3	34.0538	7.608	1		26.595	7.5585	21	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_29	SAMN02798424	HOT	HOT196	HOT196_25m	33KI196_1	33KI196/1	2	1	PRS2	2007-10-02T11:32:00	100207	2007	10	2	1132	-157.9187	22.7447	GPS	4720	202	4519		Dual T; C sensors	cruise.summaries/hot196.sum	15	23.9	206.3	35.0773	26.0956	1		23.063	26.0902	21	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_30	SAMN02798445	HOT	HOT196	HOT196_500m	33KI196_1	33KI196/1	2	12	PRS2	2007-10-03T20:57:00	100307	2007	10	3	2057	-157.9928	22.7553	GPS	4715	1024	3700	1	Dual T; C sensors	cruise.summaries/hot196.sum	2	499.7	116.2	34.0732	7.4642	1		26.631	7.4153	23	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_31	SAMN02798425	HOT	HOT197	HOT197_25m	33KB197_1	33KB197/1	2	1	PRS2	2007-12-01T10:10:00	120107	2007	12	1	1010	-158.0402	22.7445	GPS	4759	202	4558		Dual T; C sensors	cruise.summaries/hot197.sum	14	25.8	207.4	35.0211	25.0405	1		23.347	25.0349	24	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_32	SAMN02798446	HOT	HOT197	HOT197_500m	33KB197_1	33KB197/1	2	12	PRS2	2007-12-02T20:47:00	120207	2007	12	2	2047	-157.9235	22.794	GPS	4700	1024	3685	1	Dual T; C sensors	cruise.summaries/hot197.sum	2	501.5	89	34.1009	6.8689	1		26.735	6.8221	23	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_33	SAMN02798426	HOT	HOT198	HOT198_25m	33KB198_1	33KB198/1	2	1	PRS2	2007-12-20T09:06:00	122007	2007	12	20	906	-158.0003	22.7507	GPS	4750	202	4549		Dual T; C sensors	cruise.summaries/hot198.sum	13	24.9	208.2	35.039	24.4873	1		23.527	24.4819	19	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
SE_34	SAMN02798447	HOT	HOT198	HOT198_500m	33KB198_1	33KB198/1	2	13	PRS2	2007-12-21T20:54:00	122107	2007	12	21	2054	-157.987	22.7025	GPS	4750	1022	3737	1	Dual T; C sensors	cruise.summaries/hot198.sum	2	501.4	113	34.1217	7.7105	1		26.634	7.6605	22	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
