sample_event ID	Archive_ID	cruise_expedition	cruise_name	Sample_name	depth (m)	Sample Date   GMT (M/D/Y)	Sampling Time GMT (H:M)	julian day	 temperature (C¡)	salinity (PSS-78)	deep chlorophyll maxima (m)	wind speed (m/s)	shortwave radiation (W/m^2)	daily mean sea level anomaly (cm)	mixed layer depth (m)	dissolved oxygen (µmol/kg)	dissolved inorganic carbon (µmol/kg)	dissolved organic carbon (µmol/kg)	particulate carbon (µmol/kg)	particulate nitrogen (µmol/kg	particulate phosphorus (nmol/kg)	low-level nitrogen (nmol/kg)	low-level phosphorus (nmol/kg)	particulate silica (nmol/kg)	silicate (µmol/kg)	heterotrophic bacteria cell counts (x105 cells/ml)	Prochlorococcus cell counts (x105 cells/ml)	Synechococcus cell counts (x105 cells/ml)	Picoeukaryote cell counts (x105 cells/ml)	chlorophyll a (ng/l)	hours of day light (hours)	total autotroph biomass (µg Carbon/l)	chlorophyll c (ng/l)	19'-butanoyloxyfucoxanthin (ng/l)	fucoxanthin (ng/l)	19'-hexanoyloxyfucoxanthin (ng/l)	zeaxanthin (ng/l)	chlorophyll b (ng/l)	pH	phosphate (µmol/kg)	nitrate + nitrite (µmol/kg)
SE_25	SAMN02798422	HOT	HOT194	HOT194_25m	25	8/6/07	02:34	6881	26.40	35.03	124.00	6.97	295.84	0.20	46.46	205.15	1980.60	80.18	2.33	0.35	12.30	2.50	61.50	12.27	0.99	4.54	1.85	0.01	0.01	73.00	13.13	5.34	3.00	2.00	3.00	10.00	58.00	5.00			
SE_27	SAMN02798423	HOT	HOT195	HOT195_25m	25	9/5/07	00:09	6911	26.60	35.37	112.00	7.05	284.53	-0.09	50.25	205.75	1984.40	80.49	2.90	0.41	7.90	0.80	48.80	14.50	1.26	5.95	2.50	0.01	0.00	73.00	12.57	8.57	3.00	3.00	3.00	13.00	67.00	6.00			
SE_29	SAMN02798424Ê	HOT	HOT196	HOT196_25m	25	10/2/07	12:00	6941	26.09	35.08	120.00	8.02	257.55	1.64	79.99	205.70	1985.30	79.88	2.07	0.32	10.10	0.50	55.70	16.93	1.23	4.53	2.08	0.01	0.01	91.00	13.35	72.18	9.00	6.00	4.00	16.00	60.00	9.00			
SE_31	SAMN02798425Ê	HOT	HOT197	HOT197_25m	25	12/1/07	10:51	7001	25.03	35.04	110.00	6.70	167.51	3.51	74.36	207.03	1987.60	76.75	2.21	0.35	12.00	4.20	60.50	14.23	0.94	4.47	2.03	0.00	0.01	105.00	11.90	9.47	7.00	5.00	5.00	14.00	64.00	8.00			
SE_33	SAMN02798426Ê	HOT	HOT198	HOT198_25m	25	12/20/07	09:38	7020	24.48	35.05	108.00	9.09	149.24	9.63	105.37	208.30	1987.70	74.10	2.05	0.34	10.10	1.50	68.40	18.09	1.45	5.04	1.47	0.06	0.02	137.00	10.73	4.63	11.00	10.00	5.00	20.00	54.00	19.00			
SE_35	SAMN02798427Ê	HOT	HOT199	HOT199_25m	25	1/29/08	11:33	7060	23.12	35.17	122.00	10.46	166.08	-0.18	110.90	211.95	2000.60	68.88	1.95	0.34	9.10	6.10	57.60	24.08	0.92	3.94	1.50	0.00	0.02	207.00	11.08	11.20	21.00	17.00	8.00	38.00	52.00	33.00			
SE_37	SAMN02798428Ê	HOT	HOT200	HOT200_25m	25	2/23/08	11:15	7085	23.49	35.17	134.00	3.30	201.75	3.14	53.16	214.60	1998.90	70.95	2.18	0.34	7.60	2.00	58.60	14.10	1.22	4.88	2.04	0.03	0.02	94.00	11.53	8.12	8.00	4.00	9.00	11.00	61.00	89.00			
SE_39	SAMN02798429Ê	HOT	HOT201	HOT201_25m	25	5/27/08	10:34	7179	25.18	35.12	140.00	6.20	285.35	1.13	15.83	211.40	1987.70	75.50	2.41	0.39	12.60	3.50	52.70	9.72	1.33	6.20	2.34	0.03	0.02	65.00	13.40	4.48	5.00	2.00	6.00	9.00	59.00	7.00			
SE_41	SAMN02798430Ê	HOT	HOT202	HOT202_25m	25	6/25/08	10:46	7208	25.51	35.07	134.00	6.94	302.39	-3.83	59.14	209.95	1986.20	76.79	2.43	0.34	6.30	3.80	58.60	27.74	1.44	4.43	1.87	0.01	0.01	84.00	13.53	6.40	6.00	3.00	5.00	11.00	64.00	7.00			
SE_43	SAMN02798431Ê	HOT	HOT203	HOT203_25m	25	7/26/08	11:59	7239	25.93	34.96	130.00	7.98	288.54	9.58	37.66	208.37	1985.10	78.23	2.16	0.29	11.00	2.70	95.70	33.81	1.19	4.96	1.60	0.01	0.01	79.00	13.25	6.16	5.00	3.00	6.00	9.00	61.00	7.00			
