campaign_expedition,expedition_URL,campaign_name,WOCE_ID,R2R_cruise_DOI,start_date,end_date,start_location,end_location,CCHDO url,BCO-DMO summary,BCO-DMO deployment,SAMOS URL,WHOI URL
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT224,PRS2,https://doi.org/10.7284/903665,8/6/10,8/10/10,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20100806,,https://www.bco-dmo.org/deployment/731500,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT225,PRS2,https://doi.org/10.7284/903667,9/2/10,9/6/10,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20100902,,http://www.bco-dmo.org/deployment/731815,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT226,PRS2,https://doi.org/10.7284/903669,10/2/10,10/6/10,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20101002,,http://www.bco-dmo.org/deployment/731862,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT227,PRS2,https://doi.org/10.7284/904014,11/20/10,11/22/10,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/325020101120,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT229,PRS2,https://doi.org/10.7284/903676,1/27/11,1/31/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20110127,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1102A,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT231,PRS2,https://doi.org/10.7284/903684,4/10/11,4/14/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20110410,,http://www.bco-dmo.org/deployment/731963,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1113,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT232,PRS2,https://doi.org/10.7284/904318,5/8/11,5/12/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI20110508,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT233,PRS2,https://doi.org/10.7284/903690,7/24/11,7/30/11,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT234,PRS2,https://doi.org/10.7284/903693,8/29/11,9/1/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20110829,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1124,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT236,PRS2,https://doi.org/10.7284/903324,11/3/11,11/7/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI20111103,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT237,PRS2,https://doi.org/10.7284/904154,11/27/11,12/1/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KI20111127,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT238,PRS2,https://doi.org/10.7284/903700,12/18/11,12/22/11,"Honolulu, Hawaii","Honolulu, Hawaii",https://cchdo.ucsd.edu/cruise/33KB20111218,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1131,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT267,PRS2,https://doi.org/10.7284/902179,11/20/14,11/24/14,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1425,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT268,PRS2,https://doi.org/10.7284/904792,12/15/14,12/19/14,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1428,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT269,PRS2,https://doi.org/10.7284/901832,2/23/15,2/27/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT270,PRS2,https://doi.org/10.7284/901833,3/27/15,3/31/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT271,PRS2,https://doi.org/10.7284/900798,4/20/15,4/24/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1504,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT272,PRS2,https://doi.org/10.7284/901823,5/22/15,5/26/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1508,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT273,PRS2,https://doi.org/10.7284/906351,6/18/15,6/22/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1510,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT274,PRS2,https://doi.org/10.7284/906353,7/18/15,7/22/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1512,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT275,PRS2,https://doi.org/10.7284/906363,8/11/15,8/15/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT277,PRS2,https://doi.org/10.7284/906369,10/12/15,10/16/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT278,PRS2,https://doi.org/10.7284/906359,11/12/15,11/16/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1518,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT279,PRS2,https://doi.org/10.7284/906881,12/7/15,12/11/15,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT280,PRS2,https://doi.org/10.7284/906869,1/11/16,1/15/16,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1601,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT281,PRS2,https://doi.org/10.7284/906870,2/8/16,2/12/16,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1602,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT282,PRS2,https://doi.org/10.7284/906871,3/7/16,3/11/16,"Honolulu, Hawaii","Honolulu, Hawaii",,,,http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1603,
HOT,http://www.soest.hawaii.edu/HOT_WOCE/index.php,HOT283,PRS2,https://doi.org/10.7284/906878,4/13/16,4/17/16,"Honolulu, Hawaii","Honolulu, Hawaii",,,,,
