campaign_expedition	expedition_URL	campaign_name	WOCE_ID	R2R_cruise_DOI	start_date	end_date	start_location	end_location	CCHDO url	BCO-DMO summary	BCO-DMO deployment	SAMOS URL	WHOI URL
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT224	PRS2	https://doi.org/10.7284/903665	2010-08-06	2010-08-10	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20100806	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot224.sum	https://www.bco-dmo.org/deployment/731500		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT225	PRS2	https://doi.org/10.7284/903667	2010-09-02	2010-09-06	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20100902	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot225.sum	http://www.bco-dmo.org/deployment/731815		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT226	PRS2	https://doi.org/10.7284/903669	2010-10-02	2010-10-06	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20101002	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot226.sum	http://www.bco-dmo.org/deployment/731862		
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT227	PRS2	https://doi.org/10.7284/904014	2010-11-20	2010-11-22	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/325020101120	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot227.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT229	PRS2	https://doi.org/10.7284/903676	2011-01-27	2011-01-31	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20110127	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot229.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1102A	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT231	PRS2	https://doi.org/10.7284/903684	2011-04-10	2011-04-14	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20110410	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot231.sum	http://www.bco-dmo.org/deployment/731963	http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1113	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT232	PRS2	https://doi.org/10.7284/904318	2011-05-08	2011-05-12	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI20110508	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot232.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT233	PRS2	https://doi.org/10.7284/903690	2011-07-24	2011-07-30	"Honolulu, Hawaii"	"Honolulu, Hawaii"		http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot233.sum			
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT234	PRS2	https://doi.org/10.7284/903693	2011-08-29	2011-09-01	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KB20110829	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot234.sum		http://samos.coaps.fsu.edu/html/cruise_data_availability.php?submit=search&sort=overall&data=1&cruises[]=KM1124	
HOT	http://www.soest.hawaii.edu/HOT_WOCE/index.php	HOT236	PRS2	https://doi.org/10.7284/903324	2011-11-03	2011-11-07	"Honolulu, Hawaii"	"Honolulu, Hawaii"	https://cchdo.ucsd.edu/cruise/33KI20111103	http://dmoserv3.bco-dmo.org/jg/serv/BCO-DMO/HOT/ctd.flat1?HOT_summary_file_name%20eq%20cruise.summaries/hot236.sum			
