parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
event_id	centrally registered sampling event identifier	http://purl.obolibrary.org/obo/PMO_00000056							string	
cruise_name	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060						https://www.bco-dmo.org/dataset/3937	string	
station	number designating study site	http://purl.obolibrary.org/obo/PMO_00000054						https://www.bco-dmo.org/dataset/3937	number	
cast	ctd cast number	http://purl.obolibrary.org/obo/PMO_00000057						https://www.bco-dmo.org/dataset/3937	number	
ISO_DateTime	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.bco-dmo.org/dataset/3937	datetime	%Y-%m-%dT%H:%M:%S
Year								https://www.bco-dmo.org/dataset/3937	number	
Month								https://www.bco-dmo.org/dataset/3937	number	
Day								https://www.bco-dmo.org/dataset/3937	number	
timeutc								https://www.bco-dmo.org/dataset/3937	number	
lon	longitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001621	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.bco-dmo.org/dataset/3937	number	
lat	latitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001620	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.bco-dmo.org/dataset/3937	number	
depth_max	maximum depth of water collected during specimen collection process	http://purl.obolibrary.org/obo/PMO_00000052						https://www.bco-dmo.org/dataset/3937	number	
pres_max	maximum pressure of water collected during specimen collection process	http://purl.obolibrary.org/obo/PMO_00000053						https://www.bco-dmo.org/dataset/3937	number	
Date								https://www.bco-dmo.org/dataset/3937	number	
timecode								https://www.bco-dmo.org/dataset/3937	string	
HOT_summary_file_name	Summary File Name	http://purl.obolibrary.org/obo/PMO_00000063						https://www.bco-dmo.org/dataset/3937	string	
parameters								https://www.bco-dmo.org/dataset/3937	number	
num_bottles	number of niskin bottles deployed during speciment collection process event	http://purl.obolibrary.org/obo/PMO_00000051						https://www.bco-dmo.org/dataset/3937	number	
section								https://www.bco-dmo.org/dataset/3937	string	
nav_code								https://www.bco-dmo.org/dataset/3937	string	
depth_hgt								https://www.bco-dmo.org/dataset/3937	number	
EXPOCODE								https://www.bco-dmo.org/dataset/3937	string	
Ship	sampling expedition project investigation and leg identifier	http://purl.obolibrary.org/obo/PMO_00000065						https://www.bco-dmo.org/dataset/3937	string	
comments	comment on investigation	http://purl.obolibrary.org/obo/PMO_00000075						https://www.bco-dmo.org/dataset/3937	string	
CTDPRS	pressure of water	http://purl.obolibrary.org/obo/ENVO_3100033	decibar	http://purl.obolibrary.org/obo/PMO_00000034				https://www.bco-dmo.org/dataset/3937	number	
CTDTMP	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.bco-dmo.org/dataset/3937	number	
CTDSAL	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	parts per thousand	http://purl.obolibrary.org/obo/UO_0000168				https://www.bco-dmo.org/dataset/3937	number	
CTDOXY	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://www.bco-dmo.org/dataset/3937	number	
CHLPIG	concentration of chlorophyll in water	http://purl.obolibrary.org/obo/ENVO_3100036	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://www.bco-dmo.org/dataset/3937	number	
NUMBER								https://www.bco-dmo.org/dataset/3937	number	
NITRATE	concentration of nitrate in water	http://purl.obolibrary.org/obo/ENVO_3100022	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://www.bco-dmo.org/dataset/3937	number	
QUALT1								https://www.bco-dmo.org/dataset/3937	number	
