parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format	COMMENT
sampling_event_ID	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056						https://doi.org/10.1038/s41564-017-0008-3	string		
BioSample	specimen identifier assigned by sequencing facility	http://purl.obolibrary.org/obo/OBI_0001901						https://doi.org/10.1038/s41564-017-0008-3	string		
sample_ID								https://doi.org/10.1038/s41564-017-0008-3	string		ID
cruise	project investigation identifier	http://purl.obolibrary.org/obo/PMO_00000007						https://doi.org/10.1038/s41564-017-0008-3	string		ID
cast	ctd cast number	http://purl.obolibrary.org/obo/PMO_00000057						https://doi.org/10.1038/s41564-017-0008-3	number		#
depth	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.org/10.1038/s41564-017-0008-3	number		meter
bottleNumber								https://doi.org/10.1038/s41564-017-0008-3	number		#
bottleID								https://doi.org/10.1038/s41564-017-0008-3	number		#
datetime	specimen collection time measurement datum	http://purl.obolibrary.org/obo/OBI_0001619	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://doi.org/10.1038/s41564-017-0008-3	datetime	default	
date								https://doi.org/10.1038/s41564-017-0008-3	string		
time								https://doi.org/10.1038/s41564-017-0008-3	string		
press	pressure of water	http://purl.obolibrary.org/obo/ENVO_3100033	decibar	http://purl.obolibrary.org/obo/PMO_00000034				https://doi.org/10.1038/s41564-017-0008-3	number		dbar
theta	potential temperature	http://purl.obolibrary.org/obo/PMO_00000020	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://doi.org/10.1038/s41564-017-0008-3	number		ITS-90
sigma	potential density	http://purl.obolibrary.org/obo/PMO_00000021	kilogram per cubic meter	http://purl.obolibrary.org/obo/UO_0000083				https://doi.org/10.1038/s41564-017-0008-3	number		kg/m3
temp	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://doi.org/10.1038/s41564-017-0008-3	number		ITS-90
