BioSample	SRA	Sample name	collection_date	depth	env_biome	env_feature	env_material	geo_loc_name	ph	temp	Date-Time	Lat	Long	HOT cruise #	Cruise name	Station	Cast	BottleID	filter_max	filter_min	filter_type
SAMN05991650	SRS1788359	HOT224-0025m	8/7/10	25	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.44	2010-08-07T14:06:33	22.75	158	224	KM-1015	2	3	2240200312	1.6	0.2	Sterivex GV 
SAMN05991651	SRS1788410	HOT224-0045m	8/7/10	45	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	25.35	2010-08-07T14:04:01	22.75	158	224	KM-1015	2	3	2240200307	1.6	0.2	Sterivex GV 
SAMN05991652	SRS1788360	HOT224-0075m	8/7/10	75	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	25.17	2010-08-07T14:01:12	22.75	158	224	KM-1015	2	3	2240200302	1.6	0.2	Sterivex GV 
SAMN05991653	SRS1788382	HOT224-0125m	8/8/10	125	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.05	23.09	2010-08-08T16:11:38	22.75	158	224	KM-1015	2	11	2240201119	1.6	0.2	Sterivex GV 
SAMN05991654	SRS1788403	HOT224-0200m	8/8/10	200	ENVO:00000447	oceanic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.98	20.09	2010-08-08T16:08:15	22.75	158	224	KM-1015	2	11	2240201114	1.6	0.2	Sterivex GV 
SAMN05991655	SRS1788368	HOT224-0500m	8/8/10	500	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.49	7.6	2010-08-08T09:40:59	22.75	158	224	KM-1015	2	9	2240200912	1.6	0.2	Sterivex GV 
SAMN05991656	SRS1788384	HOT224-0770m	8/8/10	770	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.36	4.89	2010-08-08T09:32:57	22.75	158	224	KM-1015	2	9	2240200906	1.6	0.2	Sterivex GV 
SAMN05991657	SRS1788361	HOT224-1000m	8/8/10	1000	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.39	4	2010-08-08T09:26:49	22.75	158	224	KM-1015	2	9	2240200901	1.6	0.2	Sterivex GV 
SAMN05991658	SRS1788406	HOT225-0025m	9/3/10	25	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.62	2010-09-03T14:23:29	22.75	158	225	KM-1017	2	3	2250200313	1.6	0.2	Sterivex GV 
SAMN05991659	SRS1788389	HOT225-0045m	9/3/10	45	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.6	2010-09-03T14:20:13	22.75	158	225	KM-1017	2	3	2250200307	1.6	0.2	Sterivex GV 
SAMN05991660	SRS1788358	HOT225-0075m	9/3/10	75	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	24.74	2010-09-03T14:16:13	22.75	158	225	KM-1017	2	3	2250200301	1.6	0.2	Sterivex GV 
SAMN05991661	SRS1788341	HOT225-0125m	9/4/10	125	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.02	22.16	2010-09-04T16:41:18	22.75	158	225	KM-1017	2	10	2250201019	1.6	0.2	Sterivex GV 
SAMN05991662	SRS1788376	HOT225-0200m	9/4/10	200	ENVO:00000447	oceanic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.97	19.68	2010-09-04T16:38:20	22.75	158	225	KM-1017	2	10	2250201014	1.6	0.2	Sterivex GV 
SAMN05991663	SRS1788395	HOT225-0500m	9/5/10	500	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.49	7.71	2010-09-05T09:40:25	22.75	158	225	KM-1017	2	16	2250201612	1.6	0.2	Sterivex GV 
SAMN05991664	SRS1788375	HOT225-0770m	9/5/10	770	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.36	4.98	2010-09-05T09:29:19	22.75	158	225	KM-1017	2	16	2250201606	1.6	0.2	Sterivex GV 
SAMN05991665	SRS1788391	HOT225-1000m	9/5/10	1000	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.39	3.97	2010-09-05T09:21:59	22.75	158	225	KM-1017	2	16	2250201601	1.6	0.2	Sterivex GV 
SAMN05991666	SRS1788404	HOT226-0025m	10/3/10	25	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	26.04	2010-10-03T13:34:05	22.75	158	226	KM 10-19	2	3	2260200311	1.6	0.2	Sterivex GV 
SAMN05991667	SRS1788354	HOT226-0045m	10/3/10	45	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.9	2010-10-03T13:31:21	22.75	158	226	KM 10-19	2	3	2260200306	1.6	0.2	Sterivex GV 
SAMN05991668	SRS1788351	HOT226-0075m	10/3/10	75	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	25.54	2010-10-03T13:28:20	22.75	158	226	KM 10-19	2	3	2260200301	1.6	0.2	Sterivex GV 
SAMN05991669	SRS1788402	HOT226-0200m	10/4/10	200	ENVO:00000447	oceanic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.99	20.07	2010-10-04T15:43:25	22.75	158	226	KM 10-19	2	11	2260201114	1.6	0.2	Sterivex GV 
SAMN05991670	SRS1788372	HOT226-0500m	10/4/10	500	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.53	7.71	2010-10-04T09:59:06	22.75	158	226	KM 10-19	2	9	2260200912	1.6	0.2	Sterivex GV 
SAMN05991671	SRS1788399	HOT226-0770m	10/4/10	770	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.36	4.85	2010-10-04T09:50:21	22.75	158	226	KM 10-19	2	9	2260200906	1.6	0.2	Sterivex GV 
SAMN05991672	SRS1788335	HOT226-1000m	10/4/10	1000	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.39	3.89	2010-10-04T09:41:41	22.75	158	226	KM 10-19	2	9	2260200901	1.6	0.2	Sterivex GV 
SAMN05991673	SRS1788338	HOT227-0025m	11/21/10	25	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.13	2010-11-21T23:43:44	22.75	158	227	TN258	2	6	2270200618	1.6	0.2	Sterivex GV 
SAMN05991674	SRS1788392	HOT227-0045m	11/21/10	45	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.08	25.09	2010-11-21T23:41:23	22.75	158	227	TN258	2	6	2270200613	1.6	0.2	Sterivex GV 
SAMN05991675	SRS1788329	HOT227-0075m	11/21/10	75	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	25.11	2010-11-21T16:27:32	22.75	158	227	TN258	2	4	2270200418	1.6	0.2	Sterivex GV 
SAMN05991676	SRS1788411	HOT227-0125m	11/21/10	125	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.05	23.55	2010-11-21T16:24:58	22.75	158	227	TN258	2	4	2270200413	1.6	0.2	Sterivex GV 
SAMN05991677	SRS1788367	HOT227-0500m	11/21/10	500	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.49	7.53	2010-11-21T09:36:13	22.75	158	227	TN258	2	2	2270200212	1.6	0.2	Sterivex GV 
SAMN05991678	SRS1788387	HOT227-0770m	11/21/10	770	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.31	4.46	2010-11-21T09:28:54	22.75	158	227	TN258	2	2	2270200206	1.6	0.2	Sterivex GV 
SAMN05991679	SRS1788396	HOT227-1000m	11/21/10	1000	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.38	3.84	2010-11-21T09:23:21	22.75	158	227	TN258	2	2	2270200201	1.6	0.2	Sterivex GV 
SAMN05991680	SRS1788328	HOT229-0025m	1/28/11	25	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.07	23.57	2011-01-28T10:25:44	22.75	158	229	KM 11-02A	2	1	2290200111	1.6	0.2	Sterivex GV 
SAMN05991681	SRS1788373	HOT229-0125m	1/29/11	125	ENVO:00000447	marine wind mixed layer	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	8.01	21.26	2011-01-29T16:01:31	22.75	158	229	KM 11-02A	2	10	2290201013	1.6	0.2	Sterivex GV 
SAMN05991682	SRS1788407	HOT229-0200m	1/29/11	200	ENVO:00000447	oceanic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.92	16.48	2011-01-29T15:58:02	22.75	158	229	KM 11-02A	2	10	2290201008	1.6	0.2	Sterivex GV 
SAMN05991683	SRS1788365	HOT229-0500m	1/29/11	500	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.51	7.62	2011-01-29T09:43:07	22.75	158	229	KM 11-02A	2	8	2290200812	1.6	0.2	Sterivex GV 
SAMN05991684	SRS1788345	HOT229-0770m	1/29/11	770	ENVO:00000447	mesopelagic zone	ocean water	"Pacific Ocean: North Pacific Gyre, Station ALOHA"	7.34	4.61	2011-01-29T09:32:58	22.75	158	229	KM 11-02A	2	8	2290200806	1.6	0.2	Sterivex GV 
