sampling_event_ID	 sample	cruise_name	 EXPOCODE	 Ship	 STNNBR	 CASTNO	 section	 start ISO_DateTime	 Date	 Year	 Month	 Day	 timeutc	 lon	 lat	 nav_code	 depth_max	 pres_max	 depth_hgt	 parameters	 comments	 HOT_summary_file_name	 ROSETTE	 CTDPRS	 CTDOXY	 CTDSAL	 CTDTMP	 REPLICT	 SALNITY	 SIGMA	 THETA	 num_bottles	 QUALT1	 QUALT2	 QUALT3	 QUALT4	 QUALT5	 QUALT6	 QUALT7	 QUALT8	 QUALT9	 QUAL10
HOT_224_ 20100807T134000_23	SAMN05991650	224	 33KB224_1	 33KB224/1	2	3	 PRS2	 2010-08-07T13:40:00	80710	2010	8	7	1340	-157.988	22.7555	 GPS	4735	200	4536	 	 Dual T; C sensors	 cruise.summaries/hot224.sum	12	25.3	209.1	35.2129	25.4406	1	 	23.369	25.435	19	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100807T134000_23	SAMN05991651	224	 33KB224_1	 33KB224/1	2	3	 PRS2	 2010-08-07T13:40:00	80710	2010	8	7	1340	-157.988	22.7555	 GPS	4735	200	4536	 	 Dual T; C sensors	 cruise.summaries/hot224.sum	7	45.5	209.4	35.2126	25.3472	1	 	23.399	25.3373	19	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100807T134000_23	SAMN05991652	224	 33KB224_1	 33KB224/1	2	3	 PRS2	 2010-08-07T13:40:00	80710	2010	8	7	1340	-157.988	22.7555	 GPS	4735	200	4536	 	 Dual T; C sensors	 cruise.summaries/hot224.sum	2	73.4	212	35.2047	25.1722	1	 	23.448	25.1562	19	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100808T151600_211	SAMN05991653	224	 33KB224_1	 33KB224/1	2	11	 PRS2	 2010-08-08T15:16:00	80810	2010	8	8	1516	-157.949	22.8337	 GPS	4682	1024	3667	1	 Dual T; C sensors	 cruise.summaries/hot224.sum	19	126	217.3	35.3144	23.0947	1	 	24.152	23.0689	24	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100808T151600_211	SAMN05991654	224	 33KB224_1	 33KB224/1	2	11	 PRS2	 2010-08-08T15:16:00	80810	2010	8	8	1516	-157.949	22.8337	 GPS	4682	1024	3667	1	 Dual T; C sensors	 cruise.summaries/hot224.sum	14	199.7	203.4	35.2291	20.0918	1	35.2322	24.922	20.0547	24	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100808T085700_29	SAMN05991655	224	 33KB224_1	 33KB224/1	2	9	 PRS2	 2010-08-08T08:57:00	80810	2010	8	8	857	-157.979	22.745	 GPS	4739	1022	3726	1	 Dual T; C sensors	 cruise.summaries/hot224.sum	12	499.7	100.9	34.1106	7.6033	1	 	26.64	7.5539	24	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100808T085700_29	SAMN05991656	224	 33KB224_1	 33KB224/1	2	9	 PRS2	 2010-08-08T08:57:00	80810	2010	8	8	857	-157.979	22.745	 GPS	4739	1022	3726	1	 Dual T; C sensors	 cruise.summaries/hot224.sum	6	769.4	37.3	34.3255	4.8857	1	 	27.161	4.8238	24	2159999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_224_ 20100808T085700_29	SAMN05991657	224	 33KB224_1	 33KB224/1	2	9	 PRS2	 2010-08-08T08:57:00	80810	2010	8	8	857	-157.979	22.745	 GPS	4739	1022	3726	1	 Dual T; C sensors	 cruise.summaries/hot224.sum	1	1020.2	44.8	34.4665	3.9951	1	34.4659	27.37	3.9178	24	2129999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_225_ 20100903T135300_23	SAMN05991658	225	 33KB225_1	 33KB225/1	2	3	 PRS2	 2010-09-03T13:53:00	90310	2010	9	3	1353	-158.06	22.7492	 GPS	4760	200	4561	 	 Dual T; C sensors	 cruise.summaries/hot225.sum	13	25.1	208.5	35.236	25.6192	1	 	23.331	25.6137	18	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
HOT_225_ 20100903T135300_23	SAMN05991659	225	 33KB225_1	 33KB225/1	2	3	 PRS2	 2010-09-03T13:53:00	90310	2010	9	3	1353	-158.06	22.7492	 GPS	4760	200	4561	 	 Dual T; C sensors	 cruise.summaries/hot225.sum	7	45.4	208.7	35.2348	25.6001	1	 	23.338	25.5901	18	2199999	9999999	9999999	9999999	9999999	999999	999999	999999	999999	999999
