Sample_event_ID	 start_ISO_DateTime	 lon	 lat	cruise_ID	cruise_expedition	sampling_event_type	station_name
HOT_224_20100807T134000_23	 2010-08-07T13:40:00	-157.988	22.7555	HOT224	HOT	cast	ALOHA
HOT_224_20100808T151600_211	 2010-08-08T15:16:00	-157.949	22.8337	HOT224	HOT	cast	ALOHA
HOT_224_20100808T085700_29	 2010-08-08T08:57:00	-157.979	22.745	HOT224	HOT	cast	ALOHA
HOT_225_20100903T135300_23	 2010-09-03T13:53:00	-158.06	22.7492	HOT225	HOT	cast	ALOHA
HOT_225_20100904T155000_210	 2010-09-04T15:50:00	-158.003	22.7908	HOT225	HOT	cast	ALOHA
HOT_225_20100905T084800_216	 2010-09-05T08:48:00	-157.926	22.7293	HOT225	HOT	cast	ALOHA
HOT_226_20101003T130700_23	 2010-10-03T13:07:00	-157.971	22.7328	HOT226	HOT	cast	ALOHA
HOT_226_20101004T145300_211	 2010-10-04T14:53:00	-157.999	22.7502	HOT226	HOT	cast	ALOHA
HOT_226_20101004T091100_29	 2010-10-04T09:11:00	-157.956	22.6822	HOT226	HOT	cast	ALOHA
HOT_227_20101121T224600_26	 2010-11-21T22:46:00	-157.982	22.7452	HOT227	HOT	cast	ALOHA
HOT_227_20101121T153500_24	 2010-11-21T15:35:00	-158.016	22.7703	HOT227	HOT	cast	ALOHA
HOT_227_20101121T085400_22	 2010-11-21T08:54:00	-157.988	22.7468	HOT227	HOT	cast	ALOHA
HOT_229_20110128T095800_21	 2011-01-28T09:58:00	-158.009	22.674	HOT229	HOT	cast	ALOHA
HOT_229_20110129T150900_210	 2011-01-29T15:09:00	-157.994	22.6655	HOT229	HOT	cast	ALOHA
HOT_229_20110129T085700_28	 2011-01-29T08:57:00	-158.001	22.7498	HOT229	HOT	cast	ALOHA
HOT_231_20110411T095600_21	 2011-04-11T09:56:00	-157.994	22.6877	HOT231	HOT	cast	ALOHA
HOT_231_20110412T170900_29	 2011-04-12T17:09:00	-158.001	22.7425	HOT231	HOT	cast	ALOHA
HOT_231_20110412T111900_27	 2011-04-12T11:19:00	-158.087	22.7942	HOT231	HOT	cast	ALOHA
HOT_232_20110509T125100_21	 2011-05-09T12:51:00	-157.999	22.7347	HOT232	HOT	cast	ALOHA
HOT_232_20110510T145700_210	 2011-05-10T14:57:00	-157.953	22.7288	HOT232	HOT	cast	ALOHA
HOT_232_20110510T090700_28	 2011-05-10T09:07:00	-157.989	22.6908	HOT232	HOT	cast	ALOHA
HOT_233_20110719T090900_21	 2011-07-19T09:09:00	-158.001	22.716	HOT233	HOT	cast	ALOHA
HOT_233_20110720T154200_211	 2011-07-20T15:42:00	-158.003	22.727	HOT233	HOT	cast	ALOHA
