Sample_event_ID	start_ISO_DateTime	lon	lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
SE_92	Ê2006-03-09T07:39:00	-158.005	22.7547	HOT179	HOT	cast	ALOHA
SE_93	Ê2006-03-09T13:05:00	-157.997	22.75	HOT179	HOT	cast	ALOHA
SE_94	Ê2006-03-09T14:34:00	-157.996	22.7502	HOT179	HOT	cast	ALOHA
SE_95	Ê2006-03-11T15:28:00	-157.999	22.747	HOT179	HOT	cast	ALOHA
SE_96	Ê2006-10-23T08:16:00	-158	22.7997	HOT186	HOT	cast	ALOHA
SE_97	Ê2006-10-22T09:07:00	-158	22.75	HOT186	HOT	cast	ALOHA
SE_98	Ê2006-10-20T04:58:00	-157.999	22.7498	HOT186	HOT	cast	ALOHA
SE_99	Ê2006-10-19T16:31:00	-157.997	22.7508	HOT186	HOT	cast	ALOHA
SE_100	Ê2006-10-23T09:54:00	-158	22.7997	HOT186	HOT	cast	ALOHA
SE_101	Ê2006-10-23T02:26:00	-157.99	22.8362	HOT186	HOT	cast	ALOHA
SE_102	Ê2006-10-20T06:14:00	-157.998	22.7498	HOT186	HOT	cast	ALOHA
SE_103	Ê2006-10-19T18:26:00	-158.007	22.7588	HOT186	HOT	cast	ALOHA
