Biosample ID,SRA ID,OrganismName,depth,description,ENA checklist,EVENT_Device,Event Date/Time,IHO,INSDC center name,INSDC first public,INSDC last update,INSDC status,Latitude End,Latitude Start,Longitude End,Longitude Start,Marine Region,Protocol Label,SAMPLE_Title,SAMPLING_Objective,SRA accession,salinity,Sample Name,Sampling Campaign,Sampling Platform,Sampling Site,temperature,Title,broad-scale environmental context,environment (feature),environment (material),environmental package,mrgid,Attributes/Attribute/33/_attribute_name,Attributes/Attribute/33/_harmonized_name,Attributes/Attribute/33/_display_name,project name,_publication_date,_last_update,_submission_date,_id,_accession
SAMEA3275619,ERS667637,marine metagenome,1,IMOS National Reference Stations - OSD,ERC000027,10 L bucket,2014-06-12T21:20:00+00,Tasman Sea,OSD_IMOS National Refence Station,2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,-34.0833,-34.0833,151.25,151.25,Tasman Sea,NPL022,OSD31_2014-06-12_1m_NPL022,IMOS National Reference Stations - OSD,ERS667637,35.4964,ERS667637,OSD-Jun-2014,"Research vessel, Zelda Faith","OSD31,Port Hacking - New South Wales",20.1183,OSD31_2014-06-12_1m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4365,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T23:02:43.333,2015-05-01T14:46:37.230,3579777,SAMEA3275619
SAMEA3275618,ERS667636,marine metagenome,1,IMOS National Reference Stations - OSD,ERC000027,10 L Niskin,2014-06-23T01:20:00+00,Coral Sea,OSD_IMOS National Refence Station,2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,-27.2,-27.342,153.3373,153.5622,Coral Sea,NPL022,OSD32_2014-06-23_1m_NPL022,IMOS National Reference Stations - OSD,ERS667636,35.391,ERS667636,OSD-Jun-2014,"Research vessel, Scylla","OSD32,North Stradbroke - Queensland",23.4,OSD32_2014-06-23_1m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4364,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T23:02:42.803,2015-05-01T14:46:37.127,3579776,SAMEA3275618
SAMEA3275617,ERS667635,marine metagenome,1,IMOS National Reference Stations - OSD,ERC000027,5 L Niskin,2014-06-19T01:35:00+00,Tasman Sea,OSD_IMOS National Refence Station,2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,-42.5966,-42.5966,148.2333,148.2333,Tasman Sea,NPL022,OSD33_2014-06-19_1m_NPL022,IMOS National Reference Stations - OSD,ERS667635,35.3598,ERS667635,OSD-Jun-2014,"Research vessel, South Cape","OSD33,Maria Island - Tasmania",13.9045,OSD33_2014-06-19_1m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4365,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T23:02:42.973,2015-05-01T14:46:37.017,3579775,SAMEA3275617
SAMEA3275548,ERS667566,marine metagenome,20,Water sampling for prokaryotes.,ERC000027,Niskin bottles,2014-06-22T10:00:00+00,Aegean Sea,OSD_Hellenic Centre for Marine Research,2015-04-29T17:01:21Z,2016-10-21T09:45:53Z,public,35.35,35.35,25.29,25.29,Aegean Sea,NPL022,OSD100_2014-06-22_20m_NPL022,Water sampling for prokaryotes.,ERS667566,39.11,ERS667566,OSD-Jun-2014,Research Vessel Alkyon,"OSD100,Crete - GOS",23.13,OSD100_2014-06-22_20m_NPL022,ENVO:01000035,ENVO:00002223,Deep Chlorophyll Maximum,water,3315,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:59:28.580,2015-05-01T14:46:36.883,3579774,SAMEA3275548
SAMEA3275503,ERS667512,marine metagenome,10,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program: http://www.bio.gc.ca/science/monitoring-monitorage/bbmp-pobb/bbmp-pobb-eng.php,ERC000027,10L Niskin,2014-06-20T12:50:00+00,North Atlantic Ocean,OSD_Dalhousie University,2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,44.6936,44.6936,-63.6403,-63.6403,North Atlantic Ocean,NPL022,OSD152_2014-06-20_10m_NPL022,Compass Buoy Station has been sampled weekly since 1992 as part of the Bedford Basin Monitoring Program: http://www.bio.gc.ca/science/monitoring-monitorage/bbmp-pobb/bbmp-pobb-eng.php,ERS667512,30.1,ERS667512,OSD-Jun-2014,"dive vessel, Eastcom","OSD152,Compass Buoy Station - Bedford Basin",8.5,OSD152_2014-06-20_10m_NPL022,"ENVO:00000447 for ""marine biome""","ENVO:00002151 for ""ocean water""","ENVO:00002010 for ""seawater""",water,1912,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:59:28.407,2015-05-01T14:46:36.757,3579773,SAMEA3275503
SAMEA3275496,ERS667505,marine metagenome,12.8,"Testing the hands OSD concept for future use with students and pupils (KOB IIBB).Future reference and Supplementing time series at site 155 , Oslofjord, Steilene",ERC000027,Water sample with 1 bucket a 5 L deployed 2x at 1 m (HCL washed),2014-06-21T08:00:00+00,Skaggerak,OSD_Kind Of Blue Project (Private/Individual),2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,59.81618,59.81618,10.59863,10.59863,Skaggerak,NPL022,OSD155_2014-06-21_12.8m_NPL022,"Testing the hands OSD concept for future use with students and pupils (KOB IIBB).Future reference and Supplementing time series at site 155 , Oslofjord, Steilene",ERS667505,30.054,ERS667505,OSD-Jun-2014,C4 Bombard,"OSD155,Steilene Oslofjord",18.7,OSD155_2014-06-21_12.8m_NPL022,ENVO:00000447 marine biome,Sheltered location near shore and weather station,Particulate matter on a 0.22 Î¼m pore size filter,water,2379,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:59:27.940,2015-05-01T14:46:36.580,3579772,SAMEA3275496
SAMEA3275495,ERS667504,marine metagenome,11.8,Testing the hands OSD concept for future use with students \nand pupils (KOB IIBBTOXmicroplasticsMonitor).Future reference and Supplementing time series at site 156 Kavringen/innerharbour possibly status of pops and microplastics\n\nNote Due too unforeseen logistics Kavringen was selected instead of Hvaler coral site .,ERC000027,1 bucket a 5 L deployed x at 1 m,2014-06-21T11:00:00+00,Skaggerak,OSD_Kind Of Blue Project (Private/Individual),2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,59.89961,59.89961,10.71999,10.71999,Skaggerak,NPL022,OSD156_2014-06-21_11.8m_NPL022,Testing the hands OSD concept for future use with students \nand pupils (KOB IIBBTOXmicroplasticsMonitor).Future reference and Supplementing time series at site 156 Kavringen/innerharbour possibly status of pops and microplastics\n\nNote Due too unforeseen logistics Kavringen was selected instead of Hvaler coral site .,ERS667504,30.054,ERS667504,OSD-Jun-2014,OSF,"OSD156,Hvaler Tisler Site",17.8,OSD156_2014-06-21_11.8m_NPL022,ENVO:00000447 marine biome,ENVO:00002042 Surface water,ENVO:00002010 seawater,water,2379,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:59:27.780,2015-05-01T14:46:36.437,3579771,SAMEA3275495
SAMEA3275492,ERS667501,marine metagenome,80,Testing the hands OSD concept for future use with students and pupils (KOB III).Future reference and Supplementing time series at site 157 ELLEIm2,ERC000027,Niskin 1 bottle 20 l (80 m) and 2 x 10 l 1 m,2014-06-20T10:00:00+00,Skaggerak,OSD_Kind Of Blue Project (Private/Individual),2015-04-29T17:01:21Z,2016-10-21T09:45:52Z,public,59.622,59.622,10.6282,10.6282,Skaggerak,NPL022,OSD157_2014-06-20_80m_NPL022,Testing the hands OSD concept for future use with students and pupils (KOB III).Future reference and Supplementing time series at site 157 ELLEIm2,ERS667501,34.7,ERS667501,OSD-Jun-2014,Trygve Braarud http://www.marinetraffic.com/ais/details/ships/257059600/vessel:TRYGVE_BRAARUD,"OSD157,ELLEIm2",11.5,OSD157_2014-06-20_80m_NPL022,ENVO:00000447 marine biome,The site is in the outerpart of the Oslofjord,ENVO:00002010 seawater,water,2379,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:59:28.093,2015-05-01T14:46:36.240,3579770,SAMEA3275492
SAMEA3275468,ERS667477,marine metagenome,0,IMOS National Reference Stations - OSD,ERC000027,10 L Niskin,2014-06-24T05:48:00+00,Indian Ocean,OSD_IMOS/CSIRO,2015-04-29T17:01:21Z,2016-10-21T09:45:53Z,public,-32,-32,115.4167,115.4167,Indian Ocean,NPL022,OSD188_2014-06-24_0m_NPL022,IMOS National Reference Stations - OSD,ERS667477,35.152,ERS667477,OSD-Jun-2014,"Research vessel, Linnaeus","OSD188,Rottnest Island",21.7963,OSD188_2014-06-24_0m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,1904,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:57:06.720,2015-05-01T14:46:36.080,3579769,SAMEA3275468
SAMEA3275467,ERS667476,marine metagenome,0,IMOS NAtional Reference Stations - OSD,ERC000027,10 L Niskin,2014-06-24T02:05:00+00,Coral Sea,OSD_IMOS/AIMS/CSIRO,2015-04-29T17:01:21Z,2016-10-21T09:45:53Z,public,-19.305,-19.305,147.622,147.622,Coral Sea,NPL022,OSD189_2014-06-24_0m_NPL022,IMOS NAtional Reference Stations - OSD,ERS667476,35.2968,ERS667476,OSD-Jun-2014,"Research vessel, Apollo","OSD189,Yongala",23.6203,OSD189_2014-06-24_0m_NPL022,EnvO:01000023,EnvO:00002042,EnvO:00002010,water,4364,project name,project_name,project name,Micro B3,2015-04-29T00:00:00.000,2019-01-15T22:57:06.550,2015-05-01T14:46:35.847,3579768,SAMEA3275467
