parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Sample_event_ID	centrally registered sampling event identifier	http://purl.obolibrary.org/obo/PMO_00000056								string	
start_ISO_DateTime	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	datetime	%Y-%m-%dT%H:%M
end_ISO_DateTime	specimen collection time measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000009	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	datetime	%Y-%m-%dT%H:%M
start_lon	longitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000077	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
start_lat	latitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000076	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
end_lon	longitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000078	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
end_lat	latitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000079	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
cruise_ID	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060								string	
cruise_expedition	project investigation identifier	http://purl.obolibrary.org/obo/PMO_00000007								string	
sampling_event_type	conductivity temperature pressure sampling process	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000146								string	
Station_name	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149								string	
