parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Sample ID	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Sample label (BioSample)	Biosample identifier assigned by the National Center for Biotechnology Information	http://purl.obolibrary.org/obo/PMO_00000122	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Sample label (BioArchive)	INSDC bioarchive accession number	http://purl.obolibrary.org/obo/PMO_00000124	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Sample label (ENA)	secondary sample accession identifier assigned by the European Nucleotide Archive	http://purl.obolibrary.org/obo/PMO_00000123	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
URL file	secondary sample accession identifier assigned by the European Nucleotide Archive	http://purl.obolibrary.org/obo/PMO_00000123	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Campaign	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Site label	site label	http://purl.obolibrary.org/obo/PMO_00000005	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Site number	number designating study site	http://purl.obolibrary.org/obo/PMO_00000054	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	number	
Event	specimen collection process	http://purl.obolibrary.org/obo/OBI_0000659	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Device	specimen collection device	http://purl.obolibrary.org/obo/PMO_00000074	TRUE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Comment	comment on investigation	http://purl.obolibrary.org/obo/PMO_00000075	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
URI	specimen collection process data doccument	http://purl.obolibrary.org/obo/PMO_00000093	FALSE					https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	string	
Date/Time	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003			https://www.microb3.eu/sites/default/files/deliverables/MB3_D4_3_PU.pdf	https://doi.pangaea.de/10.1594/PANGAEA.854419	datetime	%Y-%m-%dT%H:%M
