Sample ID	Sample label (BioSample)	Sample label (BioArchive)	Sample label (ENA)	URL file	Campaign	Site label	Site number	Event	Device	Comment OBJECTIVE	Comment PLATFORM	Comment DEVICE REPORTED	Comment DESCRIPTION	URI	Date/Time	Latitude	Longitude	Date/Time 2	Latitude 2	Longitude 2	Depth	TZ	Local time	"Country, closest"	"Country, distance"	"BG province, closest, abbrev"	"BG province, closest, desc"	"BG province, distance"	"LME, closest, desc"	"LME, distance"	"Locality, site"	"Locality, region"	URL ref	Biome	purl_biome	Env feature	purl_feature	Material	purl_material	Protocol Label	Quantity	Container	Content	"Size-fraction, upper thresh"	"Size-fraction, lower thresh"	"Treatment, chemicals"	"Treatment, storage"	Temp	Sal	pH	[PO4]3-	[NO3]-	POC	[NO2]-	DOC	Plank nano/micro	PAR	Cond	PP C	OXYGEN	PON	Plank meso/macro	Bact prod C	DON	[NH4]+	Si(OH)4	Turbidity	Fluorometer	Chl a
OSD186_2014-06-21_2.4m_NPL022	SAMEA3275469	ABOKL60	ERS667478	https://www.ebi.ac.uk/ena/data/view/ERS667478	OSD-Jun-2014	OSD186	186	OSD186_20140621T1704Z	"Bottle, Kemmerer"	Participation in OSD	Dock	"5L-Kimmerer, YSI85"	collected with Kimmer below surface of water (total depth at site 2.4m)	http://store.pangaea.de/Projects/OSD_2014/OSD186_20140621T1704Z.pdf	2014-06-21T17:04	38.885507	-76.5416	2014-06-21T17:21	38.885507	-76.5416	2.4	UTC-05	21-06-2014T12:04:00	USA	456	NWCS	Coastal - NW Atlantic Shelves Province	0.035146239	Northeast U.S. Continental Shelf	212	SERC Rhode River Maryland	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	freshwater river biome	http://purl.obolibrary.org/obo/ENVO_01000253	brackish estuary	http://purl.obolibrary.org/obo/ENVO_00002137	brackish water	http://purl.obolibrary.org/obo/ENVO_00002019	NPL022	0.2;0.2;0.2;0.2;0.15;0.2	Sterivex cartridge	Not provided	No pre-filtration	0.22	None	-20 Freezer	26.8	7.2											6.2								37.6	
OSD60_2014-06-19_0.1m_NPL022	SAMEA3275582	ABOKM20	ERS667600	https://www.ebi.ac.uk/ena/data/view/ERS667600	OSD-Jun-2014	OSD60	60	OSD60_20140619T1545Z	"Bottle, Nalgene 4-L"	collect prokaryotic and eukaryotic DNA samples	Not reported	4L sterile bottles	Sampling for Ocean Sampling Day. We used Polycarbonate membrane filters with 47 mm in diameter	http://store.pangaea.de/Projects/OSD_2014/OSD60_20140619T1545Z.pdf	2014-06-19T15:45	33.32306	-79.16763	2014-06-19T16:00	33.32306	-79.16763	0.1	UTC-05	19-06-2014T10:45:00	USA	90	NWCS	Coastal - NW Atlantic Shelves Province	0.00513785	Southeast U.S. Continental Shelf	841	South Carolina 2 - North Inlet	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	marine biome	http://purl.obolibrary.org/obo/ENVO_00000447	coastal water body	http://purl.obolibrary.org/obo/ENVO_02000049	brackish water	http://purl.obolibrary.org/obo/ENVO_00002019	NPL022	1.5;1.5;1.5;1.5;1.5	Sterivex	Particulate matter	No pre-filtration	0.22	None	-80	27.77	35.13	7.92								53.34		5.51									
OSD47_2014-06-21_0m_NPL022	SAMEA3275603	ABOKM66	ERS667621	https://www.ebi.ac.uk/ena/data/view/ERS667621	OSD-Jun-2014	OSD47	47	OSD47_20140621T1256Z	"Bottle, unknown 10-L"	Not provided	UNIPD Boat	10 L bottle	The Label field reflects the sample title reported on the filter itself: each filter has this label with a progressive number according to the list of filters reported here.	http://store.pangaea.de/Projects/OSD_2014/OSD47_20140621T1256Z.pdf	2014-06-21T12:56	45.502	12.4176	2014-06-21T12:57	45.502	12.4176	0	UTC+01	21-06-2014T13:56:00	ITA	253	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0	Mediterranean Sea	104	Venice Lagoon	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	lagoon	http://purl.obolibrary.org/obo/ENVO_00000038	brackish water	http://purl.obolibrary.org/obo/ENVO_00002019	NPL022	0.45;0.45;0.45;0.45;0.45;0.45	Sterivex	particulate matter on 0.22_m filter	No pre-filtration	0.22	None	-80	25.3	27.42	7.67	0.165	1.75		1.24						4.26					2.01	13.37			3.18
OSD69_2014-06-21_0m_NPL022	SAMEA3275576	ABOKM43	ERS667594	https://www.ebi.ac.uk/ena/data/view/ERS667594	OSD-Jun-2014	OSD69	69	OSD69_20140621T1508Z	"Bottle, unknown 10-L"	OSD samplig	UNIPD Boat	10 L bottle	The Label field reflects the sample title reported on the filter itself: each filter has this label with a progressive number according to the list of filters reported here	http://store.pangaea.de/Projects/OSD_2014/OSD69_20140621T1508Z.pdf	2014-06-21T15:08	45.4568	12.2605	2014-06-21T15:11	45.4568	12.2605	0	UTC+01	21-06-2014T16:08:00	ITA	0	MEDI	"Westerlies - Mediterranean Sea, Black Sea Province"	0.010879246	Mediterranean Sea	16	Marghera	Adriatic Sea	http://marineregions.org/gazetteer.php?p=details&id=3314	mediterranean sea biome	http://purl.obolibrary.org/obo/ENVO_01000047	lagoon	http://purl.obolibrary.org/obo/ENVO_00000038	brackish water	http://purl.obolibrary.org/obo/ENVO_00002019	NPL022	0.45;0.45;0.45;0.45;0.45;0.45	Sterivex	Particulate matter	No pre-filtration	0.22	None	-80	25.7	29.41	7.83	0.24	7.69		0.37						5.01					1.94	14.07			4.11
OSD107_2014-06-20_0m_NPL022	SAMEA3275540	ABOKL57	ERS667558	https://www.ebi.ac.uk/ena/data/view/ERS667558	OSD-Jun-2014	OSD107	107	OSD107_20140620T0950Z	"Bucket, plastic"	OSD2014 PORTUGAL MAINLAND	Ground	ACID WASHED RECIPIENT	OSD107-LISBOA	http://store.pangaea.de/Projects/OSD_2014/OSD107_20140620T0950Z.pdf	2014-06-20T09:50	39.14039	-9.38011	2014-06-20T10:10	39.14039	-9.38011	0	UTC+00	20-06-2014T09:50:00	PRT	243	CNRY	Coastal - Canary Coastal Province (EACB)	0.000490717	Iberian Coastal	193	Lisboa	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	1;1;0.77;1;1	Sterivex	SPM	No pre-filtration	0.22	None	-80	20.2	30																				
OSD108_2014-06-20_0m_NPL022	SAMEA3275539	ABOKM08	ERS667557	https://www.ebi.ac.uk/ena/data/view/ERS667557	OSD-Jun-2014	OSD108	108	OSD108_20140620T1140Z	"Bucket, plastic"	OSD2014 PORTUGAL MAINLAND	Ground	ACID WASHED RECIPIENT	OSD108-ALCOCHETE	http://store.pangaea.de/Projects/OSD_2014/OSD108_20140620T1140Z.pdf	2014-06-20T11:40	38.757283	-8.966333	2014-06-20T11:50	38.757283	-8.966333	0	UTC+00	20-06-2014T11:40:00	PRT	508	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Alcochete	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	1;1;1;1;1	Sterivex	SPM	No pre-filtration	0.22	None	-80	20.1	30																				
OSD109_2014-06-20_0m_NPL022	SAMEA3275538	ABOKL46	ERS667556	https://www.ebi.ac.uk/ena/data/view/ERS667556	OSD-Jun-2014	OSD109	109	OSD109_20140620T1100Z	"Bucket, plastic"	OSD2014 at PT MAINLAND	Ground	ACID WASHED RECIPIENT	OSD109-ROSARIO	http://store.pangaea.de/Projects/OSD_2014/OSD109_20140620T1100Z.pdf	2014-06-20T11:00	38.67694	-9.01239	2014-06-20T11:10	38.67694	-9.01239	0	UTC+00	20-06-2014T11:00:00	PRT	33	CNRY	Coastal - Canary Coastal Province (EACB)	0.025869444	Iberian Coastal	0	Rosa Rio	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	1;1;1;1;1	Sterivex	SPM	No pre-filtration	0.22	None	-80	20.5	30																				
OSD110_2014-06-21_0m_NPL022	SAMEA3275537	ABOKL58	ERS667555	https://www.ebi.ac.uk/ena/data/view/ERS667555	OSD-Jun-2014	OSD110	110	OSD110_20140621T1030Z	"Bucket, plastic"	OSD2014 at PT MAINLAND	Ground	ACID WASHED RECIPIENT	OSD110-FIGUEIRA DA FOZ	http://store.pangaea.de/Projects/OSD_2014/OSD110_20140621T1030Z.pdf	2014-06-21T10:30	40.145122	-8.869328	2014-06-21T10:50	40.145122	-8.869328	0	UTC+00	21-06-2014T10:30:00	PRT	618	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Figueira da Foz	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	1;1;1;1;1	Sterivex	SPM	No pre-filtration	0.22	None	-80	23	22.5																				
OSD111_2014-06-21_0m_NPL022	SAMEA3275536	ABOKL54	ERS667554	https://www.ebi.ac.uk/ena/data/view/ERS667554	OSD-Jun-2014	OSD111	111	OSD111_20140621T0830Z	"Bucket, plastic"	OSD2014 at PT MAINLAND	Ground	ACID WASHED RECIPIENT	OSD111-RIA DE AVEIRO_1	http://store.pangaea.de/Projects/OSD_2014/OSD111_20140621T0830Z.pdf	2014-06-21T08:30	40.659875	-8.703761	2014-06-21T08:50	40.659875	-8.703761	0	UTC+00	21-06-2014T08:30:00	PRT	238	CNRY	Coastal - Canary Coastal Province (EACB)	0	Iberian Coastal	0	Ria de Aveiro_1	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	0.71;0.97;0.84;0.81;0.82	Sterivex	SPM	No pre-filtration	0.22	None	-80	25.2	30																				
OSD116_2014-06-21_0m_NPL022	SAMEA3275533	ABOKL59	ERS667550	https://www.ebi.ac.uk/ena/data/view/ERS667550	OSD-Jun-2014	OSD116	116	OSD116_20140621T1330Z	"Bucket, plastic"	OSD2014 at PT MAINLAND	Ground	ACID WASHED RECIPIENT	OSD116-LAGOA DE ABIDOS	http://store.pangaea.de/Projects/OSD_2014/OSD116_20140621T1330Z.pdf	2014-06-21T13:30	39.415067	-9.218828	2014-06-21T13:40	39.415067	-9.218828	0	UTC+00	21-06-2014T13:30:00	PRT	613	CNRY	Coastal - Canary Coastal Province (EACB)	0.021473765	Iberian Coastal	0	Lagoa de Obidos	North Atlantic Ocean	http://marineregions.org/gazetteer.php?p=details&id=1912	estuarine biome	http://purl.obolibrary.org/obo/ENVO_01000020	esturay	http://purl.obolibrary.org/obo/ENVO_00000045	coastal sea water	http://purl.obolibrary.org/obo/ENVO_00002150	NPL022	1;1;1;1;1	Sterivex	SPM	No pre-filtration	0.22	None	-80	24.7	22.5																				
