Sample_event_ID	start_ISO_DateTime	end_ISO_DateTime	start_lon	start_lat	end_lon	end_lat	cruise_ID	cruise_expedition	sampling_event_type	Station_name
OSD191_20140702T1433Z	2014-07-02T14:33	2014-07-02T14:55	-12.3382	130.6952	-12.3382	130.6952	OSD-Jun-2014	OSD	cast	OSD191
OSD190_20140713T0722Z	2014-07-13T07:22	2014-07-13T07:40	-35.8372	136.4413	-35.8372	136.4413	OSD-Jun-2015	OSD	cast	OSD190
OSD189_20140624T1605Z	2014-06-24T16:05	2014-06-24T19:15	-19.305	147.622	-19.305	147.622	OSD-Jun-2016	OSD	cast	OSD189
OSD188_20140624T2148Z	2014-06-24T21:48	2014-06-24T22:24	-32	115.4167	-32	115.4167	OSD-Jun-2017	OSD	cast	OSD188
OSD186_20140621T1704Z	2014-06-21T17:04	2014-06-21T17:21	38.885507	-76.5416	38.885507	-76.5416	OSD-Jun-2018	OSD	cast	OSD186
OSD185_20140624T1434Z	2014-06-24T14:34	2014-06-24T14:34	51.481583	2.451483	51.481583	2.451483	OSD-Jun-2019	OSD	cast	OSD185
OSD184_20140624T1806Z	2014-06-24T18:06	2014-06-24T18:07	51.682917	2.4152	51.682717	2.414967	OSD-Jun-2020	OSD	cast	OSD184
OSD183_20140624T2158Z	2014-06-24T21:58	2014-06-24T21:58	51.74835	2.698	51.74835	2.698	OSD-Jun-2021	OSD	cast	OSD183
OSD182_20140624T1316Z	2014-06-24T13:16	2014-06-24T13:16	51.458433	2.350467	51.458433	2.350467	OSD-Jun-2022	OSD	cast	OSD182
OSD178_20140624T2320Z	2014-06-24T23:20	2014-06-24T23:20	51.580333	2.7897	51.580317	2.7897	OSD-Jun-2023	OSD	cast	OSD178
OSD177_20140624T1035Z	2014-06-24T10:35	2014-06-24T10:37	51.18575	2.701667	51.185917	2.702133	OSD-Jun-2024	OSD	cast	OSD177
OSD176_20140624T1127Z	2014-06-24T11:27	2014-06-24T11:28	51.2777	2.6135	51.277933	2.613667	OSD-Jun-2025	OSD	cast	OSD176
OSD175_20140624T1313Z	2014-06-24T13:13	2014-06-24T13:13	51.334817	2.50215	51.334817	2.50215	OSD-Jun-2026	OSD	cast	OSD175
OSD174_20140625T0047Z	2014-06-25T00:47	2014-06-25T00:47	51.471567	3.059167	51.471583	3.0592	OSD-Jun-2027	OSD	cast	OSD174
OSD173_20140625T0139Z	2014-06-25T01:39	2014-06-25T01:39	51.441017	3.13995	51.441017	3.13995	OSD-Jun-2028	OSD	cast	OSD173
OSD172_20140625T0245Z	2014-06-25T02:45	2014-06-25T02:45	51.37485	3.218333	51.37485	3.218333	OSD-Jun-2029	OSD	cast	OSD172
OSD171_20140625T0423Z	2014-06-25T04:23	2014-06-25T04:23	51.307333	2.849333	51.307333	2.849333	OSD-Jun-2030	OSD	cast	OSD171
OSD170_20140625T0504Z	2014-06-25T05:04	2014-06-25T05:05	51.269517	2.9047	51.2695	2.90465	OSD-Jun-2031	OSD	cast	OSD170
OSD169_20140621T1149Z	2014-06-21T11:49	2014-06-21T12:09	51.796139	1.012958	51.796139	1.012958	OSD-Jun-2032	OSD	bucket	OSD169
OSD168_20140621T0915Z	2014-06-21T09:15	2014-06-21T09:55	38.41333	27.03421	38.41333	27.03421	OSD-Jun-2033	OSD	cast	OSD168
OSD167_20140621T1415Z	2014-06-21T14:15	2014-06-21T15:30	65.7064	-18.1181	65.7064	-18.1181	OSD-Jun-2034	OSD	bucket	OSD167
OSD166_20140621T0948Z	2014-06-21T09:48	2014-06-21T09:58	43.2655	-2.89966	43.43287	-2.90056	OSD-Jun-2035	OSD	bucket	OSD166
OSD165_20140623T0900Z	2014-06-23T09:00	2014-06-23T09:00	57.8498	-5.6495	57.8498	-5.6495	OSD-Jun-2036	OSD	bucket	OSD165
OSD163_20140620T1200Z	2014-06-20T12:00	2014-06-20T12:00	58.957	-2.9726	58.957	-2.9726	OSD-Jun-2037	OSD	bucket	OSD163
OSD162_20140623T1100Z	2014-06-23T11:00	2014-06-23T11:00	56.9631	-2.1031	56.9631	-2.1031	OSD-Jun-2038	OSD	Water pump	OSD162
OSD159_20140621T1000Z	2014-06-19T10:00	2014-06-19T10:45	48.359	-4.552	48.359	-4.552	OSD-Jun-2039	OSD	cast	OSD159
OSD158_20140621T1120Z	2014-06-21T11:20	2014-06-21T12:00	37.4328	-25.19	37.4328	-25.19	OSD-Jun-2040	OSD	bucket	OSD158
OSD157_20140620T0900Z	2014-06-20T09:00	2014-06-20T11:30	59.622	10.6282	59.622	10.6282	OSD-Jun-2041	OSD	cast	OSD157
