Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20120319T0958Z_152_EVENT_NET	SV Tara	TARA_20120314Z	TARA_152	Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5	2012-03-19 09:58:00	43.6858	-16.8474	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-E] North Atlantic Subtropical Gyral Province (MRGID:21467)	0	1	365	365	winter	late	descending	0.1	day	727	20.547264	27.148449	28.25794601	28.66882	13.99573225	0.000994762	0.000243117	0.022559946	0.007138027	0.052923159	0.046197792	0.32542221	0.515146424	NA	0.272933692	46.2092	NA	NA	484.369	0.246074021	67.22969055	0.00020375	-3940	43.0333	-9.2912	614.5118	0.63127	3.9593e-05	3.395938	-2.245168	-0.093316	0.033926	6.083333	NA	NA	120	41.544936	-16.064521
TARA_20120218T2123Z_147_EVENT_NET	SV Tara	TARA_20120212Z	TARA_147	Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5	2012-02-18 21:23:00	32.9701	-66.5548	Westerlies Biome	[NAO] North Atlantic Ocean (MRGID:1912)	[NAST-W] North Atlantic Subtropical Gyral Province (MRGID:21455)	0	1	365	365	winter	middle	descending	0.13	day	667	36.64769	23.2978	25.80787849	26.505795	19.84430125	0.001076234	5.1855e-05	0.006327717	0.001158111	0.059786693	0.018249512	0.754704962	0.384769473	NA	0.143126562	36.7033	1.737188004	NA	NA	0.148448639	52.30227852	1.95e-05	-4947	32.2983	-64.8667	176.8661	0.12255	7.36e-07	-5.038707	-2.870944	0.003342	0.034771	0	NA	NA	120	34.051748	-65.403757
TARA_20111215T2007Z_139_EVENT_NET	SV Tara	TARA_20111124Z	TARA_139	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2011-12-15 20:07:00	6.4946	-95.0463	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	descending	0.77	day	705	25.879498	24.82828	25.76172161	33.634903	26.7276805	4.504e-06	1.35e-06	0.016344247	0.006303571	0.041543466	0.039743286	3.953974664	1.946853992	NA	NA	30.1335	2.811131856	NA	NA	NA	NA	NA	-3641	1.6497	-92	630.0633	0.20345	2.0589e-05	3.463076	-19.855631	-1.751306	0.029167	13.861111	NA	NA	120	9.797684	-97.869613
TARA_20111215T1745Z_139_EVENT_NET	SV Tara	TARA_20111124Z	TARA_139	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2011-12-15 17:45:00	6.48	-95.0153	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	descending	0.77	day	705	25.879498	24.82828	24.94094181	33.634903	26.7276805	4.504e-06	1.35e-06	0.016344247	0.006303571	0.041543466	0.039743286	3.953974664	1.946853992	NA	NA	30.1335	2.811131856	NA	NA	NA	NA	NA	-3641	1.6497	-92	630.0633	0.20345	2.0589e-05	3.463076	-19.855631	-1.751306	0.029167	13.861111	NA	NA	120	9.797684	-97.869613
TARA_20111211T1945Z_138_EVENT_NET	SV Tara	TARA_20111124Z	TARA_138	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2011-12-11 19:45:00	6.339	-103.0344	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	descending	0.99	day	706	43.679665	37.385136	37.03316498	34.9008	27.108766	4.689e-06	1.494e-06	0.013172547	0.004373185	0.020416232	0.010228701	2.891272922	1.156116234	NA	0.094706096	16.7658	2.127710955	NA	282.98	0.057179101	NA	NA	-3241	10.3	-109.2265	814.9045	0.17526	2.8577e-05	52.020196	1.040314	-0.002795	0.020154	0	NA	NA	120	7.512087	-111.603363
TARA_20111005T0335Z_132_EVENT_NET	SV Tara	TARA_20110928Z	TARA_132	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2011-10-05 03:35:00	31.4794	-159.0901	Westerlies Biome	[NPO] North Pacific Ocean (MRGID:1908)	[NPST] North Pacific Subtropical and Polar Front Provinces (MRGID:21484)	0	1	365	365	autumn	early	ascending	0.64	day	705	43.75104	42.560772	40.56473351	35.067856	25.403023	0.00081438	0.000154743	0.022323498	0.002913114	0.023501203	0.004993377	0.001618445	0.000562096	NA	0.04906499	20.0157	1.612368867	NA	246.522	0.03757428	27.49906445	0.000142552	-5799	23.1347	-161.9	972.222	0.8637	3.707e-06	1.775902	1.168618	0.134524	0.043804	0	NA	NA	120	31.452308	-159.647196
TARA_20110913T2025Z_130_EVENT_NET	SV Tara	TARA_20110826Z	TARA_130	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2011-09-13 20:25:00	11.2521	-152.4543	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	summer	late	descending	0.99	day	733	NA	44.066113	45.3972435	41.702606	27.09496375	3.449e-06	5.42e-07	0.014057302	0.001517847	0.003117688	0.000474014	2.235790908	1.037014935	NA	0.05610661	21.1805	NA	NA	NA	0.039015954	33.00548553	0.000262412	-5251	18.9102	-155.6667	921.0306	0.28245	1.3554e-05	-1.155494	-6.599451	-0.181183	0.100184	1.611111	NA	NA	120	11.448054	-150.6958
TARA_20110913T1833Z_130_EVENT_NET	SV Tara	TARA_20110826Z	TARA_130	Plankton net+sieve, type=Bongo, mesh(µm)=180, mouth(m^2)=0.258319, length(m)=3	2011-09-13 18:33:00	11.2678	-152.3972	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	summer	late	descending	0.99	day	733	NA	44.113148	45.06209183	43.57068	27.34268725	3.449e-06	5.42e-07	0.014057302	0.001517847	0.003117688	0.000474014	2.235790908	1.037014935	NA	0.055543812	36.415	NA	NA	NA	0.040269101	32.77479935	0.000261244	-5158	18.9102	-155.6667	707.2607	0.27148	1.4436e-05	-1.155494	-6.599451	-0.181183	0.100184	1.611111	NA	NA	120	11.448054	-150.6958
TARA_20110911T1956Z_129_EVENT_NET	SV Tara	TARA_20110826Z	TARA_129	Plankton net+sieve, type=single, mesh(µm)=5, mouth(m^2)=0.196349, length(m)=2.5	2011-09-11 19:56:00	6.6433	-153.0842	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	summer	late	ascending	0.99	day	731	NA	45.04286	41.19936752	41.474163	NA	3.426e-06	3.23e-07	0.012012992	0.001064754	0.004823963	0.001246487	3.236661275	0.950530221	NA	0.104173705	34.2754	NA	NA	NA	0.048746748	NA	NA	-5015	2.0333	-157.4635	706.4279	0.19416	9.527e-06	32.9689	10.180917	0.002842	0.045416	1.083333	NA	NA	120	7.506656	-169.679392
TARA_20110911T1824Z_129_EVENT_NET	SV Tara	TARA_20110826Z	TARA_129	Plankton net+sieve, type=Double, mesh(µm)=20, mouth(m^2)=0.192442, length(m)=2.5	2011-09-11 18:24:00	6.6261	-153.07	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	summer	late	ascending	0.99	day	731	NA	45.04286	41.19936752	41.474163	28.12744375	3.426e-06	3.23e-07	0.012012992	0.001064754	0.004823963	0.001246487	3.236661275	0.950530221	NA	0.104173705	35.1904	NA	NA	NA	0.048746748	NA	NA	-4999	2.0333	-157.4635	706.4752	0.183	9.783e-06	32.9689	10.180917	0.002842	0.045416	1.083333	NA	NA	120	7.506656	-169.679392
