SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Depth, top/min"	"Depth, bottom/max"	"Size fraction, lower threshold"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	File name	Distance	Duration	Number of observations	pH	pH_1	pH_2	pH_3	pH_4	Carbon dioxide	Carbon dioxide_1	Carbon dioxide_2	Carbon dioxide_3	Carbon dioxide_4	"Carbon dioxide, partial pressure"	"Carbon dioxide, partial pressure_1"	"Carbon dioxide, partial pressure_2"	"Carbon dioxide, partial pressure_3"	"Carbon dioxide, partial pressure_4"	Fugacity of carbon dioxide in seawater	Fugacity of carbon dioxide in seawater_1	Fugacity of carbon dioxide in seawater_2	Fugacity of carbon dioxide in seawater_3	Fugacity of carbon dioxide in seawater_4	Bicarbonate ion	Bicarbonate ion_1	Bicarbonate ion_2	Bicarbonate ion_3	Bicarbonate ion_4	Carbonate ion	Carbonate ion_1	Carbonate ion_2	Carbonate ion_3	Carbonate ion_4	"Carbon, total"	"Carbon, total_1"	"Carbon, total_2"	"Carbon, total_3"	"Carbon, total_4"	"Alkalinity, total"	"Alkalinity, total_1"	"Alkalinity, total_2"	"Alkalinity, total_3"	"Alkalinity, total_4"	Calcite saturation state	Calcite saturation state_1	Calcite saturation state_2	Calcite saturation state_3	Calcite saturation state_4	Aragonite saturation state	Aragonite saturation state_1	Aragonite saturation state_2	Aragonite saturation state_3	Aragonite saturation state_4
TARA_N000002785	SAMEA2731676	ERS494606	TARA_152	TARA_20120319T0958Z_152_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_152_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120319T0958Z_152_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002785	tara_20120319t0817z_152_event_cast	1.3093	P00DT01H42M	1	8.094865	8.094865	8.094865	8.094865	8.094865	13.598671	13.598671	13.598671	13.598671	13.598671	358.308366	358.308366	358.308366	358.308366	358.308366	357.019421	357.019421	357.019421	357.019421	357.019421	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000002106	SAMEA2732078	ERS494323	TARA_147	TARA_20120218T2123Z_147_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	5	20	TARA_147_SRF_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20120218T2123Z_147_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N5-20_N000002106	tara_20120218t1807z_147_event_cast	7.3638	P00DT03H17M	1	8.112692	8.112692	8.112692	8.112692	8.112692	10.914525	10.914525	10.914525	10.914525	10.914525	342.026908	342.026908	342.026908	342.026908	342.026908	340.883813	340.883813	340.883813	340.883813	340.883813	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_N000003044	SAMEA2732322	ERS493872	TARA_139	TARA_20111215T2007Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_139_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20111215T2007Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000003044	tara_20111215t1423z_139_event_cast	10.0121	P00DT05H46M	1	7.981318	7.981318	7.981318	7.981318	7.981318	12.680073	12.680073	12.680073	12.680073	12.680073	458.240202	458.240202	458.240202	458.240202	458.240202	456.82002	456.82002	456.82002	456.82002	456.82002	0	0	0	0	0	0.0719	0.0719	0.0769	0.0819	0.0819	0.0612	0.0612	0.06825	0.0753	0.0753	0.0245	0.0245	0.02775	0.031	0.031	0.0028	0.0028	0.0028	0.0028	0.0028	0.0081	0.0081	0.00935	0.0106	0.0106
TARA_N000003041	SAMEA2732277	ERS493867	TARA_139	TARA_20111215T1745Z_139_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_139_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111215T1745Z_139_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000003041	tara_20111215t1423z_139_event_cast	6.4786	P00DT03H24M	1	7.981318	7.981318	7.981318	7.981318	7.981318	12.680073	12.680073	12.680073	12.680073	12.680073	458.240202	458.240202	458.240202	458.240202	458.240202	456.82002	456.82002	456.82002	456.82002	456.82002	0	0	0	0	0	0.0719	0.0719	0.0769	0.0819	0.0819	0.0612	0.0612	0.06825	0.0753	0.0753	0.0245	0.0245	0.02775	0.031	0.031	0.0028	0.0028	0.0028	0.0028	0.0028	0.0081	0.0081	0.00935	0.0106	0.0106
TARA_N000003015	SAMEA2732721	ERS493814	TARA_138	TARA_20111211T1945Z_138_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	58	62	20	180	TARA_138_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111211T1945Z_138_EVENT_NET_DCM_(60m)_SEQ-(500mL-or-15min)_N20-180_N000003015	tara_20111210t1401z_138_event_cast	10.091	P01DT05H46M	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0397	0.04165	0.0475	0.0493	0.0499	0.0127	0.012825	0.0132	0.013575	0.0137	0.0029	0.0044	0.0089	0.00995	0.0103	0	0.00045	0.0018	0.003225	0.0037	8.00E-04	0.001275	0.0027	0.003225	0.0034
TARA_N000002406	SAMEA2732910	ERS493358	TARA_132	TARA_20111005T0335Z_132_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	115	113	117	20	180	TARA_132_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20111005T0335Z_132_EVENT_NET_DCM_(115m)_SEQ-(500mL-or-15min)_N20-180_N000002406	tara_20110929t1933z_131_event_cast	975.3508	P05DT08H05M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.0162	0.0224	0.041	0.053975	0.0583	0.0043	0.0057	0.0099	0.0108	0.0111	6.00E-04	0.001825	0.0055	0.006775	0.0072	4.00E-04	0.000525	9.00E-04	0.001275	0.0014	3.00E-04	5.00E-04	0.0011	0.001475	0.0016
TARA_N000002346	SAMEA2732443	ERS493206	TARA_130	TARA_20110913T2025Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	20	180	TARA_130_SRF_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110913T2025Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N20-180_N000002346	tara_20110913t1728z_130_event_cast	9.9393	P00DT03H01M	1	8.051518	8.051518	8.051518	8.051518	8.051518	10.260582	10.260582	10.260582	10.260582	10.260582	384.416287	384.416287	384.416287	384.416287	384.416287	383.242037	383.242037	383.242037	383.242037	383.242037	0	0	0	0	0	0.0032	0.0032	0.0032	0.0032	0.0032	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_N000002347	SAMEA2732442	ERS493205	TARA_130	TARA_20110913T1833Z_130_EVENT_NET	[SRF] surface water layer (ENVO:00010504)	5	3	7	180	2000	TARA_130_SRF_180-2000	SEQ-(500mL-or-15min)_N180-2000	TARA_20110913T1833Z_130_EVENT_NET_SRF_(5m)_SEQ-(500mL-or-15min)_N180-2000_N000002347	tara_20110913t1728z_130_event_cast	3.4845	P00DT01H09M	1	8.051518	8.051518	8.051518	8.051518	8.051518	10.260582	10.260582	10.260582	10.260582	10.260582	384.416287	384.416287	384.416287	384.416287	384.416287	383.242037	383.242037	383.242037	383.242037	383.242037	0	0	0	0	0	0.0032	0.0032	0.0032	0.0032	0.0032	0.0013	0.0013	0.0013	0.0013	0.0013	0	0	0	0	0	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04
TARA_N000002316	SAMEA2732267	ERS493188	TARA_129	TARA_20110911T1956Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	5	20	TARA_129_DCM_5-20	SEQ-(500mL-or-15min)_N5-20	TARA_20110911T1956Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N5-20_N000002316	tara_20110913t1728z_130_event_cast	520.5393	P01DT21H28M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.015	0.015	0.015	0.015	0.015	0.004	0.004	0.004	0.004	0.004	0.0025	0.0025	0.0025	0.0025	0.0025	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04
TARA_N000002320	SAMEA2732208	ERS493184	TARA_129	TARA_20110911T1824Z_129_EVENT_NET	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	80	78	82	20	180	TARA_129_DCM_20-180	SEQ-(500mL-or-15min)_N20-180	TARA_20110911T1824Z_129_EVENT_NET_DCM_(80m)_SEQ-(500mL-or-15min)_N20-180_N000002320	tara_20110913t1728z_130_event_cast	522.1959	P01DT23H00M	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	0	0	0.015	0.015	0.015	0.015	0.015	0.004	0.004	0.004	0.004	0.004	0.0025	0.0025	0.0025	0.0025	0.0025	5.00E-04	5.00E-04	5.00E-04	5.00E-04	5.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04	7.00E-04
