parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
Event Label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Campaign	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Basis									https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Station	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Device	specimen collection device	http://purl.obolibrary.org/obo/PMO_00000074	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
URI									https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Comment	comment on investigation	http://purl.obolibrary.org/obo/OBI_0001898	FALSE						https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
File name									https://doi.pangaea.de/10.1594/PANGAEA.836319	string	
Date/Time	specimen collection time measurement datum	http://purl.obolibrary.org/obo/OBI_0001619	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.836319	datetime	
Latitude	latitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001620	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Longitude	longitude coordinate measurement datum	http://purl.obolibrary.org/obo/OBI_0001621	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Depth water 	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Bottle									https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Press 	pressure of water	http://purl.obolibrary.org/obo/ENVO_3100033	TRUE	decibar	http://purl.obolibrary.org/obo/PMO_00000034				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Temp 	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	TRUE	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Cond 	conductivity of water	http://purl.obolibrary.org/obo/ENVO_09200018	TRUE	milisiemens per centimeter	http://purl.obolibrary.org/obo/PMO_00000130				https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
Sal	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE						https://doi.pangaea.de/10.1594/PANGAEA.836319	number	
