parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
Event Label									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Campaign									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Basis									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Station									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Device									https://doi.pangaea.de/10.1594/PANGAEA.836319	
URI									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Comment									https://doi.pangaea.de/10.1594/PANGAEA.836319	
File name									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Date/Time									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Latitude									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Longitude									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Depth water 				m					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Bottle									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Press 				dbar					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Temp 				°C					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Cond 				mS/cm					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Sal									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Tpot 				°C					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Sigma-theta 				kg/m**3					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chl c3 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chl c1+c2 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chlide a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Perid 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Phaeopho a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
But-fuco 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Fuco 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Neo 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Pras 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Viola 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Hex-fuco 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Diadino 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Allo 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Diato 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Zea 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Lut 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
BChl a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
DV chl b 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chl b 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chl b+DV chl b 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
DV chl a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Chl a 				mg/m**3					https://doi.pangaea.de/10.1594/PANGAEA.836319	
TChl a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Phaeophytin a 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Carotene 				µg/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
NO2- 				µmol/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Flag # (NO2)									https://doi.pangaea.de/10.1594/PANGAEA.836319	
PO4 3- 				µmol/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Flag # (PO4)									https://doi.pangaea.de/10.1594/PANGAEA.836319	
NO3- and NO2-				µmol/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Flag # (NO2+NO3)									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Si(OH)4 				µmol/l					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Flag # (Silicate)									https://doi.pangaea.de/10.1594/PANGAEA.836319	
