parameter	rdf type purl label	rdf type purl	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format	COMMENT
SampleID_Tara	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_barcode#
SampleID_NCBI								https://doi.pangaea.de/10.1594/PANGAEA.875582	string		BioSamples accession number (SAMEA#)
SampleID_SRA	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		ENA sample accession number (ERS#)
Station label	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_station#
Event label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_event-datetime_station#_event-type
Environmental feature								https://doi.pangaea.de/10.1594/PANGAEA.875582	string		"[abbreviation], full name (ENVO:ID) from which this sample was collected"
"Depth, nominal"	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	meter	http://purl.obolibrary.org/obo/UO_0000008				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		from which this sample was collected
"Size fraction, lower threshold"	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		used on board to prepare samples
"Size fraction, upper threshold"	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://doi.pangaea.de/10.1594/PANGAEA.875582	number		used on board to prepare samples
Sample material	material sample role	http://purl.obolibrary.org/obo/OBI_0000740						https://doi.pangaea.de/10.1594/PANGAEA.875582	string		TARA_station#_environmental-feature_size-fraction
