parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type	frictionless format
SampleID_Tara	centrally registered identifier	http://purl.obolibrary.org/obo/IAO_0000578	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
BioSample	Biosample identifier assigned by the National Center for Biotechnology Information	http://purl.obolibrary.org/obo/PMO_00000122	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Chlorophyll Sensor	concentration of chlorophyll in water	http://purl.obolibrary.org/obo/ENVO_3100036	TRUE	miligram per cubic meter	http://purl.obolibrary.org/obo/PMO_00000132				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Depth	depth of water	http://purl.obolibrary.org/obo/ENVO_3100031	TRUE	meter	http://purl.obolibrary.org/obo/UO_0000008				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Description	comment on investigation	http://purl.obolibrary.org/obo/OBI_0001898	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
ENA checklist									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Environment (Biome)			FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Environment (Feature)			FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Environment (Material)			FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Environmental Package									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Event Date/Time End	specimen collection time measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000009	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/213098	datetime	%Y-%m-%dT%H:%M
Event Date/Time Start	specimen collection time measurement datum start	http://purl.obolibrary.org/obo/PMO_00000008	TRUE	time unit	http://purl.obolibrary.org/obo/UO_0000003				https://www.ncbi.nlm.nih.gov/bioproject/213098	datetime	%Y-%m-%dT%H:%M
Event Label	centrally registered specimen collection event identifier	http://purl.obolibrary.org/obo/PMO_00000056	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
INSDC center alias									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
INSDC center name									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
INSDC first public									https://www.ncbi.nlm.nih.gov/bioproject/213098	datetime	default
INSDC last update									https://www.ncbi.nlm.nih.gov/bioproject/213098	datetime	default
INSDC status									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Last Update Date									https://www.ncbi.nlm.nih.gov/bioproject/213098		
Latitude End	latitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000079	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Latitude Start	latitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000076	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Longitude End	longitude coordinate measurement datum stop	http://purl.obolibrary.org/obo/PMO_00000078	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Longitude Start	longitude coordinate measurement datum start	http://purl.obolibrary.org/obo/PMO_00000077	TRUE	degree	http://purl.obolibrary.org/obo/UO_0000185				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Marine Region									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Nitrate Sensor	concentration of nitrate in water	http://purl.obolibrary.org/obo/ENVO_3100022	TRUE	micromole per litre	http://purl.obolibrary.org/obo/UO_0010003				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Oxygen Sensor	concentration of oxygen in water	http://purl.obolibrary.org/obo/ENVO_09200021	TRUE	micromole per kilogram	http://purl.obolibrary.org/obo/UO_0010004				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Project Name	project investigation identifier	http://purl.obolibrary.org/obo/PMO_00000007	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Protocol Label	protocol	http://purl.obolibrary.org/obo/OBI_0000272	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
SRA accession	SRA accession number	http://purl.obolibrary.org/obo/PMO_00000123	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Salinity Sensor	liquid water salinity	http://purl.obolibrary.org/obo/PMO_00000014	TRUE	practical salinity unit	http://purl.obolibrary.org/obo/PMO_00000037				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Sample Collection Device	specimen collection device	http://purl.obolibrary.org/obo/PMO_00000074	TRUE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Sample Name									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Sampling Campaign	sampling expedition identifier	http://purl.obolibrary.org/obo/PMO_00000060	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Sampling Platform									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Sampling Station	specimen collection process site	http://purl.obolibrary.org/obo/pmo.owl/PMO_00000149	FALSE						https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
Size Fraction Lower Threshold	aquatic sample minimum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000022	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Size Fraction Upper Threshold	aquatic sample maximum filter fractionation size threshold	http://purl.obolibrary.org/obo/PMO_00000023	TRUE	micrometer	http://purl.obolibrary.org/obo/UO_0000017				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Temperature	temperature of water	http://purl.obolibrary.org/obo/ENVO_09200014	TRUE	degree Celsius	http://purl.obolibrary.org/obo/UO_0000027				https://www.ncbi.nlm.nih.gov/bioproject/213098	number	
Title									https://www.ncbi.nlm.nih.gov/bioproject/213098	string	
purl_biome	biome	http://purl.obolibrary.org/obo/ENVO_00000428	TRUE								
purl_feature	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE								
purl_feature2	environmental feature	http://purl.obolibrary.org/obo/ENVO_00002297	TRUE								
purl_material	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE								
purl_material2	environmental material	http://purl.obolibrary.org/obo/ENVO_00010483	TRUE								
