Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20120319T0958Z_152_EVENT_NET	3/19/12 9:58	3/19/12 10:50	43.686	43.688	-16.847	-16.852	TARA_20120314Z	TARA_152	net	Tara Oceans
TARA_20120218T2123Z_147_EVENT_NET	2/18/12 21:23	2/18/12 21:52	32.97	32.96	-66.555	-66.552	TARA_20120212Z	TARA_147	net	Tara Oceans
TARA_20111215T2007Z_139_EVENT_NET	12/15/11 20:07	12/15/11 20:23	6.495	6.496	-95.046	-95.05	TARA_20111124Z	TARA_139	net	Tara Oceans
TARA_20111215T1745Z_139_EVENT_NET	12/15/11 17:45	12/15/11 17:56	6.48	6.481	-95.015	-95.018	TARA_20111124Z	TARA_139	net	Tara Oceans
TARA_20111211T1945Z_138_EVENT_NET	12/11/11 19:45	12/11/11 20:28	6.339	6.354	-103.034	-103.052	TARA_20111124Z	TARA_138	net	Tara Oceans
TARA_20111005T0335Z_132_EVENT_NET	10/5/11 3:35	10/5/11 4:02	31.479	31.473	-159.09	-159.097	TARA_20110928Z	TARA_132	net	Tara Oceans
TARA_20110913T2025Z_130_EVENT_NET	9/13/11 20:25	9/13/11 20:43	11.252	11.248	-152.454	-152.465	TARA_20110826Z	TARA_130	net	Tara Oceans
TARA_20110913T1833Z_130_EVENT_NET	9/13/11 18:33	9/13/11 18:44	11.268	11.266	-152.397	-152.404	TARA_20110826Z	TARA_130	net	Tara Oceans
TARA_20110911T1956Z_129_EVENT_NET	9/11/11 19:56	9/11/11 20:42	6.643	6.651	-153.084	-153.089	TARA_20110826Z	TARA_129	net	Tara Oceans
TARA_20110911T1824Z_129_EVENT_NET	9/11/11 18:24	9/11/11 19:05	6.626	6.634	-153.07	-153.076	TARA_20110826Z	TARA_129	net	Tara Oceans
TARA_20110911T0026Z_129_EVENT_NET	9/11/11 0:26	9/11/11 0:50	6.838	6.846	-153.106	-153.107	TARA_20110826Z	TARA_129	net	Tara Oceans
