SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	Depth, nominal	Depth, top/min	Depth, bottom/max	Size fraction, lower threshold	Size fraction, upper threshold	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_Y100000589	SAMEA2622843	ERS492932	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	138	142	0.45	0.8	TARA_125_MIX_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(dry)_W0.45-0.8_Y100000589	7.41	P00DT19H48M	tara_20110808t2118z_125_event_cast	2	0.0014	0.0014	0.00145	0.0015	0.0015	8.00E-04	8.00E-04	9.00E-04	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0023	0.0025	0.0027	0.0027	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.0038	0.00415	0.0045	0.0045	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0042	0.00425	0.0043	0.0043	0.0042	0.0042	0.00425	0.0043	0.0043	0	0	0	0	0	0.0113	0.0113	0.0114	0.0115	0.0115	0.0113	0.0113	0.0114	0.0115	0.0115	0	0	0	0	0	0	0	0	0	0
TARA_Y100000591	SAMEA2622842	ERS492931	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	138	142	0.22	0.45	TARA_125_MIX_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(dry)_W0.22-0.45_Y100000591	7.41	P00DT19H48M	tara_20110808t2118z_125_event_cast	2	0.0014	0.0014	0.00145	0.0015	0.0015	8.00E-04	8.00E-04	9.00E-04	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0023	0.0025	0.0027	0.0027	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.0038	0.00415	0.0045	0.0045	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0042	0.00425	0.0043	0.0043	0.0042	0.0042	0.00425	0.0043	0.0043	0	0	0	0	0	0.0113	0.0113	0.0114	0.0115	0.0115	0.0113	0.0113	0.0114	0.0115	0.0115	0	0	0	0	0	0	0	0	0	0
TARA_Y100000593	SAMEA2622841	ERS492930	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	138	142	0.1	0.22	TARA_125_MIX_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(dry)_W0.1-0.22_Y100000593	7.41	P00DT19H48M	tara_20110808t2118z_125_event_cast	2	0.0014	0.0014	0.00145	0.0015	0.0015	8.00E-04	8.00E-04	9.00E-04	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0023	0.0025	0.0027	0.0027	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.0038	0.00415	0.0045	0.0045	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0042	0.00425	0.0043	0.0043	0.0042	0.0042	0.00425	0.0043	0.0043	0	0	0	0	0	0.0113	0.0113	0.0114	0.0115	0.0115	0.0113	0.0113	0.0114	0.0115	0.0115	0	0	0	0	0	0	0	0	0	0
TARA_Y100000588	SAMEA2622823	ERS492894	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_125_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100000588	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_Y100000590	SAMEA2622822	ERS492893	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.22	0.45	TARA_125_SRF_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.22-0.45_Y100000590	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_Y100000592	SAMEA2622821	ERS492892	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.1	0.22	TARA_125_SRF_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.1-0.22_Y100000592	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_Y100001934	SAMEA2622801	ERS492868	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	118	122	0.45	0.8	TARA_124_MIX_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(dry)_W0.45-0.8_Y100001934	2.7261	P00DT02H58M	"tara_20110805t1435z_124_event_cast,tara_20110805t2104z_124_event_cast,tara_20110805t0938z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110805t0045z_124_event_cast"	2	0.0101	0.0101	0.01025	0.0104	0.0104	0.0098	0.0098	0.00995	0.0101	0.0101	0	0	0	0	0	0.0021	0.0021	0.00215	0.0022	0.0022	0	0	0	0	0	0.0093	0.0093	0.00975	0.0102	0.0102	0.0018	0.0018	0.00185	0.0019	0.0019	0.0055	0.0055	0.00585	0.0062	0.0062	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011	0.0182	0.0182	0.01915	0.0201	0.0201	0.0016	0.0016	0.00165	0.0017	0.0017	0	0	0	0	0	0	0	0	0	0	0.0175	0.0175	0.0175	0.0175	0.0175	0	0	0	0	0	6.00E-04	6.00E-04	0.00065	7.00E-04	7.00E-04	0	0	0	0	0	0.0553	0.0553	0.05755	0.0598	0.0598	0.0553	0.0553	0.05755	0.0598	0.0598	0.0607	0.0607	0.06115	0.0616	0.0616	0.0657	0.0657	0.069	0.0723	0.0723	0.1273	0.1273	0.13015	0.133	0.133	0	0	0	0	0	0.0149	0.0149	0.01515	0.0154	0.0154
TARA_Y100001936	SAMEA2622800	ERS492867	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	118	122	0.22	0.45	TARA_124_MIX_0.22-0.45	SEQ-(dry)_W0.22-0.45	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(dry)_W0.22-0.45_Y100001936	2.7261	P00DT02H58M	"tara_20110805t1435z_124_event_cast,tara_20110805t2104z_124_event_cast,tara_20110805t0938z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110805t0045z_124_event_cast"	2	0.0101	0.0101	0.01025	0.0104	0.0104	0.0098	0.0098	0.00995	0.0101	0.0101	0	0	0	0	0	0.0021	0.0021	0.00215	0.0022	0.0022	0	0	0	0	0	0.0093	0.0093	0.00975	0.0102	0.0102	0.0018	0.0018	0.00185	0.0019	0.0019	0.0055	0.0055	0.00585	0.0062	0.0062	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011	0.0182	0.0182	0.01915	0.0201	0.0201	0.0016	0.0016	0.00165	0.0017	0.0017	0	0	0	0	0	0	0	0	0	0	0.0175	0.0175	0.0175	0.0175	0.0175	0	0	0	0	0	6.00E-04	6.00E-04	0.00065	7.00E-04	7.00E-04	0	0	0	0	0	0.0553	0.0553	0.05755	0.0598	0.0598	0.0553	0.0553	0.05755	0.0598	0.0598	0.0607	0.0607	0.06115	0.0616	0.0616	0.0657	0.0657	0.069	0.0723	0.0723	0.1273	0.1273	0.13015	0.133	0.133	0	0	0	0	0	0.0149	0.0149	0.01515	0.0154	0.0154
TARA_Y100001938	SAMEA2622799	ERS492866	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	118	122	0.1	0.22	TARA_124_MIX_0.1-0.22	SEQ-(dry)_W0.1-0.22	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(dry)_W0.1-0.22_Y100001938	2.7261	P00DT02H58M	"tara_20110805t1435z_124_event_cast,tara_20110805t2104z_124_event_cast,tara_20110805t0938z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110805t0045z_124_event_cast"	2	0.0101	0.0101	0.01025	0.0104	0.0104	0.0098	0.0098	0.00995	0.0101	0.0101	0	0	0	0	0	0.0021	0.0021	0.00215	0.0022	0.0022	0	0	0	0	0	0.0093	0.0093	0.00975	0.0102	0.0102	0.0018	0.0018	0.00185	0.0019	0.0019	0.0055	0.0055	0.00585	0.0062	0.0062	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011	0.0182	0.0182	0.01915	0.0201	0.0201	0.0016	0.0016	0.00165	0.0017	0.0017	0	0	0	0	0	0	0	0	0	0	0.0175	0.0175	0.0175	0.0175	0.0175	0	0	0	0	0	6.00E-04	6.00E-04	0.00065	7.00E-04	7.00E-04	0	0	0	0	0	0.0553	0.0553	0.05755	0.0598	0.0598	0.0553	0.0553	0.05755	0.0598	0.0598	0.0607	0.0607	0.06115	0.0616	0.0616	0.0657	0.0657	0.069	0.0723	0.0723	0.1273	0.1273	0.13015	0.133	0.133	0	0	0	0	0	0.0149	0.0149	0.01515	0.0154	0.0154
TARA_Y100001933	SAMEA2622765	ERS492820	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	3	7	0.45	0.8	TARA_124_SRF_0.45-0.8	SEQ-(dry)_W0.45-0.8	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(dry)_W0.45-0.8_Y100001933	3.5601	P00DT06H10M	"tara_20110805t0045z_124_event_cast,tara_20110804t0932z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110804t0551z_124_event_cast,tara_20110805t0938z_124_event_cast"	6	0.01684	0.01684	0.01686	0.01688	0.01688	0.02654	0.02654	0.02655	0.02656	0.02656	0.00022	0.00022	0.00023	0.00024	0.00024	0.00744	0.00744	0.00746	0.00748	0.00748	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044	0.06844	0.06844	0.06849	0.06854	0.06854	0.00602	0.00602	0.00603	0.00604	0.00604	0.00312	0.00312	0.00312	0.00312	0.00312	0.00058	0.00058	0.00059	6.00E-04	6.00E-04	0.10178	0.10178	0.10181	0.10184	0.10184	0.00634	0.00634	0.00638	0.00642	0.00642	0.00144	0.00144	0.00145	0.00146	0.00146	0	0	0	0	0	0.06236	0.06236	0.06239	0.06242	0.06242	0.06236	0.06236	0.06239	0.06242	0.06242	0.07652	0.07652	0.07657	0.07662	0.07662	0.28824	0.28824	0.28826	0.28828	0.28828	0.36502	0.36502	0.36506	0.3651	0.3651	0.00498	0.00498	0.00501	0.00504	0.00504	0.02398	0.02398	0.02398	0.02398	0.02398
