Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20110809T1708Z_125_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_125	Rosette Vertical Sampling System	8/9/11 17:05	-8.8999	-142.5461	NA	0.043154	0.046188	0.04434233	0.063252725	0.001139832	0.014656801	0.097568808	0.080671031	25	68.79855347	88	48	58	101	102	26	111	29	242	211	26.7493	26.7611	26.7629	26.7615	26.6885	26.7485	25.6883	26.7552	15.9309	18.3304	35.603	35.6028	35.6028	35.6093	35.6505	35.6033	36.2964	35.6029	35.2903	35.5951	23.1282	23.1271	23.1272	23.1357	23.1898	23.1298	23.9897	23.1276	25.8723	25.5313	4.60E-08	2.75E-07	1.50E-08	0.00029144	0.0009467	1.24E-07	0.00076595	1.24E-07	7.80E-05	2.47E-05	0.28338	0.32706	0.32296	0.33537	0.30999	0.33537	0.11119	0.33745	0.017022	0.040949	186.0622	186.514	186.4348	168.321	165.205	186.766	152.8709	187.0894	99.4785	136.1141	5.4817	5.7119	5.9167	5.5406	5.5749	5.8695	6.1324	5.6662	13.9545	7.454
TARA_20110808T1733Z_125_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_125	High Volume Peristaltic Pump	8/8/11 17:33	-8.9111	-142.5571	NA	0.0438	0.04482	0.04434233	0.063252725	0.001139832	0.014656801	0.095454169	0.078675804	25	68.79855347	88	49	60	109	109	40	119	14	274	281	26.7815	26.787	26.7897	26.7572	26.7572	26.7859	25.5457	26.7821	12.3808	11.8365	35.5953	35.5951	35.5955	35.6073	35.6073	35.595	36.3446	35.5957	34.9907	34.9618	23.1121	23.1132	23.1134	23.1361	23.1361	23.1127	24.0708	23.1125	26.3913	26.473	1.52E-07	3.94E-07	9.80E-08	0.00062157	0.00062157	7.20E-08	0.00018616	2.95E-07	4.11E-05	7.86E-05	0.24256	0.31035	0.30197	0.22713	0.22713	0.31963	0.092227	0.24358	0.0084804	0.035486	187.2433	186.9323	186.488	169.8814	169.8814	187.1601	154.1037	187.1248	39.991	39.8045	4.5325	5.7666	4.6254	4.7106	4.7106	4.5612	4.4757	5.1469	22.5946	24.5324
TARA_20110805T1733Z_124_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_124	Rosette Vertical Sampling System	8/5/11 17:31	-9.0714	-140.5973	NA	0.056918	0.058308	0.052541982	0.077926952	0.001341622	0.021246152	0.114448354	0.096709323	NA	58.8567009	NA	40	47	97	101	28	111	13	193	145	26.5074	26.5147	26.5174	26.4643	26.4041	26.5125	25.7488	26.5092	17.3258	23.6138	35.5466	35.5468	35.547	35.5572	35.5653	35.5466	35.758	35.5466	35.4542	36.1801	23.1627	23.1628	23.1625	23.1905	23.2159	23.1624	23.5665	23.1624	25.6692	24.5324	5.55E-07	6.60E-08	1.02E-07	8.80E-05	0.00022812	1.01E-07	0.00025125	1.66E-07	0.00012687	0.00034542	0.28247	0.32296	0.32296	0.25929	0.19743	0.34759	0.11119	0.28247	0	0.084573	189.3941	189.0557	189.0592	184.0638	177.9222	189.4101	175.2352	189.3382	124.4768	166.1725	5.6943	5.8942	5.8997	6.1873	6.2517	5.1125	6.2958	5.7468	10.4784	1.8078
TARA_20110804T1833Z_124_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_124	High Volume Peristaltic Pump	8/4/11 18:33	-9.1504	-140.5216	0.04136	0.044662	0.051619	0.052171255	0.074618559	0.00127379	0.020546722	0.105490581	0.088174025	NA	59.55422974	NA	44	53	90	103	34	113	13	286	241	26.5203	26.5408	26.5409	26.4879	26.3646	26.5393	25.0459	26.5197	11.3074	13.8838	35.5518	35.5679	35.568	35.5667	35.63	35.568	36.1675	35.5523	34.9401	35.1239	23.1625	23.1706	23.1713	23.1897	23.2771	23.1703	24.091	23.1633	26.5544	26.1907	2.30E-06	6.40E-08	1.14E-07	3.51E-05	0.00074389	1.60E-06	0.00032219	6.80E-07	1.70E-05	0.00050925	0.28338	0.38666	0.38295	0.35965	0.25939	0.39506	0.17777	0.29911	0.037303	0.021627	190.6959	189.2467	189.1814	187.0493	175.0383	188.7314	177.157	191.0199	41.7232	68.0779	4.8786	6.2336	5.5697	5.1834	5.858	5.5952	2.2009	5.623	25.2908	17.4727
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_123	Rosette Vertical Sampling System	8/1/11 17:52	-8.9109	-140.2845	NA	0.057583	0.053255	0.055980301	0.081450351	0.001148263	0.025131152	0.107752136	0.090323999	11	55.65633774	47	43	52	95	107	36	234	13	237	236	26.5445	26.5456	26.5478	26.5183	26.3918	26.5438	15.3949	26.5443	14.699	14.7398	35.5173	35.5173	35.5174	35.5277	35.567	35.5173	35.2658	35.5171	35.1696	35.1834	23.129	23.1311	23.1311	23.1512	23.2215	23.1311	25.9739	23.1291	26.0529	26.0546	8.36E-07	6.90E-08	1.29E-07	0.00013299	0.00016109	7.28E-07	0.00048161	4.39E-07	3.42E-05	0.00013522	0.2293	0.29332	0.27904	0.21249	0.14241	0.29283	0	0.24256	0	0	188.4045	188.5419	188.3853	184.4576	180.1295	188.1449	85.024	189.2821	84.2706	84.6847	5.4729	4.7492	5.3628	5.2529	5.1048	5.0746	13.8438	5.5328	16.8937	15.754
TARA_20110731T1720Z_123_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_123	High Volume Peristaltic Pump	7/31/11 17:20	-8.9068	-140.283	NA	0.057583	0.053255	0.055980301	0.081450351	0.001148263	0.025131152	0.107752136	0.090323999	11	55.65633774	47	43	52	116	122	14	134	14	606	278	26.5812	26.5907	26.5923	26.5978	26.4258	26.5829	24.5531	26.5829	6.778	11.5141	35.5266	35.5264	35.5263	35.5588	35.6411	35.5264	35.8868	35.5264	34.7354	34.9547	23.1243	23.1236	23.1237	23.1509	23.2675	23.1239	24.0307	23.1239	27.121	26.5276	3.38E-07	7.60E-08	1.93E-07	4.87E-05	0.00018987	2.66E-07	0.001313	2.66E-07	2.01E-05	0.00012287	0.32919	0.29759	0.28994	0.19974	0.11725	0.32919	0.048264	0.32919	0.012897	0.018615	189.8917	189.3663	189.3874	180.551	171.8495	189.7014	164.9033	189.7014	33.7678	39.9216	3.3176	3.5212	3.2984	4.0815	5.216	3.6703	5.9312	3.6703	41.4453	24.9079
TARA_20110728T1718Z_122_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_122	Rosette Vertical Sampling System	7/28/11 17:15	-9.0063	-139.1394	NA	0.03006	0.032831	0.037913507	0.053602867	0.00105553	0.012070209	0.07369375	0.058338883	18	80.53520584	69	63	80	99	101	102	109	15	186	131	26.5343	26.544	26.5467	26.5336	26.3889	26.3167	25.6767	26.5348	19.3674	23.2668	35.5608	35.5609	35.5614	35.5872	35.7852	35.8723	36.1356	35.5608	35.7162	36.2714	23.1648	23.1657	23.1665	23.1913	23.3857	23.4739	23.8724	23.165	25.3588	24.7022	3.44E-07	7.90E-08	3.50E-08	0.00095262	0.00070315	NA	0.0005737	7.34E-07	5.99E-05	6.38E-05	0.18015	0.26193	0.27006	0.28618	0.294	0.32492	0.33335	0.20434	0	0.16578	187.3881	186.8941	187.3297	182.2839	180.056	179.8899	177.8726	187.3879	151.4741	166.9458	7.1891	7.1853	7.9849	6.8449	6.5466	6.3523	4.1925	7.7511	7.5119	2.4917
TARA_20110727T1932Z_122_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_122	Rosette Vertical Sampling System	7/27/11 19:28	-8.9729	-139.2393	0.03152	0.03178	0.033749	0.034956332	0.050723476	0.000912053	0.01086582	0.075640321	0.060143712	18	89.1138649	68	61	77	97	98	103	107	13	255	209	26.5537	26.5538	26.5509	26.5243	26.4442	25.2866	25.0968	26.5603	12.1548	15.4005	35.5378	35.5377	35.5379	35.5515	35.5901	36.0422	36.0984	35.5383	34.9528	35.2196	23.1414	23.1451	23.1473	23.1673	23.2216	23.9223	24.0231	23.1399	26.405	25.9364	4.11E-06	NA	6.90E-07	0.00073406	0.0012229	0.0004275	0.00012163	1.26E-05	9.12E-05	0.00028475	0.11119	0.26114	0.27006	0.27006	0.27605	0.32296	0.33113	0.11119	0	0	187.0797	186.3134	186.6699	179.9822	177.8015	178.8272	178.7741	186.7079	20.8023	102.7716	5.5676	5.9469	5.6063	5.562	6.2263	4.9614	2.7596	5.4865	24.8434	12.6505
TARA_20110726T1710Z_122_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_122	High Volume Peristaltic Pump	7/26/11 17:10	-8.9971	-139.1963	NA	0.03178	0.033749	0.035394322	0.051467219	0.00101275	0.010427465	0.075640321	0.060143712	18	86.64393616	68	61	77	101	102	106	112	14	252	235	26.5452	26.5533	26.5565	26.5511	26.4762	25.1922	25.0984	26.5441	12.1217	12.8292	35.5333	35.5338	35.5342	35.5388	35.5711	36.0896	36.1359	35.5335	34.9499	34.9821	23.1407	23.1423	23.1427	23.1496	23.1976	23.9871	24.0511	23.1415	26.409	26.2957	4.94E-07	6.80E-08	1.60E-07	0.00024634	0.0020956	0.00032125	0.00021004	3.13E-07	6.80E-05	0.00013267	0.18188	0.28338	0.29645	0.28055	0.28338	0.32296	0.33086	0.21249	0.028388	0.019938	185.4451	186.1462	185.6723	178.5309	175.7375	178.8877	178.8873	185.727	20.5904	35.5848	4.5865	3.4989	4.6107	4.4112	4.1402	2.0998	0.5247	3.891	24.4002	19.3701
TARA_20101105T1235Z_078_Combined-EVENTS_CAST	SV Tara	TARA_20101031Z	TARA_078	Rosette Vertical Sampling System	11/5/10 12:33	-30.1471	-43.2915	NA	0.03344	0.027755	0.031519637	0.047934545	0.001061713	0.008657919	0.061574944	0.047162121	25	98.52754211	92	80	104	12	11	105	7	885	1116	1115	20.8912	19.7092	19.3752	20.6543	20.7362	19.3752	21.0804	4.7421	3.5993	3.5983	36.6903	36.4827	36.4519	36.6476	36.669	36.4519	36.7233	34.4518	34.5256	34.5249	25.6838	25.847	25.9121	25.716	25.7099	25.9121	25.6567	27.1501	27.3288	27.3282	0.00020497	1.21E-05	1.32E-05	0.00011113	0.00015795	1.32E-05	8.83E-05	2.47E-06	9.47E-06	6.03E-06	0.066985	0.1299	0.31312	0.066985	0.066985	0.31312	NA	0.040949	0.0099104	0.040949	215.32	220.6558	216.5441	216.7099	216.3071	216.5441	214.3305	222.7055	196.1604	196.3504	1.5026	0.66272	1.5041	1.5111	0.85328	1.5041	1.016	30.0899	35.1925	34.5502
