campaign_expedition	expedition_url	campaign_name	start_date	end_date	start_location	end_location	URL file	URL PANGAEA	URL ENA
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20110726Z	7/26/11	8/16/11	Taiohae harbour	Papeete	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20110726Z_report.pdf	https://www.pangaea.de/?q=TARA_20110726Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101031Z	10/31/10	11/12/10	Rio de Janiero	Buenos Aires	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101031Z_report.pdf	https://www.pangaea.de/?q=TARA_20101031Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20101003Z	10/3/10	10/22/10	Ascencion	Rio de Janiero	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20101003Z_report.pdf	https://www.pangaea.de/?q=TARA_20101003Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100905Z	9/5/10	9/29/10	CapeTown	Ascencion	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100905Z_report.pdf	https://www.pangaea.de/?q=TARA_20100905Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100624Z	6/24/10	7/16/10	Mamoudzou	CapeTown	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100624Z_report.pdf	https://www.pangaea.de/?q=TARA_20100624Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100410Z	4/10/10	4/23/10	Maldives	StBrandon	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100410Z_report.pdf	https://www.pangaea.de/?q=TARA_20100410Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100327Z	3/27/10	4/6/10	Mumbai	Maldives	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100327Z_report.pdf	https://www.pangaea.de/?q=TARA_20100327Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100309Z	3/9/10	3/22/10	Muscat	Mumbai	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100309Z_report.pdf	https://www.pangaea.de/?q=TARA_20100309Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20100108Z	1/8/10	1/14/10	SharmElSheikh	Jeddah	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20100108Z_report.pdf	https://www.pangaea.de/?q=TARA_20100108Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090926Z	9/26/09	10/2/09	Algiers	Barcelona	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090926Z_report.pdf	https://www.pangaea.de/?q=TARA_20090926Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090919Z	9/19/09	9/25/09	Tangier	Algiers	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090919Z_report.pdf	https://www.pangaea.de/?q=TARA_20090919Z	https://www.ebi.ac.uk/services/tara-oceans-data
Tara Oceans	https://oceans.taraexpeditions.org/en/	TARA_20090913Z	9/13/09	9/17/09	Lisbon	Tangier	http://store.pangaea.de/Projects/TARA-OCEANS/Campaign_Reports/TARA_20090913Z_report.pdf	https://www.pangaea.de/?q=TARA_20090913Z	https://www.ebi.ac.uk/services/tara-oceans-data
