Alias	BioSample	Chlorophyll Sensor	Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Lower Threshold	Size Fraction Upper Threshold	Temperature	Title
TARA_Y100000589	SAMEA2622843	0.020173	140	"This sample (TARA_Y100000589) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.8999, longitudeE=-142.5461) on date/time=2011-08-09T17:05:33, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 140-140 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-09T21:37	2011-08-09T17:05:33	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:06Z	public	2014-05-01Z	-8.9103	-8.8999	-142.5767	-142.5461	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.67243	160.4895	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492932	36.272675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492932	TARA_20110726Z	SV Tara	TARA_125	0.45	0.8	23.706525	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100000589
TARA_Y100000591	SAMEA2622842	0.020173	140	"This sample (TARA_Y100000591) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.8999, longitudeE=-142.5461) on date/time=2011-08-09T17:05:33, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 140-140 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-09T21:37	2011-08-09T17:05:33	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:04Z	public	2014-05-01Z	-8.9103	-8.8999	-142.5767	-142.5461	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.67243	160.4895	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492931	36.272675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492931	TARA_20110726Z	SV Tara	TARA_125	0.22	0.45	23.706525	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100000591
TARA_Y100000593	SAMEA2622841	0.020173	140	"This sample (TARA_Y100000593) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.8999, longitudeE=-142.5461) on date/time=2011-08-09T17:05:33, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 140-140 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-09T21:37	2011-08-09T17:05:33	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:04Z	public	2014-05-01Z	-8.9103	-8.8999	-142.5767	-142.5461	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	3.67243	160.4895	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492930	36.272675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492930	TARA_20110726Z	SV Tara	TARA_125	0.1	0.22	23.706525	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100000593
TARA_Y100000588	SAMEA2622823	0.233673	5	"This sample (TARA_Y100000588) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.9111, longitudeE=-142.5571) on date/time=2011-08-08T17:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-08T19:54	2011-08-08T17:33	TARA_20110808T1733Z_125_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:52Z	public	2014-05-01Z	-8.895	-8.9111	-142.6228	-142.5571	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.985942	187.302833	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492894	35.427733	PUMP (High Volume Peristaltic Pump)	ERS492894	TARA_20110726Z	SV Tara	TARA_125	0.45	0.8	26.780158	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100000588
TARA_Y100000590	SAMEA2622822	0.233673	5	"This sample (TARA_Y100000590) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.9111, longitudeE=-142.5571) on date/time=2011-08-08T17:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-08T19:54	2011-08-08T17:33	TARA_20110808T1733Z_125_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:52Z	public	2014-05-01Z	-8.895	-8.9111	-142.6228	-142.5571	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.985942	187.302833	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492893	35.427733	PUMP (High Volume Peristaltic Pump)	ERS492893	TARA_20110726Z	SV Tara	TARA_125	0.22	0.45	26.780158	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100000590
TARA_Y100000592	SAMEA2622821	0.233673	5	"This sample (TARA_Y100000592) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.9111, longitudeE=-142.5571) on date/time=2011-08-08T17:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-08T19:54	2011-08-08T17:33	TARA_20110808T1733Z_125_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:52Z	public	2014-05-01Z	-8.895	-8.9111	-142.6228	-142.5571	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.985942	187.302833	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492892	35.427733	PUMP (High Volume Peristaltic Pump)	ERS492892	TARA_20110726Z	SV Tara	TARA_125	0.1	0.22	26.780158	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100000592
TARA_Y100001934	SAMEA2622801	0.127609	120	"This sample (TARA_Y100001934) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.0714, longitudeE=-140.5973) on date/time=2011-08-05T17:31:19, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 120-120 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-05T22:18	2011-08-05T17:31:19	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:04Z	public	2014-05-01Z	-9.067	-9.0714	-140.6346	-140.5973	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.458677	175.895625	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492868	35.797875	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492868	TARA_20110726Z	SV Tara	TARA_124	0.45	0.8	25.221787	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001934
TARA_Y100001936	SAMEA2622800	0.127609	120	"This sample (TARA_Y100001936) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.0714, longitudeE=-140.5973) on date/time=2011-08-05T17:31:19, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 120-120 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.22-0.45 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-05T22:18	2011-08-05T17:31:19	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:04Z	public	2014-05-01Z	-9.067	-9.0714	-140.6346	-140.5973	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.458677	175.895625	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.22-0.45	ERS492867	35.797875	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492867	TARA_20110726Z	SV Tara	TARA_124	0.22	0.45	25.221787	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_GIRUS_NUC-dry_W0.22-0.45_TARA_Y100001936
TARA_Y100001938	SAMEA2622799	0.127609	120	"This sample (TARA_Y100001938) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.0714, longitudeE=-140.5973) on date/time=2011-08-05T17:31:19, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 120-120 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.1-0.22 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-05T22:18	2011-08-05T17:31:19	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:49:03Z	public	2014-05-01Z	-9.067	-9.0714	-140.6346	-140.5973	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	4.458677	175.895625	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.1-0.22	ERS492866	35.797875	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492866	TARA_20110726Z	SV Tara	TARA_124	0.1	0.22	25.221787	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_GIRUS_NUC-dry_W0.1-0.22_TARA_Y100001938
TARA_Y100001933	SAMEA2622765	0.286662	5	"This sample (TARA_Y100001933) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.1504, longitudeE=-140.5216) on date/time=2011-08-04T18:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (0.45-0.8 micrometres), and stored at -20 degC for later detection of large DNA virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis."	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	"saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)"	water	2011-08-04T22:00	2011-08-04T18:33	TARA_20110804T1833Z_124_EVENT_PUMP	GSC	Genoscope	2014-09-05T17:01:02Z	2015-11-04T11:48:48Z	public	2014-05-01Z	-9.1552	-9.1504	-140.5284	-140.5216	"(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)"	5.111856	190.724	Tara Oceans expedition (2009-2013)	GIRUS_NUC-dry_W0.45-0.8	ERS492820	35.396729	PUMP (High Volume Peristaltic Pump)	ERS492820	TARA_20110726Z	SV Tara	TARA_124	0.45	0.8	26.518986	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_GIRUS_NUC-dry_W0.45-0.8_TARA_Y100001933
