Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20110809T1708Z_125_Combined-EVENTS_CAST	8/9/11 17:05	8/9/11 21:37	-8.9	-8.91	-142.546	-142.577	TARA_20110726Z	TARA_125	cast	Tara Oceans
TARA_20110808T1733Z_125_EVENT_PUMP	8/8/11 17:33	8/8/11 19:54	-8.911	-8.895	-142.557	-142.623	TARA_20110726Z	TARA_125	pump	Tara Oceans
TARA_20110805T1733Z_124_Combined-EVENTS_CAST	8/5/11 17:31	8/5/11 22:18	-9.071	-9.067	-140.597	-140.635	TARA_20110726Z	TARA_124	cast	Tara Oceans
TARA_20110804T1833Z_124_EVENT_PUMP	8/4/11 18:33	8/4/11 22:00	-9.15	-9.155	-140.522	-140.528	TARA_20110726Z	TARA_124	pump	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	8/1/11 17:52	8/2/11 0:37	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110731T1720Z_123_EVENT_PUMP	7/31/11 17:20	7/31/11 19:33	-8.907	-8.895	-140.283	-140.317	TARA_20110726Z	TARA_123	pump	Tara Oceans
TARA_20110728T1718Z_122_Combined-EVENTS_CAST	7/28/11 17:15	7/28/11 20:03	-9.006	-8.963	-139.139	-139.228	TARA_20110726Z	TARA_122	cast	Tara Oceans
TARA_20110727T1932Z_122_Combined-EVENTS_CAST	7/27/11 19:28	7/28/11 3:26	-8.973	-8.978	-139.239	-139.243	TARA_20110726Z	TARA_122	cast	Tara Oceans
TARA_20110726T1710Z_122_EVENT_PUMP	7/26/11 17:10	7/26/11 19:41	-8.997	-8.972	-139.196	-139.274	TARA_20110726Z	TARA_122	pump	Tara Oceans
TARA_20101105T1235Z_078_Combined-EVENTS_CAST	11/5/10 12:33	11/5/10 20:39	-30.147	-30.346	-43.291	-43.292	TARA_20101031Z	TARA_078	cast	Tara Oceans
TARA_20101104T1816Z_078_Combined-EVENTS_CAST	11/4/10 18:16	11/4/10 21:18	-30.148	-30.149	-43.27	-43.249	TARA_20101031Z	TARA_078	cast	Tara Oceans
TARA_20101104T1004Z_078_EVENT_PUMP	NA	NA	NA	NA	NA	NA	NA	NA	pump	Tara Oceans
TARA_20101017T0905Z_076_Combined-EVENTS_CAST	10/17/10 9:05	10/17/10 13:37	-20.931	-20.972	-35.179	-35.274	TARA_20101003Z	TARA_076	cast	Tara Oceans
TARA_20101016T1700Z_076_Combined-EVENTS_CAST	10/16/10 16:58	10/16/10 18:43	-21.029	-21.067	-35.35	-35.392	TARA_20101003Z	TARA_076	cast	Tara Oceans
TARA_20101016T0955Z_076_EVENT_PUMP	10/16/10 9:55	10/16/10 12:37	-20.935	-21.007	-35.18	-35.334	TARA_20101003Z	TARA_076	pump	Tara Oceans
TARA_20100922T0637Z_070_Combined-EVENTS_CAST	9/21/10 11:57	9/22/10 13:16	-20.407	-20.336	-3.164	-3.266	TARA_20100905Z	TARA_070	cast	Tara Oceans
TARA_20100921T0655Z_070_EVENT_PUMP	9/21/10 6:55	9/21/10 8:07	-20.409	-20.398	-3.176	-3.201	TARA_20100905Z	TARA_070	pump	Tara Oceans
TARA_20100914T1330Z_068_EVENT_PUMP	9/14/10 13:30	9/14/10 15:07	-31.027	-31.014	4.68	4.693	TARA_20100905Z	TARA_068	pump	Tara Oceans
TARA_20100914T0655Z_068_EVENT_PUMP	9/14/10 6:55	9/14/10 8:15	-31.027	-31.026	4.665	4.698	TARA_20100905Z	TARA_068	pump	Tara Oceans
TARA_20100913T1303Z_068_Combined-EVENTS_CAST	9/13/10 13:02	9/13/10 17:43	-31.02	-31.056	4.668	4.661	TARA_20100905Z	TARA_068	cast	Tara Oceans
TARA_20100907T0619Z_067_EVENT_PUMP	9/7/10 6:19	9/7/10 7:44	-32.24	-32.1	17.71	17.7	TARA_20100905Z	TARA_067	pump	Tara Oceans
TARA_20100712T1106Z_065_Combined-EVENTS_CAST	7/12/10 11:03	7/12/10 12:12	-35.242	-35.253	26.305	26.317	TARA_20100624Z	TARA_065	cast	Tara Oceans
TARA_20100712T0559Z_065_EVENT_PUMP	7/12/10 5:59	7/12/10 9:00	-35.173	-35.209	26.287	26.293	TARA_20100624Z	TARA_065	pump	Tara Oceans
TARA_20100708T0621Z_064_EVENT_PUMP	7/8/10 6:21	7/8/10 8:50	-29.533	-29.512	37.912	37.859	TARA_20100624Z	TARA_064	pump	Tara Oceans
TARA_20100419T0756Z_048_EVENT_PUMP	4/19/10 7:56	4/19/10 10:59	-9.392	-9.411	66.423	66.328	TARA_20100410Z	TARA_048	pump	Tara Oceans
TARA_20100330T0247Z_041_EVENT_PUMP	3/30/10 2:47	3/30/10 5:40	14.606	14.5	69.978	70	TARA_20100327Z	TARA_041	pump	Tara Oceans
TARA_20100320T0817Z_039_Combined-EVENTS_CAST	3/20/10 8:15	3/20/10 16:00	18.734	18.735	66.39	66.389	TARA_20100309Z	TARA_039	cast	Tara Oceans
TARA_20100318T0427Z_039_EVENT_PUMP	3/18/10 4:27	3/18/10 8:32	18.592	18.571	66.622	66.502	TARA_20100309Z	TARA_039	pump	Tara Oceans
TARA_20100316T0614Z_038_Combined-EVENTS_CAST	3/16/10 6:13	3/16/10 13:54	19.035	18.992	64.564	64.576	TARA_20100309Z	TARA_038	cast	Tara Oceans
TARA_20100315T0335Z_038_EVENT_PUMP	3/15/10 3:35	3/15/10 5:53	19.039	19.034	64.491	64.516	TARA_20100309Z	TARA_038	pump	Tara Oceans
TARA_20100313T0507Z_037_Combined-EVENTS_CAST	3/12/10 17:08	3/13/10 14:25	20.846	20.819	63.585	63.616	TARA_20100309Z	TARA_037	cast	Tara Oceans
TARA_20100312T0606Z_036_EVENT_PUMP	3/12/10 6:06	3/12/10 6:56	20.818	20.815	63.505	63.505	TARA_20100309Z	TARA_036	pump	Tara Oceans
TARA_20100120T0427Z_034_EVENT_PUMP	1/20/10 4:27	1/20/10 8:30	18.397	18.402	39.875	39.855	TARA_20100118Z	TARA_034	pump	Tara Oceans
TARA_20090928T1659Z_009_EVENT_PUMP	9/28/09 16:59	9/28/09 19:36	39.061	39.086	5.942	5.822	TARA_20090926Z	TARA_009	pump	Tara Oceans
TARA_20090928T1218Z_009_EVENT_PUMP	9/28/09 12:18	9/28/09 14:18	39.163	39.078	5.916	5.803	TARA_20090926Z	TARA_009	pump	Tara Oceans
TARA_20100423T1010Z_049_EVENT_PUMP	4/23/10 10:10	4/23/10 11:48	-16.808	-16.808	59.504	59.504	TARA_20100410Z	TARA_049	pump	Tara Oceans
TARA_20100415T0201Z_046_EVENT_PUMP	4/15/10 2:01	4/15/10 5:28	-0.662	-0.662	73.161	73.161	TARA_20100410Z	TARA_046	pump	Tara Oceans
TARA_20100405T1002Z_043_EVENT_PUMP	4/5/10 10:02	4/5/10 12:29	4.66	4.66	73.486	73.486	TARA_20100327Z	TARA_043	pump	Tara Oceans
TARA_20100109T0715Z_031_EVENT_PUMP	1/9/10 7:15	NA	27.16	NA	34.835	NA	TARA_20100108Z	TARA_031	pump	Tara Oceans
TARA_20090921T1200Z_006_EVENT_PUMP	9/21/09 12:00	9/21/09 14:45	36.523	36.522	-4.002	-4.008	TARA_20090919Z	TARA_006	pump	Tara Oceans
