Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	MP biome	OS region	BG province	Sea ice conc	Sea ice free period start DOY	Sea Ice free period	Sea ice free period end DOY	Season at sampling date	Season (early, middle, late)	Moon phase nominal	Moon phase proportion	Time of day	SSD	PAR day at sampling date	PAR day AMODIS for a 8 days period	PAR day  GlobColour for a 8 days period	PAR day  AMODIS for a 30 days period	SST grad h	Fe tot	Fe std dev	NH4+	NH4+ std dev	NO2-	NO2- std dev	NO3-	NO3 std dev	Sea surface fluorescence, CDOM	Sea surface Chl a	Chl a conc	Sea surface phi sat	Net primary production of carbon - UQAR-TAKUVIC model	Net primary production of carbon - VGPM	Suspended matter, total	POC	PIC	Bathy depth	Latitude (of the closest geographic coordinate on a coast)	Longitude  (of the closest geographic coordinate on a coast)	Distance  (of the closest geographic coordinate on a coast)	SST grad h_1	SSM index	Geostrophic velocity, longitudinal	Geostrophic velocity, latidunal	Okubo-Weiss parameter	Maximum Lyapunov exponent	Residence time of water mass	Latitude (of the continental shelf <500m where sampled water originated)	Longitude (of the continental shelf <500m where sampled  water originated)	Age (days since water mass left continental shelf)	Latitude (of the geographic coordinate where water mass originated 45 days before sampling)	Longitude (of the geographic coordinate where water mass originated 45 days before sampling)
TARA_20111211T2040Z_138_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_138	Rosette Vertical Sampling System	2011-12-11 20:37:00	6.3559	-103.0598	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	descending	0.99	day	705	36.184	41.912773	37.91171646	36.28312	27.108766	4.689e-06	1.494e-06	0.013172547	0.004373185	0.020416232	0.010228701	2.891272922	1.156116234	NA	NA	16.7658	2.127710955	NA	277.87	0.067965491	NA	NA	-3241	10.3	-109.2265	814.9045	0.17526	2.8577e-05	52.020196	1.040314	-0.002795	0.020154	0	NA	NA	120	7.512087	-111.603363
TARA_20111211T1332Z_138_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_138	Rosette Vertical Sampling System	2011-12-11 13:27:00	6.3378	-102.9538	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	descending	0.99	day	706	43.679665	37.385136	37.39470673	34.9008	27.135295	4.689e-06	1.494e-06	0.013172547	0.004373185	0.020416232	0.010228701	2.891272922	1.156116234	NA	0.088229362	20.21	2.127710955	NA	282.98	0.057058366	NA	NA	-3189	10.3	-109.2265	820.0506	0.22659	3.0447e-05	52.020196	1.040314	-0.002795	0.020154	0	NA	NA	120	7.512087	-111.603363
TARA_20111210T1408Z_138_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_138	High Volume Peristaltic Pump	2011-12-10 14:08:00	6.3332	-102.9432	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	full moon	1	day	706	NA	32.556625	31.88124371	33.237934	NA	4.689e-06	1.494e-06	0.013172547	0.004373185	0.020416232	0.010228701	2.891272922	1.156116234	2.25678	NA	26.1396	2.127710955	NA	281.582	0.036805674	NA	NA	-3169	10.3	-109.2265	10.2085	0.37589	1.272e-06	52.020196	1.040314	-0.002795	0.020154	0	NA	NA	120	7.512087	-111.603363
TARA_20111203T1433Z_137_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_137	Rosette Vertical Sampling System	2011-12-03 14:31:00	14.2025	-116.6433	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	ascending	0.61	day	680	42.771717	41.393326	39.40323448	36.169662	25.800958	4.212e-06	5.15e-07	0.016200179	0.009050826	0.02376498	0.035743749	3.006373823	1.297456693	1.3698	0.278171346	42.9043	2.766736421	NA	452.195	0.135846578	67.85565948	0.000261073	-4140	18.3628	-114.7333	508.0711	0.3853	8.318e-06	-14.070426	3.470203	0.075315	0.032361	0	NA	NA	120	12.005218	-114.248528
TARA_20111202T2042Z_137_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	2011-12-02 20:42:00	14.2075	-116.6468	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	ascending	0.51	day	681	43.247597	41.429737	40.2850666	36.169662	26.348746	4.212e-06	5.15e-07	0.016200179	0.009050826	0.02376498	0.035743749	3.006373823	1.297456693	1.7042	0.254172802	34.1609	2.766736421	NA	452.195	0.122964513	62.97020531	0.000252071	-4118	18.3628	-114.7333	505.4989	0.53045	7.144e-06	-14.070426	3.470203	0.075315	0.032361	0	NA	NA	120	12.005218	-114.248528
TARA_20111202T1412Z_137_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	2011-12-02 14:12:00	14.2035	-116.6261	Trades Biome	[NPO] North Pacific Ocean (MRGID:1908)	[PNEC] North Pacific Equatorial Countercurrent Province (MRGID:21488)	0	1	365	365	autumn	late	ascending	0.51	day	681	43.247597	41.429737	41.07278252	36.169662	26.348746	4.212e-06	5.15e-07	0.016200179	0.009050826	0.02376498	0.035743749	3.006373823	1.297456693	NA	0.247726731	25.4964	2.766736421	NA	446.388	0.126146708	64.79541397	0.00026264	-4136	18.3628	-114.7333	453.4002	0.40468	3.77e-07	-14.070426	3.470203	0.075315	0.032361	0	NA	NA	120	12.005218	-114.248528
TARA_20110809T1708Z_125_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_125	Rosette Vertical Sampling System	2011-08-09 17:05:00	-8.8999	-142.5461	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.81	day	707	48.772858	48.66495	47.03262138	48.62074	26.692906	2.359e-06	7.57e-07	0.01748565	0.007774534	0.02433348	0.019917744	6.146822453	0.969613415	NA	0.175588056	36.2207	2.225130098	NA	NA	0.096621972	55.34723282	8.75e-05	-4371	-8	-140.7145	230.753	0.11492	8.74e-07	1.05962	-2.544526	-0.004254	0.014455	0	NA	NA	120	-9.370126	-144.070024
TARA_20110808T1733Z_125_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_125	High Volume Peristaltic Pump	2011-08-08 17:33:00	-8.9111	-142.5571	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.72	day	706	NA	48.73371	47.03262138	47.947315	26.692906	2.359e-06	7.57e-07	0.01748565	0.007774534	0.02433348	0.019917744	6.146822453	0.969613415	NA	0.175588056	43.5563	2.225130098	NA	433.979	0.096621972	55.34723282	8.75e-05	-4403	-8	-140.7145	227.3463	0.19558	8.21e-07	1.05962	-2.544526	-0.004254	0.014455	0	NA	NA	120	-9.370126	-144.070024
TARA_20110805T1733Z_124_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_124	Rosette Vertical Sampling System	2011-08-05 17:31:00	-9.0714	-140.5973	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.39	day	705	18.01057	42.277496	40.70502472	47.022877	26.74112425	2.459e-06	1.357e-06	0.023188621	0.01037204	0.052577804	0.044793732	6.232079824	0.832724257	NA	0.265331149	33.7078	2.509824984	NA	NA	0.134576194	71.37910843	0.000164031	-954	-8.9333	-140.2178	46.8174	0.10891	3.453e-06	-2.752385	-2.994587	9.6e-05	0.043603	2.777778	-140.084231	-9.321803	37	-9.422621	-139.848337
TARA_20110804T1833Z_124_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_124	High Volume Peristaltic Pump	2011-08-04 18:33:00	-9.1504	-140.5216	Trades Biome	[SPO] South Pacific Ocean (MRGID:1910)	[SPSG] South Pacific Subtropical Gyre Province, North and South (MRGID:21486)	0	1	365	365	winter	middle	ascending	0.28	day	704	47.973	46.261963	45.19358635	46.332516	26.5398265	2.459e-06	1.357e-06	0.023188621	0.01037204	0.052577804	0.044793732	6.232079824	0.832724257	NA	0.262448326	40.0394	2.509824984	NA	524.257	0.121346612	73.13096237	0.000165428	-2640	-8.9333	-140.2178	36.1359	0.096513	2.46e-06	-2.752385	-2.994587	9.6e-05	0.043603	2.777778	-140.084231	-9.321803	37	-9.422621	-139.848337
