SampleID_Tara	SampleID_NCBI	SampleID_SRA	Station label	Event label	Environmental feature	"Depth, nominal"	"Size fraction, upper threshold"	Sample material	Sample method	Sample code/label	Distance	Duration	File name	Number of observations	Chlorophyll c3_min	Chlorophyll c3_first_quartile	Chlorophyll c3_median	Chlorophyll c3_third_quartile	Chlorophyll c3_max	Chlorophyll c1+c2_min	Chlorophyll c1+c2_first_quartile	Chlorophyll c1+c2_median	Chlorophyll c1+c2_third_quartile	Chlorophyll c1+c2_max	Chlorophyllide a_min	Chlorophyllide a_first_quartile	Chlorophyllide a_median	Chlorophyllide a_third_quartile	Chlorophyllide a_max	Peridinin_min	Peridinin_first_quartile	Peridinin_median	Peridinin_third_quartile	Peridinin_max	Phaeophorbide a_min	Phaeophorbide a_first_quartile	Phaeophorbide a_median	Phaeophorbide a_third_quartile	Phaeophorbide a_max	19-Butanoyloxyfucoxanthin_min	19-Butanoyloxyfucoxanthin_first_quartile	19-Butanoyloxyfucoxanthin_median	19-Butanoyloxyfucoxanthin_third_quartile	19-Butanoyloxyfucoxanthin_max	Fucoxanthin_min	Fucoxanthin_first_quartile	Fucoxanthin_median	Fucoxanthin_third_quartile	Fucoxanthin_max	Neoxanthin_min	Neoxanthin_first_quartile	Neoxanthin_median	Neoxanthin_third_quartile	Neoxanthin_max	Prasinoxanthin_min	Prasinoxanthin_first_quartile	Prasinoxanthin_median	Prasinoxanthin_third_quartile	Prasinoxanthin_max	Violaxanthin_min	Violaxanthin_first_quartile	Violaxanthin_median	Violaxanthin_third_quartile	Violaxanthin_max	19-Hexanoyloxyfucoxanthin_min	19-Hexanoyloxyfucoxanthin_first_quartile	19-Hexanoyloxyfucoxanthin_median	19-Hexanoyloxyfucoxanthin_third_quartile	19-Hexanoyloxyfucoxanthin_max	Diadinoxanthin_min	Diadinoxanthin_first_quartile	Diadinoxanthin_median	Diadinoxanthin_third_quartile	Diadinoxanthin_max	Alloxanthin_min	Alloxanthin_first_quartile	Alloxanthin_median	Alloxanthin_third_quartile	Alloxanthin_max	Diatoxanthin_min	Diatoxanthin_first_quartile	Diatoxanthin_median	Diatoxanthin_third_quartile	Diatoxanthin_max	Zeaxanthin_min	Zeaxanthin_first_quartile	Zeaxanthin_median	Zeaxanthin_third_quartile	Zeaxanthin_max	Lutein_min	Lutein_first_quartile	Lutein_median	Lutein_third_quartile	Lutein_max	Bacteriochlorophyll a_min	Bacteriochlorophyll a_first_quartile	Bacteriochlorophyll a_median	Bacteriochlorophyll a_third_quartile	Bacteriochlorophyll a_max	Divinyl chlorophyll b_min	Divinyl chlorophyll b_first_quartile	Divinyl chlorophyll b_median	Divinyl chlorophyll b_third_quartile	Divinyl chlorophyll b_max	Chlorophyll b_min	Chlorophyll b_first_quartile	Chlorophyll b_median	Chlorophyll b_third_quartile	Chlorophyll b_max	Chlorophyll b plus divinyl chlorophyll b_min	Chlorophyll b plus divinyl chlorophyll b_first_quartile	Chlorophyll b plus divinyl chlorophyll b_median	Chlorophyll b plus divinyl chlorophyll b_third_quartile	Chlorophyll b plus divinyl chlorophyll b_max	Divinyl chlorophyll a_min	Divinyl chlorophyll a_first_quartile	Divinyl chlorophyll a_median	Divinyl chlorophyll a_third_quartile	Divinyl chlorophyll a_max	Chlorophyll a_min	Chlorophyll a_first_quartile	Chlorophyll a_median	Chlorophyll a_third_quartile	Chlorophyll a_max	"Chlorophyll a, total_min"	"Chlorophyll a, total_first_quartile"	"Chlorophyll a, total_median"	"Chlorophyll a, total_third_quartile"	"Chlorophyll a, total_max"	Phaeophytin a_min	Phaeophytin a_first_quartile	Phaeophytin a_median	Phaeophytin a_third_quartile	Phaeophytin a_max	Carotene_min	Carotene_first_quartile	Carotene_median	Carotene_third_quartile	Carotene_max
TARA_R100000789	SAMEA2623403	ERS493835	TARA_138	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	450	0.22	TARA_138_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MES_(450m)_SEQ-(FeCl3)_W<0.22_R100000789	0.39271	P00DT00H00M	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0.0018	0.0018	0.0018	0.0018	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0.0014	0.0014	0.0014	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0045	0.0045	0.0045	0.0045	0.0045	0	0	0	0	0	0.0011	0.0011	0.0011	0.0011	0.0011
TARA_R100000781	SAMEA2623385	ERS493803	TARA_138	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	60	0.22	TARA_138_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_DCM_(60m)_SEQ-(FeCl3)_W<0.22_R100000781	3.2439	P00DT07H10M	"tara_20111211t2040z_138_event_cast,tara_20111210t1725z_138_event_cast"	3	0.034	0.034375	0.0355	0.03655	0.0369	0.0351	0.0359	0.0383	0.04145	0.0425	0	0	0	0.00465	0.0062	0.007	0.008625	0.0135	0.0141	0.0143	0	0	0	0	0	0.0397	0.04165	0.0475	0.0493	0.0499	0.0127	0.012825	0.0132	0.013575	0.0137	0.0029	0.0044	0.0089	0.00995	0.0103	0	0.00045	0.0018	0.003225	0.0037	8.00E-04	0.001275	0.0027	0.003225	0.0034	0.0547	0.061825	0.0832	0.097975	0.1029	0.0041	0.0044	0.0053	0.005975	0.0062	8.00E-04	0.00085	0.001	0.001075	0.0011	0	0	0	0.000525	7.00E-04	0.0258	0.032575	0.0529	0.064075	0.0678	0	6.00E-04	0.0024	0.0036	0.004	0	0	0	0	0	0.0179	0.02165	0.0329	0.0692	0.0813	0.0381	0.04795	0.0775	0.097225	0.1038	0.0954	0.1014	0.1194	0.132375	0.1367	0.0708	0.075425	0.0893	0.118775	0.1286	0.1877	0.190225	0.1978	0.22885	0.2392	0.2584	0.267125	0.2933	0.3491	0.3677	0	0	0	0.003	0.004	0.0194	0.01995	0.0216	0.021825	0.0219
TARA_R100000773	SAMEA2623365	ERS493767	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_138_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111210T1408Z_138_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000773	3.2691	P00DT03H14M	"tara_20111210t1725z_138_event_cast,tara_20111211t2040z_138_event_cast"	1	0.0052	0.0052	0.0052	0.0052	0.0052	0.0077	0.0077	0.0077	0.0077	0.0077	0	0	0	0	0	0.003	0.003	0.003	0.003	0.003	0	0	0	0	0	0.0059	0.0059	0.0059	0.0059	0.0059	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	0	0	0	0	0	8.00E-04	8.00E-04	8.00E-04	8.00E-04	8.00E-04	0.0213	0.0213	0.0213	0.0213	0.0213	0.0052	0.0052	0.0052	0.0052	0.0052	0	0	0	0	0	0.0012	0.0012	0.0012	0.0012	0.0012	0.0783	0.0783	0.0783	0.0783	0.0783	0	0	0	0	0	0	0	0	0	0	0.0087	0.0087	0.0087	0.0087	0.0087	0.0069	0.0069	0.0069	0.0069	0.0069	0.0156	0.0156	0.0156	0.0156	0.0156	0.087	0.087	0.087	0.087	0.087	0.0604	0.0604	0.0604	0.0604	0.0604	0.1474	0.1474	0.1474	0.1474	0.1474	0	0	0	0	0	0.013	0.013	0.013	0.013	0.013
TARA_R100000750	SAMEA2623327	ERS493718	TARA_137	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	[MES] marine water layer (ENVO:01000295) within the mesopelagic zone (ENVO:00000213)	375	0.22	TARA_137_MES_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MES_(375m)_SEQ-(FeCl3)_W<0.22_R100000750	0.003704	P00DT00H00M	"tara_20111203t1433z_137_event_cast,tara_20111202t1746z_137_event_cast"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0.0011	0.0011	0.0011	0.0011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0.0017	0	0	0	0	0	0.0017	0.0017	0.0017	0.0017	0.0017
TARA_R100000742	SAMEA2623309	ERS493684	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	[DCM] deep chlorophyll maximum layer (ENVO:01000326)	40	0.22	TARA_137_DCM_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T2042Z_137_EVENT_PUMP_DCM_(40m)_SEQ-(FeCl3)_W<0.22_R100000742	0.67452	P00DT02H57M	"tara_20111202t1746z_137_event_cast,tara_20111203t1433z_137_event_cast"	3	0.044	0.046825	0.0553	0.061075	0.063	0.0543	0.05455	0.0553	0.067525	0.0716	0	0	0	0.002175	0.0029	0.0121	0.014	0.0197	0.028175	0.031	0	0	0	0	0	0.0554	0.0567	0.0606	0.07035	0.0736	0.018	0.0192	0.0228	0.02805	0.0298	0.0156	0.01765	0.0238	0.0262	0.027	0	0.001275	0.0051	0.008325	0.0094	0.0052	0.00555	0.0066	0.006675	0.0067	0.07	0.091425	0.1557	0.15585	0.1559	0.006	0.00715	0.0106	0.0151	0.0166	0.0023	0.00235	0.0025	0.00325	0.0035	0	0.000325	0.0013	0.003325	0.004	0.0596	0.07235	0.1106	0.128075	0.1339	0.0041	0.005275	0.0088	0.008875	0.0089	0	0	0	0	0	0.0238	0.02835	0.042	0.173625	0.2175	0.1241	0.13295	0.1595	0.192275	0.2032	0.1479	0.172225	0.2452	0.34405	0.377	0.158	0.16155	0.1722	0.1788	0.181	0.3288	0.333125	0.3461	0.407975	0.4286	0.5098	0.512675	0.5213	0.570275	0.5866	0.0071	0.007575	0.009	0.01125	0.012	0.0344	0.035475	0.0387	0.048075	0.0512
TARA_R100000734	SAMEA2623290	ERS493651	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_137_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20111202T1412Z_137_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000734	1.8564	P00DT03H32M	"tara_20111202t1746z_137_event_cast,tara_20111203t1433z_137_event_cast"	1	0.0178	0.0178	0.0178	0.0178	0.0178	0.0188	0.0188	0.0188	0.0188	0.0188	0	0	0	0	0	0.0092	0.0092	0.0092	0.0092	0.0092	0	0	0	0	0	0.0118	0.0118	0.0118	0.0118	0.0118	0.0081	0.0081	0.0081	0.0081	0.0081	0.0044	0.0044	0.0044	0.0044	0.0044	0	0	0	0	0	0.0022	0.0022	0.0022	0.0022	0.0022	0.0635	0.0635	0.0635	0.0635	0.0635	0.0121	0.0121	0.0121	0.0121	0.0121	0	0	0	0	0	0.0045	0.0045	0.0045	0.0045	0.0045	0.0914	0.0914	0.0914	0.0914	0.0914	0.0039	0.0039	0.0039	0.0039	0.0039	0	0	0	0	0	0.0058	0.0058	0.0058	0.0058	0.0058	0.0388	0.0388	0.0388	0.0388	0.0388	0.0447	0.0447	0.0447	0.0447	0.0447	0.0749	0.0749	0.0749	0.0749	0.0749	0.1666	0.1666	0.1666	0.1666	0.1666	0.2415	0.2415	0.2415	0.2415	0.2415	0.0039	0.0039	0.0039	0.0039	0.0039	0.0127	0.0127	0.0127	0.0127	0.0127
TARA_R100000808	SAMEA2622852	ERS492941	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	140	0.22	TARA_125_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MIX_(140m)_SEQ-(FeCl3)_W<0.22_R100000808	7.41	P00DT19H48M	tara_20110808t2118z_125_event_cast	2	0.0014	0.0014	0.00145	0.0015	0.0015	8.00E-04	8.00E-04	9.00E-04	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0.0023	0.0025	0.0027	0.0027	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0.0038	0.00415	0.0045	0.0045	4.00E-04	4.00E-04	4.00E-04	4.00E-04	4.00E-04	0	0	0	0	0	0	0	0	0	0	2.00E-04	2.00E-04	2.00E-04	2.00E-04	2.00E-04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0.0042	0.00425	0.0043	0.0043	0.0042	0.0042	0.00425	0.0043	0.0043	0	0	0	0	0	0.0113	0.0113	0.0114	0.0115	0.0115	0.0113	0.0113	0.0114	0.0115	0.0115	0	0	0	0	0	0	0	0	0	0
TARA_R100000805	SAMEA2622832	ERS492903	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_125_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110808T1733Z_125_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000805	6.7594	P00DT03H43M	tara_20110808t2118z_125_event_cast	1	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0	0	0	0.0033	0.0033	0.0033	0.0033	0.0033	0	0	0	0	0	0.0077	0.0077	0.0077	0.0077	0.0077	0.0029	0.0029	0.0029	0.0029	0.0029	0.0032	0.0032	0.0032	0.0032	0.0032	0	0	0	0	0	6.00E-04	6.00E-04	6.00E-04	6.00E-04	6.00E-04	0.0255	0.0255	0.0255	0.0255	0.0255	0.0025	0.0025	0.0025	0.0025	0.0025	0	0	0	0	0	0.001	0.001	0.001	0.001	0.001	0.057	0.057	0.057	0.057	0.057	0.004	0.004	0.004	0.004	0.004	9.00E-04	9.00E-04	9.00E-04	9.00E-04	9.00E-04	0	0	0	0	0	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0389	0.0664	0.0664	0.0664	0.0664	0.0664	0.1026	0.1026	0.1026	0.1026	0.1026	0.169	0.169	0.169	0.169	0.169	0.0037	0.0037	0.0037	0.0037	0.0037	0.0096	0.0096	0.0096	0.0096	0.0096
TARA_R100000700	SAMEA2622810	ERS492877	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	[MIX] marine epipelagic wind mixed layer (ENVO:01000061)	120	0.22	TARA_124_MIX_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MIX_(120m)_SEQ-(FeCl3)_W<0.22_R100000700	2.7261	P00DT02H58M	"tara_20110805t1435z_124_event_cast,tara_20110805t2104z_124_event_cast,tara_20110805t0938z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110805t0045z_124_event_cast"	2	0.0101	0.0101	0.01025	0.0104	0.0104	0.0098	0.0098	0.00995	0.0101	0.0101	0	0	0	0	0	0.0021	0.0021	0.00215	0.0022	0.0022	0	0	0	0	0	0.0093	0.0093	0.00975	0.0102	0.0102	0.0018	0.0018	0.00185	0.0019	0.0019	0.0055	0.0055	0.00585	0.0062	0.0062	0	0	0	0	0	0.001	0.001	0.00105	0.0011	0.0011	0.0182	0.0182	0.01915	0.0201	0.0201	0.0016	0.0016	0.00165	0.0017	0.0017	0	0	0	0	0	0	0	0	0	0	0.0175	0.0175	0.0175	0.0175	0.0175	0	0	0	0	0	6.00E-04	6.00E-04	0.00065	7.00E-04	7.00E-04	0	0	0	0	0	0.0553	0.0553	0.05755	0.0598	0.0598	0.0553	0.0553	0.05755	0.0598	0.0598	0.0607	0.0607	0.06115	0.0616	0.0616	0.0657	0.0657	0.069	0.0723	0.0723	0.1273	0.1273	0.13015	0.133	0.133	0	0	0	0	0	0.0149	0.0149	0.01515	0.0154	0.0154
TARA_R100000697	SAMEA2622788	ERS492843	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	[SRF] surface water layer (ENVO:00010504)	5	0.22	TARA_124_SRF_<-0.22	SEQ-(FeCl3)_W<0.22	TARA_20110804T1833Z_124_EVENT_PUMP_SRF_(5m)_SEQ-(FeCl3)_W<0.22_R100000697	3.5601	P00DT06H10M	"tara_20110805t0045z_124_event_cast,tara_20110804t0932z_124_event_cast,tara_20110805t0624z_124_event_cast,tara_20110804t0551z_124_event_cast,tara_20110805t0938z_124_event_cast"	6	0.01684	0.01684	0.01686	0.01688	0.01688	0.02654	0.02654	0.02655	0.02656	0.02656	0.00022	0.00022	0.00023	0.00024	0.00024	0.00744	0.00744	0.00746	0.00748	0.00748	0.00774	0.00774	0.00774	0.00774	0.00774	0.0182	0.0182	0.01821	0.01822	0.01822	0.0118	0.0118	0.01184	0.01188	0.01188	0.00936	0.00936	0.00937	0.00938	0.00938	0.00386	0.00386	0.00386	0.00386	0.00386	0.0043	0.0043	0.00435	0.0044	0.0044	0.06844	0.06844	0.06849	0.06854	0.06854	0.00602	0.00602	0.00603	0.00604	0.00604	0.00312	0.00312	0.00312	0.00312	0.00312	0.00058	0.00058	0.00059	6.00E-04	6.00E-04	0.10178	0.10178	0.10181	0.10184	0.10184	0.00634	0.00634	0.00638	0.00642	0.00642	0.00144	0.00144	0.00145	0.00146	0.00146	0	0	0	0	0	0.06236	0.06236	0.06239	0.06242	0.06242	0.06236	0.06236	0.06239	0.06242	0.06242	0.07652	0.07652	0.07657	0.07662	0.07662	0.28824	0.28824	0.28826	0.28828	0.28828	0.36502	0.36502	0.36506	0.3651	0.3651	0.00498	0.00498	0.00501	0.00504	0.00504	0.02398	0.02398	0.02398	0.02398	0.02398
