SampleID_Tara	Campaign	Station	Event	Env feature_abbrev	Env feature	Shannon_Darwin_mean_all	Shannon_Darwin_month_all	Shannon_Darwin_mean_grp	Shannon_Darwin_month_grp	Shannon_Physat_month	Shannon_Physat_mean	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	miTAG.SILVA.Richness	wFDc	OG.Richness	OG.Evenness
TARA_R100000789	TARA_20111124Z	TARA_138	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	6404.034706	6337.648602	6.281538192	3859.97	7.296750891	20553.2	0.734761859
TARA_R100000781	TARA_20111124Z	TARA_138	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4312.041092	4146.2201	6.63935405	2984.4	7.123800616	16960.1	0.731500451
TARA_R100000773	TARA_20111124Z	TARA_138	TARA_20111210T1408Z_138_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.602965	0.786346	0.48013	0.60206	0.32027	0.433796	4305.503877	4212.183684	6.507542471	2660.5	7.118264624	17717.1	0.727668896
TARA_R100000750	TARA_20111124Z	TARA_137	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	6924.430129	6801.207518	6.248980533	3901.96	7.256760501	20605.8	0.730546934
TARA_R100000742	TARA_20111124Z	TARA_137	TARA_20111202T2042Z_137_EVENT_PUMP	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	4996.589383	4955.630244	6.084460282	3055.24	7.211098725	17574.3	0.737769447
TARA_R100000734	TARA_20111124Z	TARA_137	TARA_20111202T1412Z_137_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.623359	0.791447	0.481699	0.565522	0.644221	0.561121	3364.714903	3220.291415	6.607743957	2329.97	7.132607743	13938.9	0.747462387
TARA_R100000808	TARA_20110726Z	TARA_125	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000805	TARA_20110726Z	TARA_125	TARA_20110808T1733Z_125_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.278453	0.33628	0.073452	0.083554	0.648263	0.607756	NA	NA	NA	NA	NA	NA	NA
TARA_R100000700	TARA_20110726Z	TARA_124	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100000697	TARA_20110726Z	TARA_124	TARA_20110804T1833Z_124_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.269235	0.32287	0.069558	0.078548	0.731559	0.68987	NA	NA	NA	NA	NA	NA	NA
TARA_R100001594	TARA_20110726Z	TARA_123	TARA_20110801T1755Z_123_Combined-EVENTS_CAST	MIX	marine epipelagic mixed layer (ENVO:01000061)	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
TARA_R100001591	TARA_20110726Z	TARA_123	TARA_20110731T1720Z_123_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	NA	NA	NA	NA	0.710675	0.673503	NA	NA	NA	NA	NA	NA	NA
TARA_R100000664	TARA_20110726Z	TARA_122	TARA_20110728T1718Z_122_Combined-EVENTS_CAST	DCM	deep chlorophyll maximum layer (ENVO:01000326)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_R100000687	TARA_20110726Z	TARA_122	TARA_20110727T1932Z_122_Combined-EVENTS_CAST	MES	mesopelagic zone (ENVO:00000213)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
TARA_R100000657	TARA_20110726Z	TARA_122	TARA_20110726T1710Z_122_EVENT_PUMP	SRF	surface water layer (ENVO:00002042)	0.260512	0.313471	0.067216	0.076122	0.662133	0.561525	NA	NA	NA	NA	NA	NA	NA
