Event Label	Basis	Campaign	Station	Device	Date/Time	Latitude	Longitude	Kd490 AMODIS at the sampling date	Kd490 AMODIS 8 days period	Kd490 AMODIS 30 days period	Kd490 GlobColour 8 days period	Kd490 GlobColour 30 days period	bbp470 8 days period	acCDOM 8 days period	"Kd(PAR) 30 days avg, eq.9"	"Kd(PAR) 30 days avg, eq.9'"	z(SD)	z(eu) GlobColour 8 days period	z(eu) Secchi Disk and AMODIS	z(eu) AMODIS 30 days avg from Kd(PAR)1	z(eu) AMODIS 30 days avg from Kd(PAR)2	UMLD from sigma theta	UMLD from temperature	Depth chl max 	Depth max Brunt Vaisala freq 	Depth max O2 	Depth min O2 	Depth nitracline 	Temp at depth 10m	Temp at the base of euphotic zone - Kd(PAR)1	Temp at the base of euphotic zone - Kd(PAR)2	Temp at the base of mixed layer - sigma theta	Temp at the depth of mixed layer - temperature	Temp at depth chl max	Temp at depth of max Brunt Vaisala freq	Temp at depth of max oxygent concentration	Temp at depth of min oxygent concentration	Temp at depth of nitracline	Sal at depth 10m	Sal at the base of euphotic zone - Kd(PAR)1	Sal at the base of euphotic zone - Kd(PAR)2	Sal at the base of mixed layer - sigma theta	Sal at the depth of mixed layer - Salerature	Sal at depth chl max	Sal at depth of max Brunt Vaisala freq	Sal at depth of max oxygent concentration	Sal at depth of min oxygent concentration	Sal at depth of nitracline	Sigma-theta at depth 10m	Sigma-theta at the base of euphotic zone - Kd(PAR)1	Sigma-theta at the base of euphotic zone - Kd(PAR)2	Sigma-theta at the base of mixed layer - sigma theta	Sigma-theta at the depth of mixed layer - Sigma-thetaerature	Sigma-theta at depth chl max	Sigma-theta at depth of max Brunt VaiSigma-thetaa freq	Sigma-theta at depth of max oxygent concentration	Sigma-theta at depth of min oxygent concentration	Sigma-theta at depth of nitracline	N**2 at depth 10m	N**2 at the base of euphotic zone - Kd(PAR)1	N**2 at the base of euphotic zone - Kd(PAR)2	N**2 at the base of mixed layer - sigma theta	N**2 at the depth of mixed layer - N**2erature	N**2 at depth chl max	N**2 at depth of max Brunt VaiN**2a freq	N**2 at depth of max oxygent concentration	N**2 at depth of min oxygent concentration	N**2 at depth of nitracline	Chl a at depth 10m	Chl a at the base of euphotic zone - Kd(PAR)1	Chl a at the base of euphotic zoChl a	Chl a at the base of mixed layer - sigma theta	Chl a at the depth of mixed layer - Chl aerature	Chl a at depth chl max	Chl a at depth of max BruChl aa freq	Chl a at depth of max oxygent concentration	Chl a at depth of min oxygent concentration	Chl a at depth of nitracline	Oxygen at depth 10m	Oxygen at the base of euphotic zone - Kd(PAR)1	Oxygen at the base of euphotic zoOxygen	Oxygen at the base of mixed layer - sigma theta	Oxygen at the depth of mixed layer - Oxygenerature	Oxygen at depth chl max	Oxygen at depth of max BruOxygena freq	Oxygen at depth of max oxygent concentration	Oxygen at depth of min oxygent concentration	Oxygen at depth of nitracline	NO3- at depth 10m	NO3- at the base of euphotic zone - Kd(PAR)1	NO3- at the base of euphotic zoNO3-	NO3- at the base of mixed layer - sigma theta	NO3- at the depth of mixed layer - NO3-erature	NO3- at depth chl max	NO3- at depth of max BruNO3-a freq	NO3- at depth of max NO3-t concentration	NO3- at depth of min NO3-t concentration	NO3- at depth of nitracline
TARA_20111211T2040Z_138_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_138	Rosette Vertical Sampling System	12/11/11 20:37	6.3559	-103.0598	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	70	NA	NA	21	38	45	49	15	482	49	26.6386	23.8542	18.8311	26.613	26.5288	24.308	21.0878	26.6273	7.9315	21.0878	33.804	34.5482	34.7721	33.8275	33.9936	34.5139	34.7472	33.8118	34.7661	34.7472	21.8147	23.2256	24.7722	21.8412	21.9935	23.0651	24.1601	21.8245	26.9808	24.1601	1.35E-05	0.0025443	0.00047225	3.26E-05	0.0010554	0.0015102	0.0011069	1.12E-05	4.75E-05	0.0011069	0.0044974	0.44491	0.44176	0.027672	0.17979	0.44176	0.44491	0.02955	0	0.44491	196.9746	121.8731	51.6872	197.2452	193.9835	154.7674	100.5283	197.2486	0.96655	100.5283	1.6393	5.017	21.1176	1.5415	0.54523	3.4009	7.5103	-0.33378	36.3584	7.5103
TARA_20111211T1332Z_138_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_138	Rosette Vertical Sampling System	12/11/11 13:27	6.3378	-102.9538	NA	NA	NA	0.034544174	0.051352127	0.001112675	0.009363831	NA	NA	19	88.35832596	68	NA	NA	26	42	50	53	14	120	48	26.5782	NA	NA	26.6044	26.3871	21.793	20.5338	26.5846	13.4662	23.2192	33.7502	NA	NA	33.7944	34.0922	34.7094	34.7523	33.7526	35.0882	34.6402	21.7934	NA	NA	21.8195	22.1121	23.9373	24.3136	21.7935	26.246	23.4803	6.20E-08	NA	NA	5.54E-05	0.00064268	0.0018596	0.0010335	3.48E-06	3.94E-05	0.0027337	0.00096578	NA	NA	0.043654	0.13675	0.35238	0.35606	0	0.04778	0.29151	195.5633	NA	NA	194.781	185.9896	111.1251	81.6107	195.7084	15.885	135.4758	0.74446	NA	NA	1.7128	1.2435	7.6732	15.9321	2.5233	30.638	3.11
TARA_20111210T1408Z_138_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_138	High Volume Peristaltic Pump	12/10/11 14:08	6.3332	-102.9432	NA	NA	NA	NA	NA	NA	NA	NA	NA	19	NA	66	NA	NA	37	45	55	57	13	483	64	26.6849	NA	NA	26.7325	26.5174	22.6934	22.2102	26.6999	7.9255	19.6509	33.6591	NA	NA	33.7088	34.4831	34.6646	34.6833	33.6743	34.7714	34.7918	21.6916	NA	NA	21.7157	22.3645	23.6504	23.8017	21.6984	26.9859	24.576	3.63E-05	NA	NA	5.20E-05	0.00071271	0.0018289	0.00059619	2.44E-05	2.70E-05	0.0019299	0	NA	NA	0.023193	0.27443	0.34875	0.35431	0	0.02114	0.35577	197.0462	NA	NA	196.9447	189.0856	134.4998	126.878	196.7693	0.95578	61.8765	0.35341	NA	NA	-0.88981	-1.1006	3.0896	5.782	-0.49191	33.2343	13.2024
TARA_20111203T1433Z_137_Combined-EVENTS_CAST	SV Tara	TARA_20111124Z	TARA_137	Rosette Vertical Sampling System	12/3/11 14:31	14.2025	-116.6433	NA	NA	0.051016	0.053699726	0.074441228	0.001512318	0.01837123	0.104643824	0.087369935	25	57.51093864	85	43	52	22	28	37	40	14	351	40	26.4703	18.6642	17.2553	26.4265	26.3068	23.1196	20.3374	26.4711	9.2079	20.3374	33.9772	34.5149	34.5599	33.9925	34.0471	34.4387	34.5546	33.9772	34.771	34.5546	21.9975	24.6181	24.998	22.0236	22.1025	23.3561	24.2155	21.9976	26.7857	24.2155	1.79E-07	0.00027978	0.00053484	4.38E-05	0.00022979	0.0023149	0.001845	2.44E-06	1.64E-05	0.001845	0.28338	0.59711	0.48717	0.29753	0.33524	0.56783	0.59711	0.28338	0	0.59711	195.4567	102.7119	51.6611	195.0561	191.3911	142.7617	117.5948	196.0464	0.95221	117.5948	3.4103	11.5583	18.941	4.5462	4.0975	5.0496	6.8149	3.0937	33.5015	6.8149
TARA_20111202T2042Z_137_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	12/2/11 20:42	14.2075	-116.6468	0.0482	0.053417	0.051016	0.051574482	0.073412735	0.001643001	0.018467665	0.104643824	0.087369935	25	59.88253784	85	43	52	20	28	34	39	16	206	39	26.416	18.8854	16.6687	26.3948	26.2302	22.8119	21.0073	26.4105	11.1354	21.0073	34.0265	34.5335	34.5875	34.0375	34.1305	34.4715	34.5725	34.0281	34.8636	34.5725	22.0516	24.5764	25.1576	22.0672	22.1891	23.4697	24.0487	22.0549	26.5247	24.0487	5.11E-06	0.00054724	0.00053452	0.00011398	0.00029495	0.0010799	0.001717	1.19E-05	NA	0.001717	0.24623	0.64819	0.46005	0.32119	0.41007	0.62296	0.65116	0.29509	0	0.65116	195.5363	106.4339	40.9065	195.2675	193.7337	164.7839	129.0979	195.0227	0.70874	129.0979	3.0774	10.0168	19.0111	3.1237	2.2948	3.8961	5.0237	3.2351	26.4144	5.0237
TARA_20111202T1412Z_137_EVENT_PUMP	SV Tara	TARA_20111124Z	TARA_137	High Volume Peristaltic Pump	12/2/11 14:12	14.2035	-116.6261	0.0482	0.053417	0.051016	0.050950166	0.073302299	0.001631907	0.01800547	0.104643824	0.087369935	25	60.71559143	85	43	52	23	29	36	39	13	630	44	26.411	19.2192	16.8418	26.3811	26.2421	22.8226	21.7518	26.4129	6.3201	19.2192	34.0449	34.582	34.5772	34.0589	34.1165	34.465	34.5336	34.0453	34.7072	34.582	22.067	24.5282	25.1092	22.0877	22.1749	23.4618	23.8155	22.0669	27.1596	24.5282	3.84E-07	0.0009202	0.00035643	0.00018589	0.00061752	0.0013278	0.0013325	NA	9.61E-06	0.0009202	0.29483	0.56911	0.43799	0.31035	0.38682	0.56107	0.57341	0.28505	0	0.56911	195.1292	97.8459	43.3759	194.776	188.7336	160.6741	141.2227	194.8822	0.84792	97.8459	3.4416	8.4411	19.9577	3.804	2.5561	2.9719	5.2233	3.2983	42.3869	8.4411
TARA_20110809T1708Z_125_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_125	Rosette Vertical Sampling System	8/9/11 17:05	-8.8999	-142.5461	NA	0.043154	0.046188	0.04434233	0.063252725	0.001139832	0.014656801	0.097568808	0.080671031	25	68.79855347	88	48	58	101	102	26	111	29	242	211	26.7493	26.7611	26.7629	26.7615	26.6885	26.7485	25.6883	26.7552	15.9309	18.3304	35.603	35.6028	35.6028	35.6093	35.6505	35.6033	36.2964	35.6029	35.2903	35.5951	23.1282	23.1271	23.1272	23.1357	23.1898	23.1298	23.9897	23.1276	25.8723	25.5313	4.60E-08	2.75E-07	1.50E-08	0.00029144	0.0009467	1.24E-07	0.00076595	1.24E-07	7.80E-05	2.47E-05	0.28338	0.32706	0.32296	0.33537	0.30999	0.33537	0.11119	0.33745	0.017022	0.040949	186.0622	186.514	186.4348	168.321	165.205	186.766	152.8709	187.0894	99.4785	136.1141	5.4817	5.7119	5.9167	5.5406	5.5749	5.8695	6.1324	5.6662	13.9545	7.454
TARA_20110808T1733Z_125_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_125	High Volume Peristaltic Pump	8/8/11 17:33	-8.9111	-142.5571	NA	0.0438	0.04482	0.04434233	0.063252725	0.001139832	0.014656801	0.095454169	0.078675804	25	68.79855347	88	49	60	109	109	40	119	14	274	281	26.7815	26.787	26.7897	26.7572	26.7572	26.7859	25.5457	26.7821	12.3808	11.8365	35.5953	35.5951	35.5955	35.6073	35.6073	35.595	36.3446	35.5957	34.9907	34.9618	23.1121	23.1132	23.1134	23.1361	23.1361	23.1127	24.0708	23.1125	26.3913	26.473	1.52E-07	3.94E-07	9.80E-08	0.00062157	0.00062157	7.20E-08	0.00018616	2.95E-07	4.11E-05	7.86E-05	0.24256	0.31035	0.30197	0.22713	0.22713	0.31963	0.092227	0.24358	0.0084804	0.035486	187.2433	186.9323	186.488	169.8814	169.8814	187.1601	154.1037	187.1248	39.991	39.8045	4.5325	5.7666	4.6254	4.7106	4.7106	4.5612	4.4757	5.1469	22.5946	24.5324
TARA_20110805T1733Z_124_Combined-EVENTS_CAST	SV Tara	TARA_20110726Z	TARA_124	Rosette Vertical Sampling System	8/5/11 17:31	-9.0714	-140.5973	NA	0.056918	0.058308	0.052541982	0.077926952	0.001341622	0.021246152	0.114448354	0.096709323	NA	58.8567009	NA	40	47	97	101	28	111	13	193	145	26.5074	26.5147	26.5174	26.4643	26.4041	26.5125	25.7488	26.5092	17.3258	23.6138	35.5466	35.5468	35.547	35.5572	35.5653	35.5466	35.758	35.5466	35.4542	36.1801	23.1627	23.1628	23.1625	23.1905	23.2159	23.1624	23.5665	23.1624	25.6692	24.5324	5.55E-07	6.60E-08	1.02E-07	8.80E-05	0.00022812	1.01E-07	0.00025125	1.66E-07	0.00012687	0.00034542	0.28247	0.32296	0.32296	0.25929	0.19743	0.34759	0.11119	0.28247	0	0.084573	189.3941	189.0557	189.0592	184.0638	177.9222	189.4101	175.2352	189.3382	124.4768	166.1725	5.6943	5.8942	5.8997	6.1873	6.2517	5.1125	6.2958	5.7468	10.4784	1.8078
TARA_20110804T1833Z_124_EVENT_PUMP	SV Tara	TARA_20110726Z	TARA_124	High Volume Peristaltic Pump	8/4/11 18:33	-9.1504	-140.5216	0.04136	0.044662	0.051619	0.052171255	0.074618559	0.00127379	0.020546722	0.105490581	0.088174025	NA	59.55422974	NA	44	53	90	103	34	113	13	286	241	26.5203	26.5408	26.5409	26.4879	26.3646	26.5393	25.0459	26.5197	11.3074	13.8838	35.5518	35.5679	35.568	35.5667	35.63	35.568	36.1675	35.5523	34.9401	35.1239	23.1625	23.1706	23.1713	23.1897	23.2771	23.1703	24.091	23.1633	26.5544	26.1907	2.30E-06	6.40E-08	1.14E-07	3.51E-05	0.00074389	1.60E-06	0.00032219	6.80E-07	1.70E-05	0.00050925	0.28338	0.38666	0.38295	0.35965	0.25939	0.39506	0.17777	0.29911	0.037303	0.021627	190.6959	189.2467	189.1814	187.0493	175.0383	188.7314	177.157	191.0199	41.7232	68.0779	4.8786	6.2336	5.5697	5.1834	5.858	5.5952	2.2009	5.623	25.2908	17.4727
