parameter	rdf type purl label	rdf type purl	pm:searchable	units label	units purl	measurement source purl label	measurement source purl	pm:measurement source protocol	pm:source url	frictionless type
Event Label									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Campaign									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Basis									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Station									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Device									https://doi.pangaea.de/10.1594/PANGAEA.836319	
URI									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Comment									https://doi.pangaea.de/10.1594/PANGAEA.836319	
File name									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Date/Time									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Latitude									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Longitude									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Depth water 				m					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Bottle									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Press 				dbar					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Temp 				°C					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Cond 				mS/cm					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Sal									https://doi.pangaea.de/10.1594/PANGAEA.836319	
Tpot 				°C					https://doi.pangaea.de/10.1594/PANGAEA.836319	
Sigma-theta 				kg/m**3					https://doi.pangaea.de/10.1594/PANGAEA.836319	
