SampleID_Tara	BioSample	Chlorophyll Sensor	Depth	Description	ENA checklist	Environment (Biome)	Environment (Feature)	Environment (Material)	Environmental Package	Event Date/Time End	Event Date/Time Start	Event Label	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Last Update Date	Latitude End	Latitude Start	Longitude End	Longitude Start	Marine Region	Nitrate Sensor	Oxygen Sensor	Project Name	Protocol Label	SRA accession	Salinity Sensor	Sample Collection Device	Sample Name	Sample Status	Sampling Campaign	Sampling Platform	Sampling Station	Size Fraction Upper Threshold	Temperature	Title
TARA_R100000789	SAMEA2623403	0.002017	450	This sample (TARA_R100000789) was collected during the Tara Oceans expedition (2009-2013) at station TARA_138 (latitudeN=6.3559, longitudeE=-103.0598) on date/time=2011-12-11T20:37:22, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 440-458 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-12T01:53	2011-12-11T20:37	TARA_20111211T2040Z_138_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:21Z	public	2014-05-01Z	6.3929	6.3559	-103.0691	-103.0598		36.886053	0.78015	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493835	34.608434	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS493835	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_138	0.22	8.210557	TARA_20111211T2040Z_138_Combined-EVENTS_CAST_MB_M_(450 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000789
TARA_R100000781	SAMEA2623385	0.334076	60	This sample (TARA_R100000781) was collected during the Tara Oceans expedition (2009-2013) at station TARA_138 (latitudeN=6.3378, longitudeE=-102.9538) on date/time=2011-12-11T13:27:34, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 55-64 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-11T16:15	2011-12-11T13:27	TARA_20111211T1332Z_138_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:40Z	public	2014-05-01Z	6.3354	6.3378	-103.0345	-102.9538		22.087762	77.038525	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493803	34.611755	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS493803	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_138	0.22	19.048358	TARA_20111211T1332Z_138_Combined-EVENTS_CAST_MB_D_(60 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000781
TARA_R100000773	SAMEA2623365	0.013449	5	This sample (TARA_R100000773) was collected during the Tara Oceans expedition (2009-2013) at station TARA_138 (latitudeN=6.3332, longitudeE=-102.9432) on date/time=2011-12-10T14:08, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-10T14:50	2011-12-10T14:08	TARA_20111210T1408Z_138_EVENT_PUMP	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:29Z	public	2014-05-01Z	6.3315	6.3332	-102.9484	-102.9432		-1.184318	196.88275	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493767	33.407042	PUMP (High Volume Peristaltic Pump)	ERS493767	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_138	0.22	26.6362	TARA_20111210T1408Z_138_EVENT_PUMP_P_S_(5 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000773
TARA_R100000750	SAMEA2623327	0.001625	375	This sample (TARA_R100000750) was collected during the Tara Oceans expedition (2009-2013) at station TARA_137 (latitudeN=14.2025, longitudeE=-116.6433) on date/time=2011-12-03T14:31:20, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 370-379 m, targeting a mesopelagic zone (ENVO:00000213) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	mesopelagic zone (ENVO:00000213)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-03T18:48	2011-12-03T14:31	TARA_20111203T1433Z_137_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:28Z	public	2014-05-01Z	14.1468	14.2025	-116.6821	-116.6433	(search radius=5 degrees) Marine Ecoregion:Revillagigedos (MRGID:21973)	35.716708	0.628413	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493718	34.586699	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS493718	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_137	0.22	8.911481	TARA_20111203T1433Z_137_Combined-EVENTS_CAST_MB_M_(375 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000750
TARA_R100000742	SAMEA2623309	99999	40	This sample (TARA_R100000742) was collected during the Tara Oceans expedition (2009-2013) at station TARA_137 (latitudeN=14.2075, longitudeE=-116.6468) on date/time=2011-12-02T20:42, using a PUMP (High Volume Peristaltic Pump) with ECOTriplet. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 38-42 m, targeting a deep chlorophyll maximum layer (ENVO:xxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_R100000765.	ERC000030	marine biome (ENVO:00000447)	deep chlorophyll maximum layer (ENVO:xxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-02T22:01	2011-12-02T20:42	TARA_20111202T2042Z_137_EVENT_PUMP	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:46Z	public	2014-05-01Z	14.2016	14.2075	-116.696	-116.6468	(search radius=5 degrees) Marine Ecoregion:Revillagigedos (MRGID:21973)	99999	99999	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493684	99999	PUMP (High Volume Peristaltic Pump) with ECOTriplet	ERS493684	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_137	0.22	99999	TARA_20111202T2042Z_137_EVENT_PUMP_MB_D_(40 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000742
TARA_R100000734	SAMEA2623290	0.290611	5	This sample (TARA_R100000734) was collected during the Tara Oceans expedition (2009-2013) at station TARA_137 (latitudeN=14.2035, longitudeE=-116.6261) on date/time=2011-12-02T14:12, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-12-02T14:46	2011-12-02T14:12	TARA_20111202T1412Z_137_EVENT_PUMP	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:35Z	public	2014-05-01Z	14.2017	14.2035	-116.6336	-116.6261	(search radius=5 degrees) Marine Ecoregion:Revillagigedos (MRGID:21973)	3.241307	195.126917	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS493651	33.884425	PUMP (High Volume Peristaltic Pump)	ERS493651	This version can be used to provide data discovery services	TARA_20111124Z	SV Tara	TARA_137	0.22	26.4091	TARA_20111202T1412Z_137_EVENT_PUMP_P_S_(5 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000734
TARA_R100000808	SAMEA2622852	0.020173	140	This sample (TARA_R100000808) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.8999, longitudeE=-142.5461) on date/time=2011-08-09T17:05:33, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 140-140 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-08-09T21:37	2011-08-09T17:05	TARA_20110809T1708Z_125_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:49:08Z	public	2014-05-01Z	-8.9103	-8.8999	-142.5767	-142.5461	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	3.67243	160.4895	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS492941	36.272675	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492941	This version can be used to provide data discovery services	TARA_20110726Z	SV Tara	TARA_125	0.22	23.706525	TARA_20110809T1708Z_125_Combined-EVENTS_CAST_MB_X_(140 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000808
TARA_R100000805	SAMEA2622832	0.233673	5	This sample (TARA_R100000805) was collected during the Tara Oceans expedition (2009-2013) at station TARA_125 (latitudeN=-8.9111, longitudeE=-142.5571) on date/time=2011-08-08T17:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis.	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-08-08T19:54	2011-08-08T17:33	TARA_20110808T1733Z_125_EVENT_PUMP	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:48:55Z	public	2014-05-01Z	-8.895	-8.9111	-142.6228	-142.5571	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	4.985942	187.302833	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS492903	35.427733	PUMP (High Volume Peristaltic Pump)	ERS492903	This version can be used to provide data discovery services	TARA_20110726Z	SV Tara	TARA_125	0.22	26.780158	TARA_20110808T1733Z_125_EVENT_PUMP_P_S_(5 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000805
TARA_R100000700	SAMEA2622810	0.127609	120	This sample (TARA_R100000700) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.0714, longitudeE=-140.5973) on date/time=2011-08-05T17:31:19, using a ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles. The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 120-120 m, targeting a marine epipelagic mixed layer (ENVO:xxxxxxxxx) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_R100000701,TARA_R100000702.	ERC000030	marine biome (ENVO:00000447)	marine epipelagic mixed layer (ENVO:xxxxxxxxx)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-08-05T22:18	2011-08-05T17:31	TARA_20110805T1733Z_124_Combined-EVENTS_CAST	GSC	Genoscope	2014-09-15T17:02:28Z	2015-11-04T11:48:48Z	public	2014-05-01Z	-9.067	-9.0714	-140.6346	-140.5973	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	4.458677	175.895625	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS492877	35.797875	ROSETTE sampler with CTD (sbe9C) and 10 Niskin bottles	ERS492877	This version can be used to provide data discovery services	TARA_20110726Z	SV Tara	TARA_124	0.22	25.221787	TARA_20110805T1733Z_124_Combined-EVENTS_CAST_MB_X_(120 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000700
TARA_R100000697	SAMEA2622788	0.286662	5	This sample (TARA_R100000697) was collected during the Tara Oceans expedition (2009-2013) at station TARA_124 (latitudeN=-9.1504, longitudeE=-140.5216) on date/time=2011-08-04T18:33, using a PUMP (High Volume Peristaltic Pump). The sample material (saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)) was collected at a depth of 3-7 m, targeting a surface water layer (ENVO:00002042) in the marine biome (ENVO:00000447). The sample was size-fractionated (<-0.22 micrometres), and stored in liquid nitrogen for later detection of virus nucleic acid sequences by pyrosequencing methods, and for later metagenomics analysis. This sample has replicate sample(s): TARA_R100000698,TARA_R100000699.	ERC000030	marine biome (ENVO:00000447)	surface water layer (ENVO:00002042)	saline water (ENVO:00002010), including plankton (ENVO:xxxxxxxx)	water	2011-08-04T22:00	2011-08-04T18:33	TARA_20110804T1833Z_124_EVENT_PUMP	GSC	Genoscope	2014-09-15T17:02:29Z	2015-11-04T11:48:57Z	public	2014-05-01Z	-9.1552	-9.1504	-140.5284	-140.5216	(search radius=5 degrees) Marine Province:Marquesas (MRGID:21741), Marine Ecoregion:Marquesas (MRGID:21741)	5.111856	190.724	Tara Oceans expedition (2009-2013)	VIRUS_NUC-Fe_W<-0.22	ERS492843	35.396729	PUMP (High Volume Peristaltic Pump)	ERS492843	This version can be used to provide data discovery services	TARA_20110726Z	SV Tara	TARA_124	0.22	26.518986	TARA_20110804T1833Z_124_EVENT_PUMP_P_S_(5 m)_VIRUS_NUC-Fe_W<-0.22_TARA_R100000697
