Sample_event_ID	start_ISO_dateTime	stop_ISO_dateTime	start_lat	stop_lat	start_lon	stop_lon	Cruise_ID	Station_name	sampling_event_type	cruise_expedition
TARA_20111211T2040Z_138_Combined-EVENTS_CAST	2011-12-11 20:37:00	2011-12-12 01:53:00	6.356	6.393	-103.06	-103.069	TARA_20111124Z	TARA_138	cast	Tara Oceans
TARA_20111211T1332Z_138_Combined-EVENTS_CAST	2011-12-11 13:27:00	2011-12-11 16:15:00	6.338	6.335	-102.954	-103.034	TARA_20111124Z	TARA_138	cast	Tara Oceans
TARA_20111210T1408Z_138_EVENT_PUMP	2011-12-10 14:08:00	2011-12-10 14:50:00	6.333	6.332	-102.943	-102.948	TARA_20111124Z	TARA_138	pump	Tara Oceans
TARA_20111203T1433Z_137_Combined-EVENTS_CAST	2011-12-03 14:31:00	2011-12-03 18:48:00	14.203	14.147	-116.643	-116.682	TARA_20111124Z	TARA_137	cast	Tara Oceans
TARA_20111202T2042Z_137_EVENT_PUMP	2011-12-02 20:42:00	2011-12-02 22:01:00	14.207	14.202	-116.647	-116.696	TARA_20111124Z	TARA_137	pump	Tara Oceans
TARA_20111202T1412Z_137_EVENT_PUMP	2011-12-02 14:12:00	2011-12-02 14:46:00	14.204	14.202	-116.626	-116.634	TARA_20111124Z	TARA_137	pump	Tara Oceans
TARA_20110809T1708Z_125_Combined-EVENTS_CAST	2011-08-09 17:05:00	2011-08-09 21:37:00	-8.9	-8.91	-142.546	-142.577	TARA_20110726Z	TARA_125	cast	Tara Oceans
TARA_20110808T1733Z_125_EVENT_PUMP	2011-08-08 17:33:00	2011-08-08 19:54:00	-8.911	-8.895	-142.557	-142.623	TARA_20110726Z	TARA_125	pump	Tara Oceans
TARA_20110805T1733Z_124_Combined-EVENTS_CAST	2011-08-05 17:31:00	2011-08-05 22:18:00	-9.071	-9.067	-140.597	-140.635	TARA_20110726Z	TARA_124	cast	Tara Oceans
TARA_20110804T1833Z_124_EVENT_PUMP	2011-08-04 18:33:00	2011-08-04 22:00:00	-9.15	-9.155	-140.522	-140.528	TARA_20110726Z	TARA_124	pump	Tara Oceans
TARA_20110801T1755Z_123_Combined-EVENTS_CAST	2011-08-01 17:52:00	2011-08-02 00:37:00	-8.911	-8.896	-140.285	-140.286	TARA_20110726Z	TARA_123	cast	Tara Oceans
TARA_20110731T1720Z_123_EVENT_PUMP	2011-07-31 17:20:00	2011-07-31 19:33:00	-8.907	-8.895	-140.283	-140.317	TARA_20110726Z	TARA_123	pump	Tara Oceans
TARA_20110728T1718Z_122_Combined-EVENTS_CAST	2011-07-28 17:15:00	2011-07-28 20:03:00	-9.006	-8.963	-139.139	-139.228	TARA_20110726Z	TARA_122	cast	Tara Oceans
TARA_20110727T1932Z_122_Combined-EVENTS_CAST	2011-07-27 19:28:00	2011-07-28 03:26:00	-8.973	-8.978	-139.239	-139.243	TARA_20110726Z	TARA_122	cast	Tara Oceans
TARA_20110726T1710Z_122_EVENT_PUMP	2011-07-26 17:10:00	2011-07-26 19:41:00	-8.997	-8.972	-139.196	-139.274	TARA_20110726Z	TARA_122	pump	Tara Oceans
TARA_20110601T1603Z_111_Combined-EVENTS_CAST	2011-06-01 16:00:00	2011-06-01 21:46:00	-16.949	-16.973	-100.671	-100.663	TARA_20110520Z	TARA_111	cast	Tara Oceans
TARA_20110531T2030Z_111_Combined-EVENTS_CAST	2011-05-31 20:28:00	2011-05-31 23:10:00	-16.959	-16.969	-100.675	-100.732	TARA_20110520Z	TARA_111	cast	Tara Oceans
