Event Label	Cruise	CTDType	Station	CTDrosette_filename	DateTime	Latitude	Longitude	bottle	Pressure_Digiquartz	Depth 	Temperature	Conductivity	Salinity	Potential_Temperature	Density	"Oxygen, factory"	"Oxygen, adjusted"	"Nitrates, adjusted"	Chloro factory 	Chloro HPLC adjusted 	"Angular scattering coef, at 117°, 470 nm, factory "	"Part backscattering coef, 470 nm, factory "	"Angular scattering coef, at 117°, 470 nm, adj in situ dark"	"Part backscattering coef, 470 nm, adj in situ dark "	"bbp470, adj in situ dark "	"Fcdom, factory "	"beam attenuation coef, 660 nm, factory "	"beam attenuation coef, 660 nm, adjusted deep zero "	LPM (0.06-0.53mm)	LPM (0.53-1.06mm)	LPM (1.06-2.66mm)	LPM (0.06-2.66mm)	LPM biovolume (0.06-0.53mm)	LPM biovolume (0.53-1.06mm)	LPM biovolume (1.06-2.66mm)	LPM biovolume (0.06-2.66mm)	LPM (0.06-0.07mm)	LPM (0.07-0.09mm)	LPM (0.09-0.11mm)	LPM (0.11-0.14mm)	LPM (0.14-0.17mm)	LPM (0.17-0.21mm)	LPM (0.21-0.27mm)	LPM (0.27-0.34mm)	LPM (0.34-0.42mm)	LPM (0.42-0.53mm)	LPM (0.53-0.67mm)	LPM (0.67-0.84mm)	LPM (0.84-1.06mm)	LPM (1.06-1.33mm)	LPM (1.33-1.68mm)	LPM (1.68-2.11mm)	LPM (2.11-2.66mm)	LPM (2.66-3.35mm)	LPM (3.35-4.22mm)	LPM (4.22-5.32mm)	LPM (5.32-6.7mm)	LPM (6.7-8.44mm)	LPM (8.44-10.64mm)	LPM (10.64-13.4mm)	LPM (13.4-16.88mm)	LPM (16.88-21.27mm)	LPM (21.27-26.79mm)	LPM biovolume (0.06-0.07mm)	LPM biovolume (0.07-0.09mm)	LPM biovolume (0.09-0.11mm)	LPM biovolume (0.11-0.14mm)	LPM biovolume (0.14-0.17mm)	LPM biovolume (0.17-0.21mm)	LPM biovolume (0.21-0.27mm)	LPM biovolume (0.27-0.34mm)	LPM biovolume (0.34-0.42mm)	LPM biovolume (0.42-0.53mm)	LPM biovolume (0.53-0.67mm)	LPM biovolume (0.67-0.84mm)	LPM biovolume (0.84-1.06mm)	LPM biovolume (1.06-1.33mm)	LPM biovolume (1.33-1.68mm)	LPM biovolume (1.68-2.11mm)	LPM biovolume (2.11-2.66mm)	LPM biovolume (2.66-3.35mm)	LPM biovolume (3.35-4.22mm)	LPM biovolume (4.22-5.32mm)	LPM biovolume (5.32-6.7mm)	LPM biovolume (6.7-8.44mm)	LPM biovolume (8.44-10.64mm)	LPM biovolume (10.64-13.4mm)	LPM biovolume (13.4-16.88mm)	LPM biovolume (16.88-21.27mm)	LPM biovolume (21.27-26.79mm)
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	1	200	197.631	13.5076	42.437068	35.8404	13.4793	26.9461	227.09	227.09	7.526758	0	0	0.000274	3.10E-05	0.000215	-2.90E-05	0.000213	2.121775	0.054075	0.013001	141.2992	0.33191	0	141.6311	0.1005	0.072578	0	0.17308	94.07302	0	25.651968	8.629682	7.159791	2.27596	1.801802	1.043148	0.379327	0.284495	0.142248	0.142248	0.047416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009166	0	0.009901	0.007452	0.012322	0.00918	0.013281	0.013789	0.010481	0.014929	0.0147	0.034058	0.02382	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	2	160	158.219	14.1032	43.126727	35.9486	14.0799	26.9023	235.724	235.724	3.79544	0.0294	0.11119	0.000285	4.20E-05	0.000226	-1.70E-05	0.000291	2.003496	0.06597	0.024896	121.9219	0.25025	0	122.1722	0.12185	0.031889	0	0.15374	75.225225	0	25.475475	7.757758	7.257257	2.552553	1.301301	1.101101	0.550551	0.700701	0.2002	0.05005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00733	0	0.009833	0.006699	0.012675	0.010265	0.009695	0.01514	0.0134	0.036809	0.020801	0.011088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	3	150	148.205	14.2998	43.365901	35.9915	14.2778	26.8943	238.039	238.039	3.20802	0.0732	0.212492	0.000308	6.40E-05	0.000248	5.00E-06	0.000445	1.97453	0.07906	0.037985	122.1447	0.34874	0.043592	122.5371	0.12441	0.059693	0.10128	0.28538	75.719268	0	23.452485	7.93374	8.631212	2.092415	2.005231	0.959024	0.87184	0.479512	0.21796	0.087184	0.043592	0	0.043592	0	0	0	0	0	0	0	0	0	0	0	0	0.007378	0	0.009052	0.006851	0.014907	0.008333	0.014948	0.013898	0.022709	0.026335	0.021477	0.016317	0.021899	0	0.101277	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	4	135	133.321	14.3445	43.415793	36.0025	14.3247	26.8928	237.775	237.775	2.917307	0.1098	0.283378	0.000308	6.40E-05	0.000248	5.00E-06	0.000445	1.887632	0.087721	0.046646	134.4212	0.45895	0.050994	134.9312	0.13202	0.07119	0.07844	0.28165	82.559918	0	27.434982	9.17899	8.312086	2.600714	1.784804	1.121877	0.968893	0.45895	0.356961	0.050994	0.050994	0	0.050994	0	0	0	0	0	0	0	0	0	0	0	0	0.008044	0	0.010589	0.007927	0.014622	0.010209	0.014017	0.016901	0.025849	0.023861	0.037261	0.014728	0.019201	0	0.07844	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	5	115	113.07	14.3432	43.406769	36.004	14.3264	26.8936	237.6015	237.6015	2.075138	0.1026	0.270056	0.000296	5.30E-05	0.000237	-6.00E-06	0.000368	1.916598	0.088883	0.047809	150.9274	0.26497	0	151.1924	0.15545	0.030216	0	0.18566	90.937997	0	29.72973	11.870694	9.697933	3.550609	2.331744	1.483837	0.688924	0.63593	0.211977	0.052994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008861	0	0.011475	0.010251	0.017133	0.014029	0.016834	0.021853	0.017431	0.03758	0.021976	0.00824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	6	100	98.4705	14.3424	43.396446	36.0014	14.3278	26.8913	238.777	238.777	2.039173	0.1026	0.270056	0.000308	6.40E-05	0.000248	5.00E-06	0.000445	2.092809	0.089956	0.048882	149.1586	0.45895	0.050994	149.6685	0.14916	0.097651	0.07844	0.32525	89.648139	0	29.321775	11.014788	10.963794	3.161652	2.192759	1.223865	1.172871	0.45895	0.152983	0.203978	0.101989	0	0.050994	0	0	0	0	0	0	0	0	0	0	0	0	0.008735	0	0.011318	0.009512	0.018634	0.01219	0.016297	0.017146	0.031885	0.023445	0.017568	0.041672	0.038411	0	0.07844	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	7	75	73.403	14.343	43.389181	36.0048	14.3321	26.893	238.43	238.43	2.953271	0.1098	0.283378	0.000296	5.30E-05	0.000237	-6.00E-06	0.000368	2.034876	0.093177	0.052103	149.5622	0.38066	0.038066	149.981	0.14611	0.053327	0.050778	0.25021	89.912448	0	29.577465	11.153407	10.734678	3.045299	2.512372	1.103921	1.027788	0.494861	0.30453	0.076132	0	0	0.038066	0	0	0	0	0	0	0	0	0	0	0	0	0.008761	0	0.011416	0.009632	0.018783	0.012236	0.018125	0.015659	0.027972	0.023522	0.03287	0.020456	0	0	0.050778	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	8	50	48.6445	14.3416	43.376312	36.0046	14.3344	26.8923	238.803	238.803	2.695525	0.132	0.322958	0.000308	6.40E-05	0.000248	5.00E-06	0.000445	1.97453	0.104201	0.063127	152.8862	0.76743	0	153.6537	0.18308	0.13206	0	0.31514	90.323657	0	29.195863	12.479146	11.144478	3.503504	2.369036	1.901902	1.267935	0.700701	0.567234	0.1001	0.1001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008801	0	0.011269	0.010776	0.01997	0.013498	0.017224	0.027054	0.036598	0.037889	0.063249	0.020493	0.048316	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	9	25	23.702	14.3547	43.37808	36.0046	14.3512	26.8887	240.11	240.11	3.0252	0.1248	0.31035	0.00032	7.60E-05	0.00026	1.70E-05	0.000528	1.916598	0.117327	0.076253	214.648	0.66733	0.033367	215.3487	0.23108	0.10047	0.17922	0.51078	111.077744	0	43.410077	22.922923	24.224224	5.605606	3.703704	1.868535	1.301301	0.533867	0.433767	0.2002	0.033367	0	0	0	0.033367	0	0	0	0	0	0	0	0	0	0	0.010823	0	0.016756	0.019795	0.042644	0.021711	0.028562	0.026739	0.036544	0.02751	0.047189	0.036064	0.017215	0	0	0	0.179223	0	0	0	0	0	0	0	0	0	0
TARA_20120319T1848Z_152_EVENT_CAST	Tara_oceans	sbe9_rosette	152	tara_sbe_9C_120319_06	3/19/12 18:46	43.7684	-16.9047	10	5	3.6	14.34	43.354656	36.0051	14.3395	26.8916	240.84	240.84	2.365851	0.132	0.322958	0.000296	5.30E-05	0.000237	-6.00E-06	0.000368	1.887632	0.117327	0.076253	2676.5766	227.027	144.1441	3047.7477	10.0833	59.1603	347.5421	416.7858	917.117117	0	679.279279	273.873874	299.099099	146.846847	117.117117	91.891892	81.981982	69.369369	73.873874	78.378378	74.774775	57.657658	38.738739	27.027027	20.720721	21.621622	21.621622	5.405405	4.504505	8.108108	5.405405	0.900901	2.702703	0.900901	0	0.089361	0	0.262191	0.236503	0.554115	0.576296	0.898082	1.317144	2.227372	3.922215	8.389309	16.551982	34.219039	49.203175	65.325033	97.675181	135.338759	287.136168	621.492133	293.036158	465.463439	1727.644415	2481.472773	999.921029	5418.650654	2524.144197	0
